# Participant: PTEST4_AURA_quiet_breathing
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 184638
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1869148100,1861148100,-0.173,-0.021,0.017,-331813,-484409,115858,,
1869148774,1861148774,-0.047,-0.049,-0.047,-331540,-484525,115594,,
1869149796,1861149796,-0.045,0.051,0.032,-331535,-484105,115921,,
1869150818,1861150818,0.069,-0.017,-0.038,-331287,-484390,115630,,
1869151840,1861151840,0.074,-0.008,-0.019,-331275,-484354,115711,,
1869152861,1861152861,0.033,0.118,0.035,-331364,-483821,115935,,
1869153883,1861153883,0.123,-0.008,0.147,-331169,-484353,116402,,
1869154905,1861154905,0.031,0.055,0.082,-331370,-484086,116129,,
1869155927,1861155927,0.049,0.036,0.092,-331331,-484166,116172,,
1869156948,1861156948,0.114,0.097,0.102,-331190,-483910,116215,,
1869157970,1861157970,0.249,-0.054,0.005,-330895,-484548,115808,,
1869158992,1861158992,0.124,-0.006,-0.043,-331167,-484344,115611,,
1869160014,1861160014,0.047,-0.038,0.017,-331335,-484481,115858,,
1869161036,1861161036,-0.041,-0.038,-0.121,-331527,-484479,115285,,
1869162057,1861162057,-0.112,-0.074,-0.094,-331681,-484631,115398,,
1869163079,1861163079,-0.188,0.045,-0.086,-331845,-484131,115432,,
1869164101,1861164101,-0.106,0.05,-0.025,-331667,-484111,115684,,
1869165123,1861165123,-0.181,0.132,0.064,-331830,-483763,116054,,
1869166144,1861166144,-0.195,0.09,0.063,-331861,-483942,116049,,
1869167166,1861167166,-0.043,0.141,0.089,-331531,-483726,116161,,
1869168188,1861168188,0.022,0.089,0.08,-331388,-483943,116121,,
1869169210,1861169210,-0.015,0.102,0.157,-331469,-483889,116441,,
1869170231,1861170231,0.106,0.111,0.18,-331206,-483850,116539,,
1869171253,1861171253,0.032,0.147,0.166,-331368,-483701,116480,,
1869172275,1861172275,0.076,0.035,0.016,-331272,-484172,115856,,
1869173297,1861173297,-0.07,0.021,0.098,-331590,-484233,116195,,
1869174319,1861174319,0.081,0.052,-0.025,-331260,-484101,115683,,
1869175340,1861175340,-0.041,-0.005,-0.023,-331527,-484341,115691,,
1869176362,1861176362,0.2,-0.05,-0.028,-331002,-484532,115672,,
1869177384,1861177384,-0.056,-0.074,-0.09,-331559,-484631,115415,,
1869178406,1861178406,-0.059,0.041,0.024,-331566,-484146,115890,,
1869179428,1861179428,-0.034,0.077,0.02,-331511,-483994,115873,,
1869180449,1861180449,0.056,0.158,0.034,-331316,-483655,115929,,
1869181471,1861181471,-0.106,0.093,-0.079,-331668,-483928,115459,,
1869182493,1861182493,-0.024,0.011,0.04,-331488,-484274,115953,,
1869183515,1861183515,0.054,0.07,0.014,-331320,-484023,115846,,
1869184536,1861184536,0.02,0.136,-0.009,-331394,-483746,115751,,
1869185558,1861185558,0.081,0.022,0.151,-331261,-484226,116415,,
1869186580,1861186580,0.171,-0.048,0.037,-331066,-484523,115942,,
1869187602,1861187602,0.125,-0.103,-0.011,-331165,-484755,115742,,
1869188624,1861188624,0.159,-0.001,-0.089,-331091,-484325,115418,,
1869189645,1861189645,0.053,-0.057,-0.049,-331322,-484559,115586,,
