# Participant: P5_AURA_zeroing
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 202743
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
3639573202,3631573202,38.097,-1.732,-2.211,-248793,-492545,106073,,
3639573802,3631573802,38.256,-1.831,-2.235,-248447,-492961,105973,,
3639574835,3631574835,37.988,-2.15,-2.065,-249031,-494309,106680,,
3639575911,3631575911,37.988,-2.15,-2.065,-249031,-494309,106680,,
3639576976,3631576976,37.81,-2.121,-2.106,-249412,-494150,106565,,
3639577997,3631577997,37.787,-1.913,-2.224,-249463,-493273,106076,,
3639579018,3631579018,37.744,-1.92,-2.212,-249556,-493303,106124,,
3639580039,3631580039,37.865,-2.267,-2.389,-249292,-494764,105389,,
3639581060,3631581060,37.718,-2.515,-2.351,-249613,-495814,105545,,
3639582081,3631582081,37.457,-2.452,-2.55,-250183,-495548,104718,,
3639583101,3631583101,37.565,-2.571,-2.471,-249947,-496050,105045,,
3639584122,3631584122,37.319,-2.404,-2.54,-250482,-495344,104756,,
3639585143,3631585143,37.476,-2.163,-2.66,-250140,-494327,104256,,
3639586164,3631586164,37.861,-2.017,-2.811,-249302,-493709,103626,,
3639587185,3631587185,38.035,-2.278,-2.883,-248922,-494814,103326,,
3639588206,3631588206,38.157,-2.143,-2.66,-248656,-494242,104257,,
3639589227,3631589227,38.045,-1.919,-2.508,-248900,-493297,104890,,
3639590248,3631590248,37.825,-1.857,-2.262,-249379,-493035,105918,,
3639591269,3631591269,37.614,-1.853,-2.078,-249839,-493017,106682,,
3639592290,3631592290,37.299,-2.055,-1.963,-250527,-493870,107163,,
3639593311,3631593311,37.109,-2.39,-1.958,-250941,-495286,107186,,
3639594332,3631594332,36.653,-2.642,-2.034,-251935,-496350,106867,,
3639595352,3631595352,36.179,-3.111,-2.183,-252968,-498328,106245,,
3639596373,3631596373,35.792,-3.747,-2.319,-253812,-501012,105680,,
3639597394,3631597394,35.459,-4.049,-2.542,-254536,-502287,104749,,
3639598415,3631598415,35.337,-3.302,-2.579,-254802,-499136,104597,,
3639599436,3631599436,35.274,-2.635,-2.651,-254940,-496318,104297,,
3639600457,3631600457,35.417,-2.584,-2.754,-254629,-496103,103864,,
3639601478,3631601478,35.485,-2.5,-2.784,-254481,-495749,103740,,
3639602499,3631602499,35.844,-2.176,-2.884,-253698,-494383,103325,,
3639603520,3631603520,36.005,-1.958,-2.78,-253346,-493462,103757,,
3639604542,3631604542,36.281,-1.604,-2.65,-252745,-491969,104299,,
3639605564,3631605564,36.434,-1.556,-2.586,-252412,-491766,104566,,
3639606585,3631606585,36.452,-1.822,-2.504,-252372,-492889,104906,,
3639607607,3631607607,36.421,-1.926,-2.378,-252441,-493325,105434,,
3639608629,3631608629,36.131,-1.991,-2.291,-253072,-493602,105795,,
3639609651,3631609651,35.958,-2.051,-2.197,-253449,-493855,106186,,
3639610672,3631610672,35.744,-2.221,-2.073,-253915,-494572,106704,,
3639611694,3631611694,35.388,-2.382,-2.042,-254692,-495252,106834,,
3639612716,3631612716,35.079,-2.675,-2.143,-255366,-496486,106411,,
3639613738,3631613738,34.863,-2.873,-2.21,-255837,-497325,106134,,
3639614759,3631614759,34.845,-2.822,-2.333,-255875,-497110,105619,,
3639615781,3631615781,34.539,-2.761,-2.368,-256542,-496850,105476,,
3639616803,3631616803,34.307,-2.716,-2.345,-257048,-496663,105572,,
3639617825,3631617825,34.163,-2.698,-2.17,-257362,-496584,106300,,
3639618847,3631618847,34.028,-2.438,-2.222,-257657,-495486,106082,,
3639619868,3631619868,33.832,-2.135,-2.037,-258084,-494210,106854,,
3639620890,3631620890,33.616,-1.828,-1.978,-258555,-492913,107099,,
3639621912,3631621912,33.48,-1.462,-1.761,-258850,-491370,108006,,
3639622934,3631622934,33.155,-1.308,-1.722,-259559,-490716,108170,,
3639623955,3631623955,32.99,-0.885,-1.58,-259919,-488932,108762,,
3639624977,3631624977,33.036,-0.916,-1.525,-259819,-489065,108989,,
