# Participant: P5_AURA_zero_check
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 202821
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
3677847903,3669847903,71.24,-5.133,-11.702,-176634,-506369,66974,77.7,2102.2
3677848900,3669848900,71.272,-1.931,-11.532,-176566,-492857,67682,77.7,2102.2
3677849922,3669849922,70.787,-3.064,-11.386,-177623,-497636,68288,77.7,2102.2
3677850943,3669850943,70.553,-3.903,-11.069,-178133,-501180,69611,77.7,2102.2
3677851965,3669851965,70.664,-2.392,-10.967,-177890,-494803,70035,77.7,2102.2
3677852987,3669852987,70.303,-4.378,-10.858,-178678,-503185,70491,77.7,2102.2
3677854009,3669854009,69.841,-5.291,-10.437,-179685,-507037,72246,77.7,2102.2
3677855030,3669855030,69.592,-3.552,-10.081,-180226,-499697,73733,77.7,2102.2
3677856052,3669856052,68.936,-0.896,-9.604,-181657,-488486,75720,77.7,2102.2
3677857074,3669857074,68.511,2.909,-8.965,-182584,-472428,78383,77.7,2102.2
3677858096,3669858096,68.165,7.597,-8.67,-183338,-452637,79615,77.7,2102.2
3677859118,3669859118,67.711,2.963,-8.385,-184327,-472196,80803,77.7,2102.2
3677860139,3669860139,67.723,-2.049,-8.247,-184300,-493355,81379,77.7,2102.2
3677861161,3669861161,67.429,2.743,-8.123,-184941,-473127,81895,77.7,2102.2
3677862183,3669862183,67.6,6.411,-8.015,-184568,-457642,82348,77.7,2102.2
3677863205,3669863205,68.028,2.099,-8.3,-183637,-475847,81156,77.7,2102.2
3677864226,3669864226,67.879,-2.779,-8.641,-183960,-496436,79736,77.7,2102.2
3677865248,3669865248,68.138,-2.59,-9.106,-183397,-495639,77798,77.7,2102.2
3677866270,3669866270,68.368,-1.797,-9.37,-182894,-492292,76697,77.7,2102.2
3677867292,3669867292,68.289,1.111,-9.72,-183066,-480017,75237,77.7,2102.2
3677868314,3669868314,68.339,-5.543,-9.668,-182958,-508102,75454,77.7,2102.2
3677869335,3669869335,68.32,-9.948,-9.822,-182999,-526692,74812,77.7,2102.2
3677870357,3669870357,68.63,-8.334,-9.903,-182324,-519882,74473,77.7,2102.2
3677871379,3669871379,69.434,-8.913,-10.309,-180571,-522325,72779,77.7,2102.2
3677872401,3669872401,69.828,-9.836,-10.872,-179712,-526223,70434,77.7,2102.2
3677873422,3669873422,69.996,-9.052,-11.199,-179346,-522912,69068,77.7,2102.2
3677874444,3669874444,69.844,-9.142,-11.317,-179677,-523292,68579,77.7,2102.2
3677875466,3669875466,68.946,-4.753,-10.618,-181636,-504768,71494,77.7,2102.2
3677876488,3669876488,68.879,-7.978,-10.122,-181782,-518381,73562,77.7,2102.2
3677877509,3669877509,68.631,-3.952,-9.833,-182322,-501388,74766,77.7,2102.2
3677878531,3669878531,68.515,-3.324,-9.795,-182574,-498735,74925,77.7,2102.2
3677879553,3669879553,68.296,-4.276,-9.827,-183051,-502754,74792,77.7,2102.2
3677880575,3669880575,67.77,-4.788,-9.465,-184198,-504916,76299,77.7,2102.2
3677881597,3669881597,67.648,-0.115,-9.275,-184464,-485189,77094,77.7,2102.2
3677882618,3669882618,66.664,0.21,-8.613,-186610,-483817,79851,77.7,2102.2
3677883640,3669883640,66.321,-0.821,-8.074,-187357,-488170,82100,77.7,2102.2
3677884662,3669884662,66.631,1.154,-8.17,-186682,-479835,81701,77.7,2102.2
3677885684,3669885684,67.132,0.831,-8.551,-185589,-481199,80112,77.7,2102.2
3677886705,3669886705,66.637,-0.232,-8.636,-186668,-485683,79755,77.7,2102.2
3677887727,3669887727,66.289,3.642,-8.395,-187426,-469332,80763,77.7,2102.2
3677888749,3669888749,65.751,5.004,-7.813,-188600,-463581,83187,77.7,2102.2
3677889771,3669889771,65.713,3.0,-7.353,-188682,-472041,85107,77.7,2102.2
3677890792,3669890792,66.177,0.441,-7.282,-187671,-482844,85404,77.7,2102.2
3677891814,3669891814,66.613,-3.041,-7.728,-186720,-497541,83544,77.7,2102.2
3677892836,3669892836,66.69,-2.087,-8.058,-186553,-493514,82167,77.7,2102.2
3677893858,3669893858,66.745,2.114,-8.188,-186432,-475782,81626,77.7,2102.2
3677894880,3669894880,66.574,0.908,-8.073,-186806,-480871,82106,77.7,2102.2
3677895901,3669895901,66.643,0.505,-8.139,-186654,-482573,81829,77.7,2102.2
3677896923,3669896923,66.685,-4.003,-8.295,-186563,-501602,81178,77.7,2102.2
3677897945,3669897945,67.351,-0.705,-8.677,-185111,-487680,79587,77.7,2102.2
3677898967,3669898967,68.267,0.179,-9.453,-183115,-483949,76348,77.7,2102.2
3677899988,3669899988,68.127,-0.066,-10.08,-183421,-484984,73737,77.7,2102.2
3677901010,3669901010,67.771,-2.161,-10.124,-184196,-493827,73550,77.7,2102.2
3677902032,3669902032,67.859,-4.589,-9.895,-184005,-504076,74506,77.7,2102.2
3677903054,3669903054,67.33,-6.642,-9.66,-185157,-512739,75488,77.7,2102.2
3677904076,3669904076,66.78,-4.655,-8.911,-186356,-504355,78610,77.7,2102.2
3677905098,3669905098,67.181,-1.326,-8.536,-185483,-490300,80174,77.7,2102.2
3677906119,3669906119,67.557,-6.049,-8.918,-184663,-510239,78581,77.7,2102.2
3677907141,3669907141,67.869,-4.446,-9.324,-183982,-503473,76888,77.7,2102.2
3677908163,3669908163,67.498,-4.889,-9.514,-184792,-505341,76096,77.7,2102.2
3677909184,3669909184,66.836,-3.082,-9.074,-186234,-497714,77929,77.7,2102.2
3677910206,3669910206,66.459,-3.661,-8.573,-187056,-500158,80019,77.7,2102.2
3677911228,3669911228,65.89,-1.013,-8.224,-188296,-488980,81473,77.7,2102.2
3677912250,3669912250,65.972,-2.156,-8.11,-188117,-493805,81948,77.7,2102.2
3677913272,3669913272,66.143,-5.663,-8.188,-187744,-508606,81626,77.7,2102.2
3677914293,3669914293,66.896,-6.608,-8.813,-186103,-512596,79020,77.7,2102.2
3677915315,3669915315,66.851,-6.517,-9.151,-186201,-512214,77608,77.7,2102.2
3677916337,3669916337,66.658,-6.323,-9.204,-186622,-511392,77390,77.7,2102.2
3677917359,3669917359,66.392,-5.163,-8.831,-187201,-506499,78944,77.7,2102.2
3677918381,3669918381,66.087,-2.788,-8.68,-187866,-496473,79573,77.7,2102.2
3677919402,3669919402,65.341,-5.032,-8.373,-189493,-505944,80854,77.7,2102.2
3677920424,3669920424,64.835,-4.57,-7.621,-190596,-503996,83988,77.7,2102.2
3677921446,3669921446,64.809,-0.938,-7.064,-190653,-488664,86313,77.7,2102.2
3677922468,3669922468,65.057,4.319,-7.018,-190111,-466473,86504,77.7,2102.2
3677923489,3669923489,65.502,-3.118,-7.279,-189143,-497864,85417,77.7,2102.2
3677924511,3669924511,65.924,-7.791,-7.983,-188222,-517590,82481,77.7,2102.2
3677925533,3669925533,65.75,-5.616,-8.452,-188601,-508408,80523,77.7,2102.2
3677926555,3669926555,65.267,-3.055,-8.242,-189654,-497602,81401,77.7,2102.2
3677927576,3669927576,64.372,1.313,-7.827,-191604,-479161,83132,77.7,2102.2
3677928598,3669928598,63.907,-1.947,-7.037,-192618,-492922,86423,77.7,2102.2
3677929620,3669929620,63.749,-7.533,-6.569,-192962,-516501,88374,77.7,2102.2
3677930642,3669930642,63.33,-2.556,-6.529,-193876,-495493,88544,77.7,2102.2
3677931664,3669931664,63.136,2.091,-6.328,-194300,-475877,89379,77.7,2102.2
3677932685,3669932685,62.741,0.736,-6.28,-195161,-481598,89582,77.7,2102.2
3677933707,3669933707,62.526,-0.219,-5.805,-195628,-485630,91560,77.7,2102.2
3677934729,3669934729,61.997,2.547,-5.382,-196782,-473954,93325,77.7,2102.2
3677935751,3669935751,61.97,4.063,-4.835,-196841,-467553,95604,77.7,2102.2
3677936772,3669936772,62.641,0.207,-5.016,-195377,-483830,94849,77.7,2102.2
3677937794,3669937794,62.976,0.006,-5.579,-194647,-484679,92504,77.7,2102.2
3677938816,3669938816,63.419,-3.391,-6.204,-193682,-499017,89898,77.7,2102.2
3677939838,3669939838,63.314,-4.936,-6.239,-193910,-505541,89750,77.7,2102.2
3677940860,3669940860,63.253,-3.534,-6.56,-194044,-499620,88411,77.7,2102.2
3677941881,3669941881,63.135,-3.866,-6.796,-194302,-501022,87427,77.7,2102.2
3677942903,3669942903,63.568,-5.226,-6.933,-193358,-506765,86858,77.7,2102.2
3677943925,3669943925,63.754,-3.375,-7.425,-192951,-498949,84805,77.7,2102.2
3677944947,3669944947,63.35,-1.463,-7.552,-193833,-490881,84278,77.7,2102.2
3677945968,3669945968,62.7,0.103,-7.177,-195249,-484271,85840,77.7,2102.2
3677946990,3669946990,62.337,-2.16,-6.5,-196040,-493822,88663,77.7,2102.2
3677948012,3669948012,62.37,-2.896,-6.164,-195969,-496928,90063,77.7,2102.2
3677949034,3669949034,62.044,-0.529,-6.028,-196680,-486937,90631,77.7,2102.2
3677950067,3669950067,61.799,1.681,-5.796,-197214,-477610,91598,77.7,2102.2
3677951143,3669951143,61.799,1.681,-5.796,-197214,-477610,91598,77.7,2102.2
3677952208,3669952208,61.788,-2.118,-5.709,-197236,-493680,91963,77.7,2102.2
3677953229,3669953229,61.974,2.278,-5.633,-196829,-475126,92280,77.7,2102.2
3677954250,3669954250,62.004,1.066,-5.799,-196765,-480240,91584,77.7,2102.2
3677955270,3669955270,62.411,-0.146,-6.008,-195878,-485356,90713,77.7,2102.2
3677956291,3669956291,62.578,-3.465,-6.323,-195513,-499366,89401,77.7,2102.2
3677957312,3669957312,62.503,-6.616,-6.542,-195677,-512667,88490,77.7,2102.2
3677958333,3669958333,62.487,-3.223,-6.234,-195711,-498347,89774,77.7,2102.2
3677959354,3669959354,62.107,-2.771,-5.793,-196540,-496437,91611,77.7,2102.2
3677960375,3669960375,61.648,-2.951,-5.715,-197541,-497199,91935,77.7,2102.2
3677961396,3669961396,61.739,-0.999,-5.646,-197341,-488957,92226,77.7,2102.2
3677962417,3669962417,61.737,-3.086,-6.047,-197347,-497770,90554,77.7,2102.2
3677963438,3669963438,61.664,-4.833,-6.009,-197506,-505141,90711,77.7,2102.2
3677964459,3669964459,61.571,-3.858,-6.227,-197707,-501026,89803,77.7,2102.2
3677965479,3669965479,61.606,-0.429,-6.224,-197631,-486552,89814,77.7,2102.2
3677966500,3669966500,61.342,1.567,-5.859,-198208,-478127,91334,77.7,2102.2
3677967521,3669967521,61.099,0.627,-5.719,-198736,-482093,91920,77.7,2102.2
3677968542,3669968542,61.265,-0.93,-5.913,-198376,-488669,91109,77.7,2102.2
3677969563,3669969563,61.616,-3.67,-6.081,-197609,-500235,90409,77.7,2102.2
3677970584,3669970584,61.838,-4.598,-6.288,-197125,-504151,89549,77.7,2102.2
3677971605,3669971605,61.926,-4.597,-6.172,-196935,-504147,90030,77.7,2102.2
3677972626,3669972626,61.557,-3.684,-5.889,-197739,-500291,91210,77.7,2102.2
3677973647,3669973647,61.321,-2.245,-5.823,-198252,-494217,91488,77.7,2102.2
3677974668,3669974668,61.224,-4.46,-5.805,-198464,-503568,91561,77.7,2102.2
3677975689,3669975689,61.175,-7.343,-5.913,-198571,-515737,91111,77.7,2102.2
3677976709,3669976709,61.29,-6.161,-5.967,-198321,-510748,90884,77.7,2102.2
3677977730,3669977730,61.264,-3.865,-6.077,-198377,-501055,90427,77.7,2102.2
3677978752,3669978752,61.042,-1.898,-5.928,-198862,-492755,91050,77.7,2102.2
3677979774,3669979774,60.909,-3.524,-5.622,-199151,-499616,92325,77.7,2102.2
3677980796,3669980796,60.468,-3.097,-5.428,-200112,-497815,93135,77.7,2102.2
3677981817,3669981817,60.295,-2.562,-5.176,-200490,-495557,94183,77.7,2102.2
3677982839,3669982839,59.98,-2.418,-4.719,-201176,-494948,96089,77.7,2102.2
3677983861,3669983861,59.704,-1.27,-4.546,-201777,-490101,96811,77.7,2102.2
3677984883,3669984883,59.468,0.316,-4.473,-202291,-483409,97113,77.7,2102.2
3677985904,3669985904,59.884,-2.33,-4.551,-201384,-494579,96789,77.7,2102.2
3677986926,3669986926,60.219,-5.161,-4.878,-200655,-506526,95428,77.7,2102.2
3677987948,3669987948,60.308,-4.718,-5.212,-200460,-504659,94034,77.7,2102.2
3677988970,3669988970,60.535,-2.129,-5.116,-199966,-493729,94432,77.7,2102.2
3677989991,3669989991,60.542,1.248,-5.066,-199951,-479475,94644,77.7,2102.2
3677991013,3669991013,60.756,-0.026,-5.384,-199484,-484850,93316,77.7,2102.2
3677992035,3669992035,60.795,-1.663,-5.566,-199399,-491762,92556,77.7,2102.2
3677993057,3669993057,60.687,-3.678,-5.893,-199635,-500269,91196,77.7,2102.2
3677994079,3669994079,60.408,-5.377,-5.894,-200242,-507439,91191,77.7,2102.2
3677995100,3669995100,60.412,-5.33,-5.835,-200234,-507240,91436,77.7,2102.2
3677996122,3669996122,60.239,-5.273,-5.98,-200612,-507001,90832,77.7,2102.2
3677997144,3669997144,59.993,-4.476,-5.621,-201148,-503634,92328,77.7,2102.2
3677998166,3669998166,59.812,-5.491,-5.296,-201541,-507920,93683,77.7,2102.2
3677999188,3669999188,59.527,-3.936,-5.027,-202164,-501357,94805,77.7,2102.2
3678000209,3670000209,59.192,-3.279,-4.394,-202894,-498581,97443,77.7,2102.2
3678001231,3670001231,58.468,-3.117,-3.748,-204472,-497898,100138,77.7,2102.2
3678002253,3670002253,58.541,-1.397,-3.544,-204313,-490640,100988,77.7,2102.2
3678003275,3670003275,58.922,-1.597,-3.601,-203481,-491484,100749,77.7,2102.2
3678004296,3670004296,59.133,-2.329,-3.817,-203022,-494574,99850,77.7,2102.2
3678005318,3670005318,59.71,-1.949,-4.753,-201765,-492967,95948,77.7,2102.2
3678006340,3670006340,60.178,-3.088,-5.391,-200745,-497777,93286,77.7,2102.2
3678007362,3670007362,60.139,-4.296,-5.592,-200829,-502874,92449,77.7,2102.2
3678008383,3670008383,60.068,-4.3,-5.814,-200984,-502893,91525,77.7,2102.2
3678009405,3670009405,60.135,-3.608,-6.021,-200838,-499971,90659,77.7,2102.2
3678010427,3670010427,59.842,-2.712,-6.028,-201477,-496188,90631,77.7,2102.2
3678011449,3670011449,59.46,0.041,-5.641,-202310,-484569,92243,77.7,2102.2
3678012471,3670012471,58.984,0.749,-5.168,-203347,-481578,94217,77.7,2102.2
3678013492,3670013492,58.662,0.184,-4.841,-204049,-483966,95581,77.7,2102.2
3678014514,3670014514,59.012,0.212,-5.143,-203286,-483846,94321,77.7,2102.2
3678015536,3670015536,59.588,-0.367,-5.588,-202030,-486292,92466,77.7,2102.2
3678016558,3670016558,60.097,-2.03,-5.991,-200920,-493312,90786,77.7,2102.2
3678017579,3670017579,60.318,-2.913,-6.265,-200439,-497036,89643,77.7,2102.2
3678018601,3670018601,60.6,-3.365,-6.218,-199824,-498946,89841,77.7,2102.2
3678019623,3670019623,60.303,-2.704,-5.85,-200472,-496155,91374,77.7,2102.2
3678020645,3670020645,59.75,-0.744,-5.333,-201678,-487883,93528,77.7,2102.2
3678021666,3670021666,59.388,-2.296,-5.101,-202465,-494435,94496,77.7,2102.2
3678022688,3670022688,59.157,-4.812,-4.855,-202969,-505053,95521,77.7,2102.2
3678023710,3670023710,58.861,-5.43,-4.915,-203615,-507664,95271,77.7,2102.2
3678024732,3670024732,58.775,-6.829,-4.979,-203802,-513569,95006,77.7,2102.2
3678025754,3670025754,58.679,-6.779,-5.261,-204012,-513357,93831,77.7,2102.2
3678026775,3670026775,58.586,-6.513,-5.304,-204213,-512236,93651,77.7,2102.2
3678027797,3670027797,58.242,-4.501,-5.209,-204963,-503740,94047,77.7,2102.2
3678028819,3670028819,57.818,-3.284,-5.105,-205888,-498605,94478,77.7,2102.2
3678029841,3670029841,57.636,-4.65,-5.002,-206285,-504371,94909,77.7,2102.2
3678030862,3670030862,57.504,-2.212,-5.068,-206572,-494080,94633,77.7,2102.2
3678031884,3670031884,57.495,0.402,-5.032,-206593,-483046,94785,77.7,2102.2
3678032906,3670032906,57.299,-2.3,-4.889,-207019,-494452,95379,77.7,2102.2
3678033928,3670033928,57.135,-2.293,-4.536,-207376,-494421,96852,77.7,2102.2
3678034950,3670034950,56.893,-0.746,-3.866,-207903,-487892,99645,77.7,2102.2
3678035971,3670035971,56.536,2.137,-3.53,-208683,-475722,101046,77.7,2102.2
3678036993,3670036993,56.538,0.81,-3.382,-208678,-481322,101663,77.7,2102.2
3678038015,3670038015,56.637,-2.728,-3.478,-208462,-496258,101262,77.7,2102.2
3678039037,3670039037,56.863,-6.123,-3.578,-207970,-510590,100846,77.7,2102.2
3678040058,3670040058,56.905,-2.645,-3.714,-207877,-495906,100280,77.7,2102.2
3678041080,3670041080,57.309,-1.684,-4.098,-206998,-491848,98680,77.7,2102.2
3678042102,3670042102,57.992,-1.101,-4.779,-205509,-489391,95839,77.7,2102.2
3678043124,3670043124,58.38,-2.858,-5.269,-204663,-496805,93795,77.7,2102.2
3678044146,3670044146,58.275,-5.917,-5.244,-204893,-509719,93899,77.7,2102.2
3678045167,3670045167,57.671,-5.287,-4.87,-206209,-507061,95461,77.7,2102.2
3678046189,3670046189,57.78,-4.705,-5.098,-205971,-504603,94508,77.7,2102.2
3678047211,3670047211,57.882,-3.269,-5.218,-205748,-498541,94008,77.7,2102.2
3678048233,3670048233,57.838,-4.018,-5.211,-205844,-501702,94036,77.7,2102.2
3678049254,3670049254,57.711,-5.354,-5.24,-206122,-507343,93916,77.7,2102.2
3678050276,3670050276,57.764,-5.061,-5.034,-206005,-506105,94775,77.7,2102.2
3678051298,3670051298,57.543,-4.164,-4.797,-206488,-502319,95765,77.7,2102.2
3678052320,3670052320,57.162,-3.868,-4.491,-207318,-501071,97041,77.7,2102.2
3678053341,3670053341,56.909,-3.077,-4.173,-207869,-497732,98366,77.7,2102.2
3678054375,3670054375,56.867,-2.854,-4.038,-207960,-496788,98927,77.7,2102.2
3678055453,3670055453,56.867,-2.854,-4.038,-207960,-496788,98927,77.7,2102.2
3678056517,3670056517,56.802,-3.939,-4.017,-208103,-501368,99044,77.7,2102.2
3678057538,3670057538,56.777,3.057,-4.07,-208156,-471836,98825,77.7,2102.2
3678058559,3670058559,56.123,1.726,-4.025,-209583,-477455,99011,77.7,2102.2
3678059580,3670059580,55.823,-1.631,-3.983,-210236,-491627,99188,77.7,2102.2
3678060601,3670060601,55.597,-3.305,-4.152,-210729,-498691,98484,77.7,2102.2
