# Participant: P5_AURA_deep_breathing
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 203218
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
3914131707,3906131707,-13.201,-0.071,0.044,-360737,-485100,115915,28.7,2128.6
3914132770,3906132770,58.049,5.153,-8.553,-205410,-463009,80064,28.7,2128.6
3914133791,3906133791,57.743,0.788,-8.345,-206078,-481439,80932,28.7,2128.6
3914134812,3906134812,58.321,-3.063,-8.244,-204817,-497697,81354,28.7,2128.6
3914135833,3906135833,58.391,-2.777,-8.528,-204665,-496489,80171,28.7,2128.6
3914136854,3906136854,58.457,-0.319,-8.95,-204521,-486109,78408,28.7,2128.6
3914137875,3906137875,59.119,-0.305,-9.289,-203078,-486053,76994,28.7,2128.6
3914138895,3906138895,59.38,-0.282,-9.235,-202508,-485953,77222,28.7,2128.6
3914139916,3906139916,59.149,5.037,-8.97,-203013,-463497,78325,28.7,2128.6
3914140937,3906140937,58.699,7.138,-8.686,-203992,-454628,79509,28.7,2128.6
3914141958,3906141958,57.907,1.226,-8.114,-205719,-479590,81896,28.7,2128.6
3914142979,3906142979,58.149,-1.529,-7.944,-205191,-491219,82604,28.7,2128.6
3914144000,3906144000,58.614,-0.108,-8.174,-204179,-485219,81644,28.7,2128.6
3914145021,3906145021,59.218,-4.014,-8.616,-202862,-501712,79803,28.7,2128.6
3914146042,3906146042,59.199,-3.862,-8.534,-202904,-501070,80146,28.7,2128.6
3914147063,3906147063,59.109,-2.297,-7.968,-203099,-494462,82506,28.7,2128.6
3914148084,3906148084,58.92,-7.06,-8.024,-203512,-514570,82272,28.7,2128.6
3914149105,3906149105,59.18,-3.624,-8.424,-202945,-500064,80603,28.7,2128.6
3914150125,3906150125,60.379,-4.054,-8.581,-200330,-501881,79947,28.7,2128.6
3914151146,3906151146,60.118,-0.244,-9.204,-200900,-485794,77348,28.7,2128.6
3914152167,3906152167,60.463,1.913,-9.334,-200147,-476686,76807,28.7,2128.6
