# Participant: P5_AURA_rainbow
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 203323
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
3979815261,3971815261,2.244,-0.685,-0.198,-327052,-487619,114904,57.9,2376.1
3979816019,3971816019,2.532,-0.515,-0.22,-326425,-486901,114811,57.9,2376.1
3979817041,3971817041,2.621,-0.384,-0.17,-326232,-486351,115022,57.9,2376.1
3979818062,3971818062,2.773,-0.261,-0.053,-325899,-485830,115510,57.9,2376.1
3979819084,3971819084,3.076,-0.398,0.144,-325239,-486406,116332,57.9,2376.1
3979820106,3971820106,4.008,-1.572,-1.103,-323207,-491363,111132,57.9,2376.1
3979821128,3971821128,3.923,-2.033,-1.085,-323393,-493311,111205,57.9,2376.1
3979822149,3971822149,3.974,-2.153,-1.214,-323282,-493818,110667,57.9,2376.1
3979823171,3971823171,3.406,-1.321,-1.059,-324520,-490303,111313,57.9,2376.1
3979824193,3971824193,2.385,-0.68,-0.837,-326746,-487600,112240,57.9,2376.1
3979825215,3971825215,1.058,-0.295,0.014,-329639,-485972,115788,57.9,2376.1
3979826237,3971826237,-0.189,0.27,1.345,-332357,-483587,121338,57.9,2376.1
3979827258,3971827258,-0.889,0.555,1.862,-333882,-482384,123495,57.9,2376.1
3979828280,3971828280,-1.494,0.419,1.831,-335201,-482960,123365,57.9,2376.1
3979829302,3971829302,-1.689,0.053,1.406,-335627,-484504,121591,57.9,2376.1
3979830324,3971830324,-2.145,-0.229,1.185,-336621,-485695,120672,57.9,2376.1
3979831346,3971831346,-2.616,-0.127,1.365,-337647,-485262,121422,57.9,2376.1
3979832367,3971832367,-2.915,0.093,1.421,-338298,-484335,121653,57.9,2376.1
3979833389,3971833389,-2.931,0.148,1.587,-338334,-484102,122348,57.9,2376.1
3979834411,3971834411,-2.775,0.022,1.361,-337994,-484636,121404,57.9,2376.1
3979835432,3971835432,-2.534,-0.158,1.169,-337468,-485394,120602,57.9,2376.1
3979836454,3971836454,-2.378,-0.34,0.941,-337128,-486165,119652,57.9,2376.1
3979837476,3971837476,-2.231,-0.338,0.825,-336809,-486154,119170,57.9,2376.1
3979838498,3971838498,-2.143,-0.198,0.741,-336616,-485563,118821,57.9,2376.1
3979839520,3971839520,-2.042,0.062,0.697,-336396,-484465,118634,57.9,2376.1
3979840541,3971840541,-1.798,0.358,0.626,-335864,-483216,118338,57.9,2376.1
3979841563,3971841563,-1.724,0.614,0.574,-335703,-482136,118124,57.9,2376.1
3979842585,3971842585,-1.48,0.902,0.459,-335171,-480922,117642,57.9,2376.1
3979843607,3971843607,-1.174,1.128,0.491,-334504,-479967,117777,57.9,2376.1
3979844628,3971844628,-1.114,1.273,0.645,-334372,-479354,118421,57.9,2376.1
3979845650,3971845650,-0.854,1.426,0.61,-333806,-478709,118272,57.9,2376.1
3979846672,3971846672,-0.748,1.503,0.61,-333575,-478383,118273,57.9,2376.1
3979847694,3971847694,-0.394,1.253,0.574,-332803,-479438,118125,57.9,2376.1
3979848716,3971848716,-0.027,1.099,0.455,-332004,-480090,117625,57.9,2376.1
3979849737,3971849737,0.246,0.867,0.325,-331409,-481067,117084,57.9,2376.1
3979850759,3971850759,0.256,0.58,0.14,-331386,-482280,116313,57.9,2376.1
3979851793,3971851793,0.379,0.437,0.124,-331118,-482881,116247,57.9,2376.1
3979852870,3971852870,0.379,0.437,0.124,-331118,-482881,116247,57.9,2376.1
3979853935,3971853935,0.468,0.064,-0.229,-330924,-484457,114775,57.9,2376.1
3979854956,3971854956,0.57,-0.159,-0.213,-330703,-485401,114842,57.9,2376.1
3979855977,3971855977,0.564,-0.499,-0.485,-330716,-486834,113706,57.9,2376.1
3979856997,3971856997,0.575,-0.402,-0.528,-330691,-486425,113529,57.9,2376.1
3979858018,3971858018,0.429,-0.385,-0.445,-331010,-486353,113875,57.9,2376.1
3979859039,3971859039,0.394,-0.486,-0.463,-331085,-486779,113798,57.9,2376.1
3979860060,3971860060,0.359,-0.39,-0.487,-331163,-486375,113698,57.9,2376.1
3979861081,3971861081,0.058,-0.231,-0.388,-331818,-485705,114111,57.9,2376.1
3979862102,3971862102,0.011,-0.222,-0.554,-331921,-485666,113419,57.9,2376.1
3979863123,3971863123,0.009,-0.308,-0.613,-331924,-486027,113172,57.9,2376.1
