# Participant: P5_AURA_frc_reset_init
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 203410
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
4026598415,4018598415,-55.521,0.378,0.701,-452942,-483132,118651,103.5,2138.5
4026599256,4018599256,-55.376,0.237,0.62,-452626,-483728,118314,103.5,2138.5
4026600277,4018600277,-55.301,0.113,0.689,-452464,-484250,118602,103.5,2138.5
4026601297,4018601297,-55.231,0.181,0.654,-452311,-483964,118455,103.5,2138.5
4026602318,4018602318,-55.474,0.215,0.67,-452841,-483820,118523,103.5,2138.5
4026603339,4018603339,-55.461,-0.062,0.636,-452811,-484989,118383,103.5,2138.5
4026604360,4018604360,-55.731,0.021,0.772,-453401,-484641,118948,103.5,2138.5
4026605381,4018605381,-55.796,-0.346,0.68,-453542,-486189,118567,103.5,2138.5
4026606402,4018606402,-56.09,-0.357,0.458,-454182,-486237,117639,103.5,2138.5
4026607423,4018607423,-55.97,-0.431,0.476,-453922,-486549,117713,103.5,2138.5
4026608444,4018608444,-56.102,-0.624,0.379,-454209,-487364,117308,103.5,2138.5
4026609465,4018609465,-56.304,-0.609,0.396,-454648,-487298,117380,103.5,2138.5
4026610486,4018610486,-56.607,-0.595,0.384,-455310,-487241,117331,103.5,2138.5
4026611506,4018611506,-57.007,-0.604,0.349,-456182,-487277,117185,103.5,2138.5
4026612527,4018612527,-57.541,-0.533,0.51,-457346,-486979,117857,103.5,2138.5
4026613548,4018613548,-57.517,-0.572,0.456,-457293,-487141,117631,103.5,2138.5
4026614569,4018614569,-57.894,-0.399,0.546,-458115,-486414,118005,103.5,2138.5
4026615590,4018615590,-58.048,-0.416,0.609,-458450,-486484,118267,103.5,2138.5
4026616611,4018616611,-58.101,-0.278,0.622,-458566,-485900,118323,103.5,2138.5
4026617632,4018617632,-58.441,-0.317,0.668,-459306,-486064,118513,103.5,2138.5
4026618653,4018618653,-58.417,-0.389,0.637,-459253,-486369,118386,103.5,2138.5
4026619674,4018619674,-58.962,-0.354,0.687,-460442,-486221,118593,103.5,2138.5
4026620695,4018620695,-59.201,-0.507,0.521,-460962,-486867,117902,103.5,2138.5
4026621716,4018621716,-59.763,-0.29,0.698,-462187,-485952,118641,103.5,2138.5
4026622736,4018622736,-59.855,-0.471,0.659,-462389,-486717,118476,103.5,2138.5
4026623757,4018623757,-60.279,-0.447,0.647,-463313,-486615,118427,103.5,2138.5
4026624778,4018624778,-60.319,-0.445,0.721,-463400,-486606,118734,103.5,2138.5
4026625799,4018625799,-60.487,-0.389,0.512,-463765,-486370,117865,103.5,2138.5
4026626820,4018626820,-60.697,-0.397,0.545,-464222,-486405,118004,103.5,2138.5
4026627841,4018627841,-60.928,-0.545,0.558,-464726,-487029,118055,103.5,2138.5
4026628862,4018628862,-61.505,-0.355,0.536,-465983,-486226,117963,103.5,2138.5
4026629883,4018629883,-61.475,-0.448,0.46,-465918,-486620,117649,103.5,2138.5
4026630904,4018630904,-61.974,-0.253,0.57,-467007,-485796,118107,103.5,2138.5
4026631924,4018631924,-61.89,-0.35,0.564,-466822,-486204,118082,103.5,2138.5
4026632945,4018632945,-62.274,-0.163,0.557,-467660,-485414,118052,103.5,2138.5
4026633966,4018633966,-62.193,-0.33,0.623,-467483,-486123,118329,103.5,2138.5
