# Participant: P5_AURA_frc_reset
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 203508
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
4084292763,4076292763,2.035,-0.036,-0.753,-327495,-484843,112618,43.1,2203.6
4084293273,4076293273,2.003,-0.068,-0.76,-327565,-484979,112587,43.1,2203.6
4084294295,4076294295,2.073,-0.075,-0.766,-327413,-485008,112565,43.1,2203.6
4084295317,4076295317,2.098,-0.078,-0.668,-327359,-485022,112974,43.1,2203.6
4084296339,4076296339,2.005,-0.029,-0.731,-327560,-484812,112709,43.1,2203.6
4084297361,4076297361,1.995,0.006,-0.652,-327583,-484666,113041,43.1,2203.6
4084298382,4076298382,1.991,-0.047,-0.673,-327592,-484892,112953,43.1,2203.6
4084299404,4076299404,1.926,0.013,-0.722,-327733,-484638,112746,43.1,2203.6
4084300426,4076300426,2.025,-0.031,-0.722,-327518,-484821,112747,43.1,2203.6
4084301447,4076301447,2.051,-0.01,-0.73,-327461,-484735,112712,43.1,2203.6
4084302469,4076302469,2.031,-0.019,-0.788,-327505,-484771,112471,43.1,2203.6
4084303491,4076303491,2.032,0.007,-0.728,-327503,-484660,112723,43.1,2203.6
4084304513,4076304513,2.005,0.005,-0.759,-327561,-484669,112595,43.1,2203.6
4084305535,4076305535,2.015,-0.079,-0.825,-327538,-485023,112318,43.1,2203.6
4084306556,4076306556,2.111,-0.079,-0.749,-327329,-485026,112633,43.1,2203.6
4084307578,4076307578,2.163,0.01,-0.679,-327216,-484650,112928,43.1,2203.6
4084308600,4076308600,2.176,-0.036,-0.797,-327188,-484842,112435,43.1,2203.6
4084309622,4076309622,2.147,-0.031,-0.797,-327251,-484824,112433,43.1,2203.6
4084310643,4076310643,2.0,-0.063,-0.791,-327571,-484959,112459,43.1,2203.6
4084311665,4076311665,2.168,0.012,-0.854,-327205,-484643,112198,43.1,2203.6
