# Participant: P5_AURA_leak_zeroing
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 203645
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
4181551981,4173551981,17.743,-1.011,-0.818,-293247,-488998,112348,148.7,2514.9
4181552487,4173552487,17.706,-1.003,-0.722,-293328,-488962,112748,148.7,2514.9
4181553508,4173553508,17.767,-0.922,-0.741,-293194,-488622,112668,148.7,2514.9
4181554529,4173554529,17.732,-0.783,-0.53,-293270,-488034,113546,148.7,2514.9
4181555550,4173555550,17.75,-0.786,-0.551,-293232,-488044,113461,148.7,2514.9
4181556571,4173556571,17.827,-0.658,-0.499,-293064,-487504,113677,148.7,2514.9
4181557592,4173557592,17.905,-0.644,-0.66,-292893,-487446,113004,148.7,2514.9
4181558613,4173558613,18.075,-1.047,-0.844,-292522,-489149,112240,148.7,2514.9
4181559633,4173559633,18.498,-1.322,-0.884,-291602,-490308,112073,148.7,2514.9
4181560654,4173560654,18.434,-1.141,-0.719,-291741,-489543,112758,148.7,2514.9
4181561675,4173561675,18.283,-0.943,-0.994,-292070,-488710,111615,148.7,2514.9
4181562696,4173562696,18.61,-1.288,-1.028,-291357,-490167,111470,148.7,2514.9
4181563717,4173563717,18.786,-1.49,-1.083,-290973,-491017,111242,148.7,2514.9
4181564738,4173564738,18.827,-1.335,-1.048,-290884,-490364,111390,148.7,2514.9
4181565759,4173565759,18.858,-1.329,-1.068,-290817,-490339,111304,148.7,2514.9
4181566780,4173566780,18.866,-1.245,-1.005,-290798,-489983,111566,148.7,2514.9
4181567801,4173567801,19.037,-1.48,-1.147,-290427,-490975,110976,148.7,2514.9
4181568822,4173568822,19.254,-1.505,-1.212,-289953,-491080,110704,148.7,2514.9
4181569842,4173569842,19.253,-1.32,-1.08,-289956,-490302,111253,148.7,2514.9
4181570863,4173570863,19.072,-1.339,-1.023,-290351,-490381,111494,148.7,2514.9
4181571884,4173571884,19.261,-1.333,-1.09,-289939,-490355,111211,148.7,2514.9
4181572905,4173572905,19.231,-1.369,-1.034,-290004,-490507,111445,148.7,2514.9
4181573926,4173573926,19.374,-1.517,-1.153,-289691,-491132,110952,148.7,2514.9
4181574947,4173574947,19.507,-1.537,-1.145,-289401,-491218,110985,148.7,2514.9
4181575968,4173575968,19.459,-1.461,-1.084,-289507,-490896,111237,148.7,2514.9
4181576989,4173576989,19.557,-1.448,-1.1,-289294,-490841,111172,148.7,2514.9
4181578010,4173578010,19.643,-1.392,-1.025,-289106,-490604,111482,148.7,2514.9
4181579030,4173579030,19.516,-1.556,-0.905,-289382,-491298,111986,148.7,2514.9
4181580051,4173580051,19.574,-1.576,-0.898,-289255,-491381,112012,148.7,2514.9
4181581072,4173581072,19.629,-1.56,-1.041,-289135,-491312,111419,148.7,2514.9
4181582093,4173582093,19.855,-1.792,-1.202,-288644,-492295,110747,148.7,2514.9
4181583114,4173583114,20.141,-1.818,-1.207,-288021,-492401,110724,148.7,2514.9
4181584135,4173584135,20.021,-1.742,-1.07,-288281,-492081,111296,148.7,2514.9
4181585156,4173585156,19.975,-1.77,-1.078,-288382,-492201,111264,148.7,2514.9
4181586177,4173586177,19.927,-1.578,-1.04,-288486,-491390,111421,148.7,2514.9
4181587198,4173587198,19.807,-1.264,-1.003,-288749,-490062,111576,148.7,2514.9
4181588219,4173588219,20.099,-1.198,-1.049,-288111,-489786,111385,148.7,2514.9
4181589239,4173589239,20.313,-1.457,-1.238,-287645,-490880,110595,148.7,2514.9
4181590260,4173590260,20.573,-1.525,-1.267,-287078,-491167,110477,148.7,2514.9
4181591281,4173591281,20.633,-1.473,-1.324,-286948,-490948,110237,148.7,2514.9
4181592302,4173592302,20.751,-1.805,-1.509,-286690,-492349,109467,148.7,2514.9
4181593323,4173593323,21.047,-1.904,-1.706,-286046,-492767,108645,148.7,2514.9
4181594344,4173594344,21.053,-2.275,-1.843,-286032,-494334,108074,148.7,2514.9
