# Participant: P5_AURA_leak_zero_check
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 203710
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
4206116586,4198116586,1.499,-0.013,0.116,-328548,-484567,116275,250.0,2294.5
4206117242,4198117242,1.643,-0.078,0.131,-328235,-484844,116336,250.0,2294.5
4206118264,4198118264,1.574,-0.067,0.008,-328385,-484795,115826,250.0,2294.5
4206119286,4198119286,1.622,-0.05,0.094,-328280,-484727,116182,250.0,2294.5
4206120308,4198120308,1.566,-0.12,-0.054,-328403,-485019,115567,250.0,2294.5
4206121329,4198121329,1.567,-0.053,-0.007,-328399,-484739,115763,250.0,2294.5
4206122351,4198122351,1.569,-0.055,0.046,-328396,-484747,115983,250.0,2294.5
4206123373,4198123373,1.535,-0.062,0.066,-328469,-484775,116067,250.0,2294.5
4206124395,4198124395,1.519,-0.049,-0.036,-328504,-484721,115639,250.0,2294.5
4206125416,4198125416,1.483,-0.077,0.089,-328584,-484837,116160,250.0,2294.5
4206126438,4198126438,1.343,0.002,0.0,-328888,-484505,115791,250.0,2294.5
4206127460,4198127460,1.476,0.037,0.018,-328598,-484357,115864,250.0,2294.5
4206128482,4198128482,1.467,-0.056,0.091,-328619,-484749,116169,250.0,2294.5
4206129503,4198129503,1.449,0.026,0.054,-328656,-484404,116016,250.0,2294.5
4206130525,4198130525,1.517,-0.02,0.006,-328510,-484597,115816,250.0,2294.5
4206131547,4198131547,1.433,-0.051,0.073,-328693,-484729,116095,250.0,2294.5
4206132569,4198132569,1.43,-0.023,-0.039,-328699,-484613,115628,250.0,2294.5
4206133591,4198133591,1.419,-0.016,0.112,-328723,-484580,116256,250.0,2294.5
4206134612,4198134612,1.5,-0.016,0.03,-328547,-484580,115917,250.0,2294.5
4206135634,4198135634,1.446,-0.013,0.098,-328664,-484570,116198,250.0,2294.5
4206136656,4198136656,1.508,-0.054,0.048,-328528,-484740,115992,250.0,2294.5
4206137678,4198137678,1.467,0.014,-0.05,-328619,-484453,115581,250.0,2294.5
4206138699,4198138699,1.456,-0.023,0.049,-328642,-484610,115994,250.0,2294.5
4206139721,4198139721,1.538,0.04,0.031,-328464,-484344,115921,250.0,2294.5
4206140743,4198140743,1.509,-0.029,0.005,-328527,-484638,115811,250.0,2294.5
4206141765,4198141765,1.556,0.032,0.006,-328423,-484377,115814,250.0,2294.5
4206142787,4198142787,1.52,0.03,0.011,-328502,-484386,115838,250.0,2294.5
4206143808,4198143808,1.465,-0.047,-0.013,-328623,-484714,115738,250.0,2294.5
4206144830,4198144830,1.634,0.022,0.055,-328253,-484421,116022,250.0,2294.5
4206145852,4198145852,1.616,-0.02,0.011,-328293,-484597,115835,250.0,2294.5
4206146874,4198146874,1.632,0.101,-0.027,-328258,-484088,115680,250.0,2294.5
4206147895,4198147895,1.658,0.024,0.084,-328202,-484413,116142,250.0,2294.5
4206148917,4198148917,1.553,0.064,0.084,-328431,-484244,116143,250.0,2294.5
4206149939,4198149939,1.695,0.022,0.09,-328122,-484423,116168,250.0,2294.5
4206150961,4198150961,1.695,0.102,0.102,-328120,-484085,116216,250.0,2294.5
4206151982,4198151982,1.617,0.049,0.003,-328291,-484305,115802,250.0,2294.5
4206153004,4198153004,1.727,0.054,0.099,-328052,-484287,116203,250.0,2294.5
4206154026,4198154026,1.67,0.069,0.014,-328176,-484224,115851,250.0,2294.5
4206155048,4198155048,1.764,0.038,0.114,-327971,-484352,116268,250.0,2294.5
