# Participant: P5_AURA_leak_quiet_breathing
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 203747
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
4243682818,4235682818,-91.272,-0.394,-0.717,-530587,-486254,112868,324.8,2210.2
4243683453,4235683453,-91.563,-0.251,-0.594,-531221,-485652,113378,324.8,2210.2
4243684474,4235684474,-91.485,-0.029,-0.69,-531051,-484716,112977,324.8,2210.2
4243685495,4235685495,-91.694,-0.028,-0.605,-531505,-484712,113334,324.8,2210.2
4243686516,4235686516,-91.757,-0.202,-0.28,-531643,-485443,114687,324.8,2210.2
4243687537,4235687537,-91.769,-0.069,-0.411,-531669,-484882,114143,324.8,2210.2
4243688558,4235688558,-91.758,-0.346,-0.338,-531645,-486051,114446,324.8,2210.2
4243689579,4235689579,-91.779,-0.779,-0.367,-531691,-487877,114324,324.8,2210.2
4243690599,4235690599,-91.828,-1.093,-0.525,-531797,-489202,113665,324.8,2210.2
4243691620,4235691620,-91.984,-0.978,-0.125,-532137,-488720,115334,324.8,2210.2
4243692641,4235692641,-92.162,-0.794,-0.045,-532525,-487941,115666,324.8,2210.2
4243693662,4235693662,-92.387,-0.642,-0.117,-533016,-487301,115365,324.8,2210.2
4243694683,4235694683,-92.652,-0.388,-0.805,-533593,-486228,112500,324.8,2210.2
4243695704,4235695704,-92.927,-0.128,-0.784,-534191,-485130,112589,324.8,2210.2
4243696725,4235696725,-93.272,0.422,-0.925,-534942,-482810,112000,324.8,2210.2
4243697746,4235697746,-93.594,0.533,-0.658,-535644,-482343,113112,324.8,2210.2
4243698767,4235698767,-93.692,0.643,-1.152,-535858,-481878,111053,324.8,2210.2
4243699788,4235699788,-93.808,0.712,-1.336,-536110,-481588,110287,324.8,2210.2
4243700808,4235700808,-93.936,0.701,-1.414,-536388,-481635,109960,324.8,2210.2
4243701829,4235701829,-93.9,0.553,-1.319,-536311,-482258,110357,324.8,2210.2
4243702850,4235702850,-94.169,0.697,-1.317,-536896,-481649,110366,324.8,2210.2
4243703871,4235703871,-94.144,0.843,-0.971,-536842,-481033,111808,324.8,2210.2
4243704892,4235704892,-93.968,0.67,-0.967,-536458,-481763,111823,324.8,2210.2
4243705913,4235705913,-93.948,0.303,-1.346,-536414,-483312,110244,324.8,2210.2
4243706934,4235706934,-93.78,0.056,-1.224,-536048,-484354,110752,324.8,2210.2
4243707955,4235707955,-93.724,0.086,-1.149,-535928,-484231,111066,324.8,2210.2
4243708976,4235708976,-93.785,-0.234,-1.757,-536059,-485581,108533,324.8,2210.2
4243709997,4235709997,-93.841,-0.176,-1.73,-536181,-485333,108644,324.8,2210.2
4243711017,4235711017,-94.036,0.293,-1.734,-536607,-483355,108630,324.8,2210.2
4243712038,4235712038,-94.076,0.222,-1.939,-536694,-483654,107776,324.8,2210.2
4243713059,4235713059,-94.135,0.476,-2.14,-536821,-482583,106938,324.8,2210.2
4243714080,4235714080,-94.433,0.959,-2.024,-537471,-480544,107420,324.8,2210.2
4243715101,4235715101,-94.21,1.532,-2.127,-536986,-478126,106992,324.8,2210.2
4243716122,4235716122,-94.286,1.519,-2.415,-537152,-478181,105790,324.8,2210.2
4243717143,4235717143,-94.237,1.374,-1.51,-537045,-478793,109564,324.8,2210.2
4243718164,4235718164,-94.354,1.067,-1.224,-537298,-480088,110754,324.8,2210.2
4243719185,4235719185,-94.676,0.756,-1.627,-538000,-481400,109076,324.8,2210.2
4243720205,4235720205,-94.837,0.725,-0.959,-538350,-481535,111858,324.8,2210.2
4243721226,4235721226,-95.1,0.705,-0.828,-538923,-481618,112405,324.8,2210.2
4243722247,4235722247,-95.39,0.044,-1.346,-539555,-484406,110245,324.8,2210.2
4243723268,4235723268,-95.593,-0.433,-0.758,-539998,-486420,112694,324.8,2210.2
4243724289,4235724289,-96.175,-0.243,-1.071,-541266,-485618,111391,324.8,2210.2
4243725310,4235725310,-96.424,-0.097,-1.359,-541807,-485001,110192,324.8,2210.2
4243726331,4235726331,-96.723,-0.275,-1.209,-542458,-485754,110816,324.8,2210.2
4243727352,4235727352,-97.131,0.156,-1.191,-543346,-483934,110892,324.8,2210.2
4243728373,4235728373,-97.305,0.577,-1.035,-543726,-482157,111543,324.8,2210.2
4243729394,4235729394,-97.301,0.538,-1.945,-543717,-482320,107749,324.8,2210.2
4243730414,4235730414,-97.388,0.774,-1.176,-543906,-481327,110953,324.8,2210.2
4243731447,4235731447,-97.559,1.254,-0.852,-544279,-479300,112305,324.8,2210.2
4243732523,4235732523,-97.559,1.254,-0.852,-544279,-479300,112305,324.8,2210.2
4243733588,4235733588,-97.559,1.173,-1.573,-544310,-479605,109299,324.8,2210.2
4243734608,4235734608,-97.726,1.378,-1.029,-544675,-478742,111568,324.8,2210.2
4243735629,4235735629,-97.959,1.444,-1.266,-545181,-478463,110578,324.8,2210.2
4243736650,4235736650,-98.082,1.505,-0.818,-545449,-478205,112445,324.8,2210.2
4243737671,4235737671,-98.262,1.176,-0.444,-545841,-479593,114004,324.8,2210.2
4243738692,4235738692,-98.461,1.367,-0.684,-546274,-478787,113005,324.8,2210.2
4243739713,4235739713,-98.556,1.66,-0.714,-546482,-477554,112878,324.8,2210.2
4243740734,4235740734,-98.542,1.708,-0.294,-546452,-477351,114627,324.8,2210.2
4243741755,4235741755,-98.896,1.219,-0.752,-547222,-479413,112721,324.8,2210.2
4243742776,4235742776,-98.763,0.956,-1.052,-546932,-480524,111471,324.8,2210.2
4243743797,4235743797,-98.971,0.799,-0.131,-547385,-481186,115310,324.8,2210.2
4243744817,4235744817,-99.054,0.908,-0.886,-547566,-480723,112163,324.8,2210.2
4243745838,4235745838,-99.148,1.103,-0.896,-547771,-479900,112120,324.8,2210.2
4243746859,4235746859,-99.278,0.703,-1.189,-548055,-481590,110898,324.8,2210.2
4243747880,4235747880,-99.152,0.606,-0.764,-547779,-481998,112670,324.8,2210.2
4243748901,4235748901,-99.238,0.883,-1.021,-547968,-480832,111600,324.8,2210.2
4243749922,4235749922,-99.123,0.975,-0.793,-547716,-480441,112548,324.8,2210.2
4243750943,4235750943,-99.11,0.937,-0.257,-547688,-480602,114784,324.8,2210.2
4243751964,4235751964,-99.161,0.594,-1.078,-547799,-482051,111364,324.8,2210.2
4243752985,4235752985,-99.343,0.152,-1.251,-548195,-483914,110641,324.8,2210.2
4243754006,4235754006,-99.633,-0.423,-0.759,-548828,-486342,112690,324.8,2210.2
4243755026,4235755026,-99.652,-0.282,-0.904,-548870,-485746,112086,324.8,2210.2
4243756047,4235756047,-99.782,-0.269,-1.203,-549153,-485692,110841,324.8,2210.2
4243757069,4235757069,-99.879,-0.301,-1.021,-549363,-485826,111600,324.8,2210.2
4243758090,4235758090,-99.877,0.26,-1.425,-549358,-483459,109918,324.8,2210.2
4243759112,4235759112,-100.005,-0.276,-1.616,-549637,-485720,109121,324.8,2210.2
4243760134,4235760134,-100.019,-0.435,-0.357,-549669,-486392,114365,324.8,2210.2
4243761156,4235761156,-100.076,0.617,-0.167,-549792,-481951,115159,324.8,2210.2
4243762178,4235762178,-100.113,1.315,-0.73,-549874,-479006,112812,324.8,2210.2
4243763199,4235763199,-99.989,0.872,-0.367,-549602,-480876,114326,324.8,2210.2
4243764221,4235764221,-100.061,0.499,-0.325,-549759,-482452,114498,324.8,2210.2
4243765243,4235765243,-100.006,0.325,-0.528,-549639,-483183,113656,324.8,2210.2
4243766265,4235766265,-99.979,-0.065,0.353,-549581,-484830,117327,324.8,2210.2
4243767286,4235767286,-100.001,-0.044,0.207,-549630,-484740,116718,324.8,2210.2
4243768308,4235768308,-99.908,-0.798,-0.253,-549426,-487923,114798,324.8,2210.2
4243769330,4235769330,-100.013,-1.371,0.151,-549656,-490338,116483,324.8,2210.2
4243770352,4235770352,-100.049,-1.363,0.206,-549734,-490304,116711,324.8,2210.2
4243771373,4235771373,-100.264,-1.525,0.004,-550202,-490989,115870,324.8,2210.2
4243772395,4235772395,-100.367,-1.69,0.135,-550426,-491686,116416,324.8,2210.2
4243773417,4235773417,-100.161,-1.773,-0.015,-549978,-492035,115790,324.8,2210.2
4243774439,4235774439,-100.328,-1.689,-0.096,-550342,-491680,115454,324.8,2210.2
4243775461,4235775461,-100.373,-1.341,-0.354,-550440,-490215,114378,324.8,2210.2
4243776482,4235776482,-100.4,-0.718,-0.343,-550497,-487584,114426,324.8,2210.2
4243777504,4235777504,-100.375,0.135,-0.448,-550444,-483987,113986,324.8,2210.2
4243778526,4235778526,-100.433,0.687,-0.438,-550569,-481656,114028,324.8,2210.2
