# Participant: P5_AURA_leak_deep_breathing
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 204052
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
133615638,125615638,-88.942,-0.952,3.873,-525482,-488573,131991,145.1,2275.5
133616457,125616457,-88.706,-0.974,3.947,-524968,-488664,132301,145.1,2275.5
133617479,125617479,-88.753,-0.808,3.89,-525070,-487965,132064,145.1,2275.5
133618500,125618500,-88.695,-0.638,3.942,-524944,-487249,132278,145.1,2275.5
133619522,125619522,-88.801,-1.089,3.844,-525176,-489148,131871,145.1,2275.5
133620555,125620555,-88.594,-1.181,3.709,-524724,-489538,131309,145.1,2275.5
133621630,125621630,-88.594,-1.181,3.709,-524724,-489538,131309,145.1,2275.5
133622695,125622695,-88.896,-0.979,3.589,-525383,-488684,130810,145.1,2275.5
133623716,125623716,-88.661,-0.642,3.731,-524871,-487266,131402,145.1,2275.5
133624737,125624737,-88.512,-0.806,3.681,-524547,-487954,131193,145.1,2275.5
133625758,125625758,-88.666,-0.955,3.686,-524881,-488583,131213,145.1,2275.5
133626779,125626779,-88.538,-0.858,3.5,-524603,-488175,130440,145.1,2275.5
133627800,125627800,-88.535,-0.904,3.429,-524597,-488369,130141,145.1,2275.5
133628821,125628821,-88.709,-1.153,3.493,-524974,-489422,130408,145.1,2275.5
133629841,125629841,-88.546,-1.122,3.778,-524621,-489289,131597,145.1,2275.5
133630862,125630862,-88.557,-1.121,3.861,-524643,-489286,131944,145.1,2275.5
133631883,125631883,-88.741,-1.403,3.739,-525045,-490473,131433,145.1,2275.5
133632904,125632904,-88.827,-1.165,3.759,-525233,-489470,131516,145.1,2275.5
133633925,125633925,-88.613,-1.206,3.795,-524767,-489642,131666,145.1,2275.5
133634946,125634946,-88.726,-1.325,3.84,-525012,-490147,131854,145.1,2275.5
133635967,125635967,-88.628,-1.371,3.973,-524799,-490341,132409,145.1,2275.5
133636988,125636988,-88.639,-1.362,3.891,-524822,-490301,132067,145.1,2275.5
133638009,125638009,-88.712,-1.041,3.891,-524982,-488949,132066,145.1,2275.5
133639030,125639030,-88.749,-1.063,3.609,-525062,-489039,130894,145.1,2275.5
133640051,125640051,-88.846,-0.304,3.597,-525273,-485839,130842,145.1,2275.5
133641072,125641072,-88.727,-0.483,3.468,-525014,-486595,130303,145.1,2275.5
133642092,125642092,-88.819,-0.39,3.576,-525215,-486202,130754,145.1,2275.5
133643113,125643113,-88.796,-0.408,3.757,-525165,-486277,131508,145.1,2275.5
133644134,125644134,-88.772,-0.482,3.806,-525113,-486590,131712,145.1,2275.5
133645155,125645155,-88.636,-0.019,3.825,-524816,-484636,131791,145.1,2275.5
133646176,125646176,-88.58,-0.143,3.78,-524694,-485159,131605,145.1,2275.5
133647197,125647197,-88.539,-0.358,3.835,-524604,-486067,131836,145.1,2275.5
133648219,125648219,-88.651,-1.179,3.664,-524848,-489528,131123,145.1,2275.5
133649241,125649241,-88.638,-1.081,3.803,-524820,-489116,131699,145.1,2275.5
133650262,125650262,-88.64,-1.048,3.75,-524824,-488975,131479,145.1,2275.5
133651284,125651284,-88.74,-1.255,3.761,-525043,-489852,131526,145.1,2275.5
133652306,125652306,-88.552,-1.128,3.674,-524634,-489313,131163,145.1,2275.5
133653327,125653327,-88.543,-1.315,3.684,-524614,-490105,131204,145.1,2275.5
133654349,125654349,-88.48,-1.12,3.689,-524477,-489281,131227,145.1,2275.5
133655371,125655371,-88.528,-1.196,3.835,-524580,-489601,131836,145.1,2275.5
133656393,125656393,-88.613,-1.012,3.783,-524766,-488824,131616,145.1,2275.5
133657415,125657415,-88.649,-0.668,3.675,-524844,-487373,131168,145.1,2275.5
133658436,125658436,-88.557,-0.942,3.579,-524644,-488530,130769,145.1,2275.5
133659458,125659458,-88.753,-0.725,3.631,-525070,-487614,130985,145.1,2275.5
133660480,125660480,-88.535,-0.804,3.763,-524597,-487946,131532,145.1,2275.5
133661502,125661502,-88.466,-0.855,3.777,-524445,-488161,131593,145.1,2275.5
133662524,125662524,-88.205,-0.988,3.599,-523878,-488723,130850,145.1,2275.5
133663545,125663545,-88.42,-1.03,3.609,-524345,-488899,130892,145.1,2275.5
133664567,125664567,-88.553,-0.638,3.845,-524635,-487249,131876,145.1,2275.5
133665589,125665589,-88.251,-0.836,3.739,-523978,-488082,131434,145.1,2275.5
133666611,125666611,-88.326,-1.441,3.693,-524141,-490635,131241,145.1,2275.5
133667632,125667632,-88.355,-1.345,3.772,-524205,-490232,131571,145.1,2275.5
133668654,125668654,-88.235,-1.375,3.637,-523943,-490357,131009,145.1,2275.5
133669676,125669676,-88.385,-0.807,3.615,-524269,-487962,130916,145.1,2275.5
133670698,125670698,-88.499,-0.533,3.707,-524517,-486805,131302,145.1,2275.5
133671719,125671719,-88.227,-0.541,3.697,-523926,-486837,131258,145.1,2275.5
133672741,125672741,-88.207,-1.312,3.726,-523882,-490092,131379,145.1,2275.5
133673763,125673763,-88.427,-1.065,3.704,-524361,-489050,131287,145.1,2275.5
133674785,125674785,-88.366,-0.544,3.877,-524227,-486850,132007,145.1,2275.5
133675807,125675807,-88.604,-0.757,3.717,-524746,-487750,131341,145.1,2275.5
133676828,125676828,-88.656,-0.889,3.771,-524859,-488305,131567,145.1,2275.5
133677850,125677850,-88.299,-0.527,3.733,-524082,-486781,131407,145.1,2275.5
133678872,125678872,-88.174,-0.772,3.706,-523810,-487813,131297,145.1,2275.5
133679894,125679894,-88.219,-0.937,3.605,-523909,-488510,130875,145.1,2275.5
133680916,125680916,-88.265,-0.908,3.627,-524009,-488385,130966,145.1,2275.5
133681937,125681937,-88.292,-0.812,3.682,-524067,-487982,131195,145.1,2275.5
133682959,125682959,-88.209,-0.911,3.763,-523886,-488398,131535,145.1,2275.5
133683981,125683981,-88.149,-1.194,3.671,-523755,-489593,131149,145.1,2275.5
133685003,125685003,-88.232,-0.924,3.577,-523937,-488453,130757,145.1,2275.5
133686025,125686025,-88.147,-0.923,3.669,-523752,-488450,131143,145.1,2275.5
133687046,125687046,-88.106,-1.119,3.673,-523661,-489278,131161,145.1,2275.5
133688068,125688068,-88.12,-1.006,3.566,-523692,-488798,130714,145.1,2275.5
133689090,125689090,-88.065,-1.147,3.598,-523573,-489394,130846,145.1,2275.5
133690112,125690112,-88.043,-1.439,3.492,-523525,-490625,130404,145.1,2275.5
133691133,125691133,-88.009,-1.423,3.495,-523450,-490557,130419,145.1,2275.5
133692155,125692155,-88.13,-1.324,3.709,-523714,-490143,131309,145.1,2275.5
133693177,125693177,-88.128,-1.384,3.499,-523710,-490396,130433,145.1,2275.5
133694199,125694199,-88.199,-1.737,3.537,-523865,-491882,130591,145.1,2275.5
133695221,125695221,-88.136,-1.51,3.388,-523728,-490925,129970,145.1,2275.5
133696242,125696242,-88.075,-1.198,3.548,-523594,-489611,130640,145.1,2275.5
133697264,125697264,-87.857,-1.499,3.567,-523119,-490880,130719,145.1,2275.5
133698286,125698286,-88.036,-1.619,3.538,-523509,-491385,130595,145.1,2275.5
133699308,125699308,-88.072,-1.329,3.6,-523587,-490162,130854,145.1,2275.5
133700329,125700329,-87.865,-1.318,3.581,-523137,-490117,130777,145.1,2275.5
133701351,125701351,-87.863,-1.321,3.576,-523133,-490128,130753,145.1,2275.5
133702373,125702373,-87.712,-1.306,3.568,-522803,-490064,130722,145.1,2275.5
133703395,125703395,-87.743,-1.577,3.451,-522871,-491209,130232,145.1,2275.5
