# Participant: P5_AURA_leak_rainbow
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 204158
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
199235076,191235076,141.859,-21.119,-26.923,-22778,-573649,3684,102.0,2404.7
199235678,191235678,139.234,-19.345,-25.565,-28492,-566165,9345,102.0,2404.7
199236710,191236710,138.291,-17.438,-25.217,-30546,-558122,10795,102.0,2404.7
199237786,191237786,138.291,-17.438,-25.217,-30546,-558122,10795,102.0,2404.7
199238851,191238851,137.597,-19.4,-24.856,-32057,-566354,12301,102.0,2404.7
199239872,191239872,136.73,-17.544,-24.722,-33944,-558525,12858,102.0,2404.7
199240893,191240893,137.685,-18.697,-25.677,-31865,-563388,8880,102.0,2404.7
199241914,191241914,137.795,-19.947,-25.608,-31626,-568663,9165,102.0,2404.7
199242935,191242935,136.117,-16.396,-25.491,-35279,-553682,9655,102.0,2404.7
199243956,191243956,134.418,-16.401,-23.554,-38979,-553706,17728,102.0,2404.7
199244976,191244976,134.015,-15.547,-24.123,-39857,-550101,15358,102.0,2404.7
199245997,191245997,133.205,-15.653,-24.666,-41619,-550551,13094,102.0,2404.7
199247018,191247018,133.083,-18.07,-25.443,-41885,-560743,9856,102.0,2404.7
199248039,191248039,135.118,-20.707,-27.446,-37455,-571869,1507,102.0,2404.7
199249060,191249060,135.862,-20.86,-28.343,-35834,-572514,-2234,102.0,2404.7
199250081,191250081,135.752,-19.005,-28.28,-36074,-564690,-1970,102.0,2404.7
199251102,191251102,134.978,-20.37,-26.667,-37760,-570446,4752,102.0,2404.7
199252123,191252123,133.741,-17.877,-25.763,-40452,-559932,8522,102.0,2404.7
199253144,191253144,132.414,-17.091,-25.092,-43342,-556613,11317,102.0,2404.7
199254165,191254165,131.113,-16.912,-22.983,-46176,-555861,20107,102.0,2404.7
199255186,191255186,127.861,-12.947,-20.147,-53255,-539134,31927,102.0,2404.7
199256206,191256206,125.011,-11.812,-18.023,-59461,-534348,40780,102.0,2404.7
199257227,191257227,122.951,-10.455,-15.94,-63947,-528624,49460,102.0,2404.7
199258248,191258248,121.664,-8.326,-15.996,-66749,-519642,49225,102.0,2404.7
199259269,191259269,121.601,-8.833,-16.13,-66887,-521780,48667,102.0,2404.7
199260290,191260290,122.756,-8.83,-17.222,-64373,-521770,44119,102.0,2404.7
199261311,191261311,123.039,-9.33,-17.813,-63755,-523877,41654,102.0,2404.7
