# Participant: P5_AURA_leak_frc_reset_init
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 204239
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
240322688,232322688,-65.417,-0.821,1.686,-474222,-487981,122933,147.9,2803.8
240323520,232323520,-65.187,-0.594,1.665,-473722,-487024,122847,147.9,2803.8
240324542,232324542,-64.991,-0.752,1.571,-473295,-487693,122455,147.9,2803.8
240325564,232325564,-64.9,0.088,1.504,-473096,-484147,122175,147.9,2803.8
240326585,232326585,-65.974,3.184,2.071,-475436,-471089,124539,147.9,2803.8
240327607,232327607,-67.009,4.483,3.396,-477690,-465608,130057,147.9,2803.8
240328629,232328629,-66.356,3.484,3.549,-476267,-469821,130694,147.9,2803.8
240329651,232329651,-65.934,3.511,3.206,-475348,-469706,129267,147.9,2803.8
240330672,232330672,-65.432,3.072,3.068,-474255,-471558,128692,147.9,2803.8
240331694,232331694,-64.803,1.8,2.395,-472884,-476927,125889,147.9,2803.8
240332716,232332716,-63.77,0.228,1.959,-470635,-483558,124070,147.9,2803.8
240333738,232333738,-63.109,-1.03,1.369,-469195,-488866,121615,147.9,2803.8
240334760,232334760,-62.734,-1.669,0.963,-468378,-491562,119922,147.9,2803.8
240335781,232335781,-62.659,-1.638,0.685,-468216,-491430,118762,147.9,2803.8
240336803,232336803,-62.467,-1.638,0.653,-467798,-491428,118629,147.9,2803.8
240337825,232337825,-62.421,-1.275,0.758,-467698,-489900,119067,147.9,2803.8
240338847,232338847,-62.437,-1.155,0.956,-467731,-489393,119891,147.9,2803.8
240339868,232339868,-62.604,-1.111,1.035,-468096,-489205,120221,147.9,2803.8
240340890,232340890,-62.714,-0.468,1.158,-468335,-486494,120736,147.9,2803.8
240341912,232341912,-62.767,-0.057,1.534,-468451,-484761,122302,147.9,2803.8
240342934,232342934,-62.864,0.335,1.59,-468661,-483106,122534,147.9,2803.8
240343955,232343955,-62.67,0.569,1.925,-468239,-482118,123930,147.9,2803.8
240344977,232344977,-62.663,0.81,2.105,-468223,-481103,124681,147.9,2803.8
240345999,232345999,-62.545,1.226,2.002,-467966,-479348,124250,147.9,2803.8
240347021,232347021,-62.302,1.539,1.963,-467438,-478027,124088,147.9,2803.8
240348043,232348043,-61.885,1.279,1.905,-466530,-479125,123846,147.9,2803.8
240349064,232349064,-61.653,1.094,1.809,-466024,-479905,123447,147.9,2803.8
240350086,232350086,-61.278,0.831,1.812,-465208,-481012,123459,147.9,2803.8
240351108,232351108,-60.832,0.537,1.745,-464237,-482254,123179,147.9,2803.8
240352130,232352130,-60.716,0.618,1.712,-463983,-481914,123041,147.9,2803.8
240353152,232353152,-60.204,0.419,1.62,-462869,-482753,122661,147.9,2803.8
240354173,232354173,-60.075,-0.205,1.463,-462587,-485383,122007,147.9,2803.8
240355195,232355195,-59.951,-0.543,1.308,-462318,-486808,121360,147.9,2803.8
240356217,232356217,-59.705,-0.495,1.366,-461782,-486609,121601,147.9,2803.8
240357239,232357239,-59.369,-0.366,1.269,-461050,-486062,121195,147.9,2803.8
240358261,232358261,-59.17,-0.382,1.128,-460616,-486130,120608,147.9,2803.8
240359282,232359282,-59.022,-0.488,1.027,-460294,-486579,120189,147.9,2803.8
240360304,232360304,-58.76,-0.585,1.124,-459723,-486987,120593,147.9,2803.8
240361326,232361326,-58.541,-0.459,1.055,-459247,-486457,120304,147.9,2803.8
240362348,232362348,-58.349,-0.289,1.07,-458829,-485737,120366,147.9,2803.8
240363369,232363369,-58.185,0.027,1.146,-458471,-484407,120685,147.9,2803.8
240364391,232364391,-58.026,0.336,1.215,-458125,-483100,120972,147.9,2803.8
240365413,232365413,-57.727,0.338,1.254,-457475,-483093,121135,147.9,2803.8
240366435,232366435,-57.44,0.505,1.28,-456848,-482389,121244,147.9,2803.8
240367456,232367456,-57.159,0.608,1.516,-456238,-481956,122227,147.9,2803.8
240368478,232368478,-56.81,0.418,1.443,-455477,-482757,121921,147.9,2803.8
240369500,232369500,-56.535,0.197,1.381,-454878,-483690,121663,147.9,2803.8
240370522,232370522,-56.545,0.248,1.287,-454900,-483474,121270,147.9,2803.8
240371544,232371544,-56.044,0.377,1.395,-453808,-482931,121720,147.9,2803.8
240372565,232372565,-55.921,0.307,1.513,-453540,-483226,122215,147.9,2803.8
240373587,232373587,-55.552,-0.031,1.556,-452738,-484650,122394,147.9,2803.8
240374609,232374609,-55.442,-0.06,1.69,-452498,-484772,122952,147.9,2803.8
240375631,232375631,-55.231,0.163,1.784,-452038,-483832,123342,147.9,2803.8
240376652,232376652,-55.154,0.27,2.001,-451870,-483381,124247,147.9,2803.8
240377674,232377674,-54.907,0.279,2.078,-451333,-483341,124569,147.9,2803.8
240378696,232378696,-54.859,0.165,2.251,-451228,-483825,125290,147.9,2803.8
240379718,232379718,-54.699,0.083,2.449,-450879,-484170,126111,147.9,2803.8
240380740,232380740,-54.356,0.193,2.319,-450132,-483707,125571,147.9,2803.8
240381761,232381761,-54.23,0.345,2.285,-449857,-483063,125431,147.9,2803.8
240382783,232382783,-53.82,0.132,2.248,-448965,-483963,125274,147.9,2803.8
240383805,232383805,-53.681,0.153,2.114,-448662,-483873,124718,147.9,2803.8
240384827,232384827,-53.641,0.497,2.04,-448574,-482422,124411,147.9,2803.8
240385848,232385848,-53.214,0.809,2.018,-447645,-481107,124317,147.9,2803.8
240386870,232386870,-53.004,0.808,1.873,-447187,-481112,123712,147.9,2803.8
240387892,232387892,-52.586,0.67,1.569,-446278,-481694,122447,147.9,2803.8
240388914,232388914,-52.122,0.3,1.308,-445266,-483254,121361,147.9,2803.8
240389936,232389936,-51.726,-0.093,1.211,-444404,-484911,120955,147.9,2803.8
240390969,232390969,-51.411,-0.282,1.035,-443717,-485709,120222,147.9,2803.8
240392044,232392044,-51.411,-0.282,1.035,-443717,-485709,120222,147.9,2803.8
240393108,232393108,-50.569,-1.163,0.462,-441861,-489424,117834,147.9,2803.8
240394129,232394129,-50.302,-1.385,0.359,-441279,-490360,117405,147.9,2803.8
240395150,232395150,-49.992,-1.642,0.22,-440604,-491448,116828,147.9,2803.8
240396171,232396171,-49.768,-1.555,0.192,-440116,-491079,116708,147.9,2803.8
240397192,232397192,-49.593,-1.599,0.242,-439735,-491263,116917,147.9,2803.8
240398213,232398213,-49.379,-1.414,0.119,-439270,-490485,116405,147.9,2803.8
240399234,232399234,-49.144,-1.38,0.05,-438759,-490341,116120,147.9,2803.8
240400255,232400255,-49.117,-1.273,0.282,-438699,-489890,117086,147.9,2803.8
240401276,232401276,-49.023,-0.898,0.192,-438494,-488306,116710,147.9,2803.8
240402296,232402296,-48.669,-0.81,0.148,-437723,-487936,116528,147.9,2803.8
240403317,232403317,-48.487,-0.531,0.174,-437327,-486760,116636,147.9,2803.8
240404338,232404338,-48.516,-0.443,0.33,-437391,-486389,117285,147.9,2803.8
240405359,232405359,-48.19,-0.276,0.498,-436681,-485683,117986,147.9,2803.8
240406380,232406380,-48.144,-0.195,0.622,-436580,-485342,118500,147.9,2803.8
240407401,232407401,-47.909,-0.022,0.757,-436068,-484614,119062,147.9,2803.8
240408422,232408422,-47.904,0.285,0.878,-436057,-483319,119567,147.9,2803.8
240409443,232409443,-47.754,0.395,1.094,-435730,-482853,120466,147.9,2803.8
240410464,232410464,-47.54,0.334,1.186,-435264,-483110,120851,147.9,2803.8
240411485,232411485,-47.673,0.563,1.26,-435554,-482145,121158,147.9,2803.8
240412506,232412506,-47.573,0.661,1.36,-435336,-481730,121574,147.9,2803.8
240413527,232413527,-47.191,0.555,1.406,-434504,-482177,121766,147.9,2803.8
240414547,232414547,-47.001,0.553,1.306,-434091,-482185,121352,147.9,2803.8
240415568,232415568,-46.9,0.64,1.311,-433870,-481821,121370,147.9,2803.8
240416589,232416589,-46.573,0.512,1.39,-433160,-482359,121702,147.9,2803.8
240417610,232417610,-46.238,0.656,1.288,-432430,-481753,121275,147.9,2803.8
240418632,232418632,-45.912,0.592,1.211,-431720,-482020,120954,147.9,2803.8
240419654,232419654,-45.603,0.44,1.114,-431046,-482661,120553,147.9,2803.8
240420676,232420676,-45.467,0.42,1.119,-430750,-482747,120571,147.9,2803.8
240421697,232421697,-45.215,0.318,1.042,-430201,-483177,120253,147.9,2803.8
240422719,232422719,-44.862,0.242,1.068,-429433,-483497,120358,147.9,2803.8
240423741,232423741,-44.708,0.182,1.051,-429098,-483752,120290,147.9,2803.8
240424763,232424763,-44.212,0.276,1.03,-428017,-483356,120201,147.9,2803.8
240425785,232425785,-43.95,0.246,0.968,-427446,-483480,119942,147.9,2803.8
240426806,232426806,-43.829,0.227,1.014,-427182,-483562,120136,147.9,2803.8
240427828,232427828,-43.463,0.107,0.998,-426385,-484069,120067,147.9,2803.8
240428850,232428850,-43.176,-0.045,0.923,-425760,-484708,119755,147.9,2803.8
240429872,232429872,-42.845,-0.279,0.922,-425039,-485696,119750,147.9,2803.8
240430893,232430893,-42.442,-0.531,0.979,-424163,-486758,119987,147.9,2803.8
240431915,232431915,-42.216,-0.74,0.843,-423669,-487643,119423,147.9,2803.8
240432937,232432937,-41.896,-0.738,0.927,-422973,-487631,119772,147.9,2803.8
240433959,232433959,-41.577,-0.93,0.829,-422279,-488442,119364,147.9,2803.8
240434980,232434980,-41.327,-0.875,0.812,-421734,-488212,119291,147.9,2803.8
