# Participant: P5_AURA_leak_frc_reset
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 204249
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
250718727,242718727,0.078,0.079,0.081,-331555,-484151,116277,254.7,2918.1
250719536,242719536,-0.105,0.011,-0.03,-331953,-484435,115813,254.7,2918.1
250720558,242720558,0.084,0.043,-0.049,-331543,-484303,115734,254.7,2918.1
250721580,242721580,0.014,0.106,0.002,-331694,-484037,115946,254.7,2918.1
250722602,242722602,-0.065,-0.051,-0.122,-331867,-484699,115429,254.7,2918.1
250723635,242723635,0.171,0.106,-0.077,-331353,-484036,115618,254.7,2918.1
250724712,242724712,0.171,0.106,-0.077,-331353,-484036,115618,254.7,2918.1
250725777,242725777,0.03,-0.088,-0.093,-331660,-484891,115521,254.7,2918.1
250726798,242726798,0.009,-0.029,-0.03,-331706,-484641,115786,254.7,2918.1
250727819,242727819,0.147,-0.023,-0.075,-331404,-484616,115597,254.7,2918.1
250728840,242728840,0.041,-0.016,-0.084,-331635,-484586,115558,254.7,2918.1
250729860,242729860,0.047,0.003,-0.047,-331623,-484505,115713,254.7,2918.1
250730881,242730881,0.01,-0.046,-0.078,-331703,-484715,115586,254.7,2918.1
250731902,242731902,-0.067,-0.054,0.048,-331871,-484748,116111,254.7,2918.1
250732923,242732923,0.129,0.023,-0.011,-331444,-484422,115866,254.7,2918.1
250733944,242733944,0.013,0.093,-0.034,-331696,-484128,115767,254.7,2918.1
250734965,242734965,-0.169,0.041,-0.035,-332093,-484347,115763,254.7,2918.1
250735986,242735986,-0.069,0.009,-0.057,-331876,-484483,115671,254.7,2918.1
250737007,242737007,-0.157,0.117,0.002,-332066,-484027,115920,254.7,2918.1
250738028,242738028,-0.018,-0.006,-0.035,-331765,-484546,115763,254.7,2918.1
250739049,242739049,-0.15,-0.043,-0.075,-332052,-484700,115596,254.7,2918.1
250740070,242740070,-0.034,0.023,-0.04,-331800,-484422,115745,254.7,2918.1
250741090,242741090,-0.187,-0.001,-0.024,-332133,-484522,115810,254.7,2918.1
250742111,242742111,-0.177,0.043,-0.039,-332110,-484337,115746,254.7,2918.1
250743132,242743132,-0.074,0.022,-0.053,-331887,-484427,115688,254.7,2918.1
250744153,242744153,-0.109,0.074,-0.027,-331963,-484205,115796,254.7,2918.1
250745174,242745174,-0.113,-0.001,-0.105,-331972,-484523,115472,254.7,2918.1
250746195,242746195,0.045,0.021,-0.089,-331627,-484431,115539,254.7,2918.1
250747216,242747216,-0.085,0.107,0.032,-331911,-484067,116045,254.7,2918.1
250748237,242748237,0.146,0.041,-0.051,-331407,-484346,115698,254.7,2918.1
250749258,242749258,-0.059,0.1,-0.094,-331853,-484098,115517,254.7,2918.1
250750279,242750279,0.131,-0.035,-0.133,-331440,-484669,115357,254.7,2918.1
250751300,242751300,-0.022,0.077,-0.071,-331773,-484194,115613,254.7,2918.1
250752320,242752320,0.063,0.021,-0.075,-331587,-484430,115598,254.7,2918.1
250753342,242753342,0.006,0.032,-0.085,-331712,-484386,115555,254.7,2918.1
250754364,242754364,0.061,0.006,-0.068,-331593,-484496,115625,254.7,2918.1
250755386,242755386,0.014,0.006,-0.132,-331695,-484493,115359,254.7,2918.1
250756407,242756407,0.049,0.054,-0.039,-331618,-484290,115746,254.7,2918.1
250757429,242757429,-0.03,0.041,-0.072,-331791,-484345,115611,254.7,2918.1
250758451,242758451,-0.045,-0.023,-0.126,-331823,-484618,115387,254.7,2918.1
