# Participant: P5_HONEYWELL_zeroing
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 204525
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
406891033,398891033,0.991,0.751,0.581,-329552,-481315,118332,819.7,2147.8
406891848,398891848,0.84,0.759,0.532,-329881,-481280,118126,819.7,2147.8
406892868,398892868,0.895,0.83,0.63,-329762,-480982,118535,819.7,2147.8
406893888,398893888,0.997,0.729,0.575,-329540,-481409,118305,819.7,2147.8
406894907,398894907,0.934,0.716,0.599,-329678,-481463,118405,819.7,2147.8
406895927,398895927,0.933,0.725,0.544,-329680,-481424,118177,819.7,2147.8
406896946,398896946,1.023,0.742,0.629,-329484,-481355,118529,819.7,2147.8
406897966,398897966,0.931,0.819,0.627,-329683,-481029,118523,819.7,2147.8
406898985,398898985,0.907,0.858,0.667,-329735,-480863,118688,819.7,2147.8
406900005,398900005,0.925,0.862,0.701,-329696,-480848,118829,819.7,2147.8
406901036,398901036,1.042,0.829,0.666,-329442,-480984,118684,819.7,2147.8
406902112,398902112,1.042,0.829,0.666,-329442,-480984,118684,819.7,2147.8
406903176,398903176,1.039,0.673,0.513,-329381,-481430,118268,819.7,2147.8
406904197,398904197,0.926,0.863,0.696,-329627,-480627,119032,819.7,2147.8
406905218,398905218,1.062,0.758,0.622,-329331,-481068,118722,819.7,2147.8
406906239,398906239,0.962,0.795,0.575,-329548,-480914,118528,819.7,2147.8
406907260,398907260,0.876,0.792,0.617,-329736,-480927,118700,819.7,2147.8
406908281,398908281,1.073,0.779,0.518,-329308,-480983,118288,819.7,2147.8
406909302,398909302,0.948,0.886,0.771,-329580,-480529,119342,819.7,2147.8
406910323,398910323,0.945,0.864,0.602,-329586,-480624,118639,819.7,2147.8
406911344,398911344,0.984,0.888,0.689,-329501,-480520,119000,819.7,2147.8
406912364,398912364,0.871,0.8,0.68,-329746,-480892,118963,819.7,2147.8
406913385,398913385,0.919,0.867,0.714,-329642,-480612,119107,819.7,2147.8
406914406,398914406,0.915,0.941,0.78,-329652,-480299,119382,819.7,2147.8
406915427,398915427,0.874,0.943,0.745,-329741,-480289,119234,819.7,2147.8
406916448,398916448,0.868,0.945,0.779,-329753,-480281,119378,819.7,2147.8
406917469,398917469,0.868,0.838,0.782,-329753,-480733,119389,819.7,2147.8
406918490,398918490,0.875,0.687,0.603,-329738,-481367,118644,819.7,2147.8
406919511,398919511,0.931,0.726,0.597,-329616,-481206,118617,819.7,2147.8
406920532,398920532,0.905,0.859,0.682,-329672,-480643,118972,819.7,2147.8
406921553,398921553,0.925,0.703,0.614,-329629,-481303,118691,819.7,2147.8
406922574,398922574,0.997,0.777,0.558,-329473,-480988,118457,819.7,2147.8
406923595,398923595,0.996,0.6,0.589,-329475,-481735,118585,819.7,2147.8
406924616,398924616,0.847,0.729,0.573,-329799,-481191,118517,819.7,2147.8
406925636,398925636,0.92,0.621,0.433,-329640,-481648,117935,819.7,2147.8
406926657,398926657,0.862,0.642,0.536,-329767,-481557,118365,819.7,2147.8
406927679,398927679,0.934,0.618,0.496,-329610,-481659,118198,819.7,2147.8
406928701,398928701,0.952,0.673,0.563,-329570,-481428,118475,819.7,2147.8
406929723,398929723,0.909,0.612,0.523,-329664,-481686,118309,819.7,2147.8
406930745,398930745,1.023,0.584,0.437,-329417,-481801,117953,819.7,2147.8
406931766,398931766,1.045,0.64,0.421,-329369,-481568,117887,819.7,2147.8
406932788,398932788,0.965,0.543,0.399,-329543,-481977,117793,819.7,2147.8
406933810,398933810,1.079,0.531,0.384,-329294,-482026,117732,819.7,2147.8
406934832,398934832,0.877,0.542,0.399,-329733,-481981,117793,819.7,2147.8
406935853,398935853,0.925,0.558,0.476,-329630,-481913,118115,819.7,2147.8
406936875,398936875,0.883,0.552,0.426,-329721,-481938,117907,819.7,2147.8
406937897,398937897,0.954,0.668,0.494,-329566,-481448,118190,819.7,2147.8
406938919,398938919,1.002,0.51,0.359,-329461,-482113,117627,819.7,2147.8
406939940,398939940,0.847,0.606,0.508,-329799,-481710,118248,819.7,2147.8
406940962,398940962,0.966,0.544,0.347,-329541,-481973,117576,819.7,2147.8
406941984,398941984,0.987,0.507,0.424,-329495,-482128,117897,819.7,2147.8
406943006,398943006,0.936,0.493,0.293,-329605,-482186,117353,819.7,2147.8
406944028,398944028,0.921,0.556,0.475,-329638,-481921,118109,819.7,2147.8
406945049,398945049,0.882,0.527,0.473,-329724,-482043,118102,819.7,2147.8
406946071,398946071,1.079,0.484,0.388,-329294,-482226,117748,819.7,2147.8
406947093,398947093,0.893,0.47,0.345,-329700,-482285,117568,819.7,2147.8
406948115,398948115,0.963,0.441,0.325,-329546,-482406,117486,819.7,2147.8
406949136,398949136,0.947,0.346,0.29,-329582,-482807,117339,819.7,2147.8
406950158,398950158,0.895,0.438,0.224,-329694,-482419,117064,819.7,2147.8
406951180,398951180,0.828,0.37,0.296,-329840,-482704,117365,819.7,2147.8
406952202,398952202,0.757,0.497,0.254,-329996,-482171,117190,819.7,2147.8
406953224,398953224,0.83,0.473,0.267,-329837,-482270,117245,819.7,2147.8
406954245,398954245,0.817,0.452,0.298,-329864,-482360,117373,819.7,2147.8
406955267,398955267,0.92,0.418,0.317,-329641,-482504,117451,819.7,2147.8
406956289,398956289,0.939,0.339,0.403,-329600,-482835,117812,819.7,2147.8
406957311,398957311,0.91,0.324,0.218,-329662,-482899,117040,819.7,2147.8
406958332,398958332,0.914,0.341,0.228,-329653,-482828,117081,819.7,2147.8
406959354,398959354,0.92,0.264,0.223,-329640,-483151,117062,819.7,2147.8
406960376,398960376,0.833,0.405,0.288,-329829,-482559,117330,819.7,2147.8
406961398,398961398,0.993,0.385,0.305,-329481,-482644,117404,819.7,2147.8
406962419,398962419,0.914,0.375,0.263,-329654,-482685,117226,819.7,2147.8
406963441,398963441,1.005,0.274,0.123,-329456,-483111,116646,819.7,2147.8
406964463,398964463,0.863,0.263,0.174,-329764,-483157,116856,819.7,2147.8
406965485,398965485,0.98,0.222,0.148,-329510,-483329,116750,819.7,2147.8
406966507,398966507,0.805,0.341,0.274,-329890,-482826,117272,819.7,2147.8
406967528,398967528,0.944,0.396,0.205,-329587,-482596,116988,819.7,2147.8
406968550,398968550,0.798,0.27,0.188,-329905,-483126,116916,819.7,2147.8
406969572,398969572,0.921,0.302,0.149,-329639,-482992,116752,819.7,2147.8
