# Participant: P5_HONEYWELL_zero_check
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 204541
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
422449930,414449930,-7.363,10.054,9.803,-347855,-441187,157400,462.0,2250.7
422450532,414450532,-7.39,10.033,9.798,-347914,-441275,157382,462.0,2250.7
422451552,414451552,-7.217,10.027,9.757,-347538,-441301,157211,462.0,2250.7
422452571,414452571,-7.267,9.936,9.731,-347646,-441684,157103,462.0,2250.7
422453591,414453591,-7.245,9.903,9.709,-347598,-441821,157009,462.0,2250.7
422454610,414454610,-7.248,9.998,9.718,-347605,-441424,157049,462.0,2250.7
422455630,414455630,-7.058,9.905,9.73,-347192,-441816,157099,462.0,2250.7
422456650,414456650,-7.192,9.832,9.794,-347482,-442123,157365,462.0,2250.7
422457669,414457669,-7.212,9.767,9.573,-347527,-442395,156444,462.0,2250.7
422458688,414458688,-7.024,9.81,9.574,-347117,-442215,156450,462.0,2250.7
422459708,414459708,-6.993,9.668,9.498,-347049,-442813,156134,462.0,2250.7
422460728,414460728,-6.959,9.735,9.495,-346976,-442529,156121,462.0,2250.7
422461747,414461747,-6.862,9.69,9.434,-346765,-442719,155867,462.0,2250.7
422462767,414462767,-6.993,9.694,9.389,-347049,-442704,155680,462.0,2250.7
422463786,414463786,-6.82,9.586,9.403,-346673,-443161,155735,462.0,2250.7
422464806,414464806,-6.8,9.578,9.262,-346630,-443194,155148,462.0,2250.7
422465825,414465825,-6.778,9.508,9.326,-346582,-443488,155414,462.0,2250.7
422466845,414466845,-6.754,9.644,9.329,-346530,-442916,155427,462.0,2250.7
422467864,414467864,-6.586,9.624,9.385,-346164,-442997,155663,462.0,2250.7
422468884,414468884,-6.784,9.568,9.325,-346594,-443234,155410,462.0,2250.7
422469903,414469903,-6.622,9.518,9.266,-346243,-443446,155165,462.0,2250.7
422470923,414470923,-6.573,9.501,9.277,-346135,-443516,155212,462.0,2250.7
422471942,414471942,-6.621,9.541,9.305,-346239,-443350,155328,462.0,2250.7
422472962,414472962,-6.626,9.519,9.366,-346250,-443442,155583,462.0,2250.7
422473981,414473981,-6.589,9.491,9.308,-346171,-443561,155339,462.0,2250.7
422475001,414475001,-6.562,9.478,9.216,-346112,-443615,154960,462.0,2250.7
422476032,414476032,-6.594,9.558,9.269,-346181,-443278,155180,462.0,2250.7
422477107,414477107,-6.594,9.558,9.269,-346181,-443278,155180,462.0,2250.7
422478172,414478172,-6.525,9.498,9.279,-346030,-443530,155221,462.0,2250.7
422479193,414479193,-6.571,9.6,9.296,-346130,-443101,155290,462.0,2250.7
422480214,414480214,-6.598,9.461,9.228,-346189,-443686,155006,462.0,2250.7
422481235,414481235,-6.511,9.519,9.284,-346000,-443440,155241,462.0,2250.7
422482256,414482256,-6.39,9.467,9.315,-345737,-443662,155369,462.0,2250.7
422483277,414483277,-6.517,9.573,9.31,-346014,-443214,155348,462.0,2250.7
422484298,414484298,-6.407,9.597,9.358,-345773,-443115,155550,462.0,2250.7
422485319,414485319,-6.401,9.596,9.173,-345760,-443116,154777,462.0,2250.7
422486340,414486340,-6.344,9.564,9.325,-345636,-443251,155410,462.0,2250.7
422487360,414487360,-6.364,9.571,9.299,-345680,-443223,155303,462.0,2250.7
422488381,414488381,-6.274,9.543,9.27,-345485,-443340,155184,462.0,2250.7
422489402,414489402,-6.431,9.485,9.249,-345826,-443583,155094,462.0,2250.7
422490423,414490423,-6.318,9.592,9.261,-345580,-443134,155145,462.0,2250.7
422491444,414491444,-6.397,9.525,9.261,-345753,-443418,155146,462.0,2250.7
422492465,414492465,-6.254,9.651,9.383,-345440,-442885,155654,462.0,2250.7
422493486,414493486,-6.23,9.597,9.17,-345389,-443113,154767,462.0,2250.7
