# Participant: P5_HONEYWELL_quiet_breathing
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 204615
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
456602830,448602830,28.1,-17.723,-17.753,-270079,-559531,41491,893.2,2293.3
456603176,448603176,28.118,-17.798,-17.677,-270039,-559845,41804,893.2,2293.3
456604195,448604195,28.035,-17.622,-17.724,-270220,-559106,41609,893.2,2293.3
456605215,448605215,28.002,-17.757,-17.661,-270293,-559672,41873,893.2,2293.3
456606234,448606234,27.934,-17.51,-17.667,-270441,-558633,41848,893.2,2293.3
456607254,448607254,27.795,-17.431,-17.611,-270743,-558300,42082,893.2,2293.3
456608273,448608273,27.814,-17.348,-17.458,-270702,-557950,42717,893.2,2293.3
456609293,448609293,27.893,-17.305,-17.425,-270529,-557770,42854,893.2,2293.3
456610312,448610312,27.617,-17.164,-17.299,-271131,-557174,43379,893.2,2293.3
456611332,448611332,27.663,-17.14,-17.233,-271031,-557072,43655,893.2,2293.3
456612351,448612351,27.582,-17.182,-17.108,-271206,-557251,44175,893.2,2293.3
456613371,448613371,27.481,-17.116,-17.087,-271426,-556972,44264,893.2,2293.3
456614390,448614390,27.481,-16.839,-16.945,-271427,-555804,44853,893.2,2293.3
456615410,448615410,27.378,-16.545,-16.831,-271650,-554566,45330,893.2,2293.3
456616429,448616429,27.188,-16.403,-16.621,-272065,-553968,46203,893.2,2293.3
456617449,448617449,27.36,-16.356,-16.589,-271690,-553769,46336,893.2,2293.3
456618468,448618468,27.189,-16.255,-16.498,-272062,-553342,46714,893.2,2293.3
456619488,448619488,27.092,-16.176,-16.407,-272274,-553009,47096,893.2,2293.3
456620507,448620507,27.053,-15.985,-16.175,-272358,-552206,48059,893.2,2293.3
456621527,448621527,26.853,-15.974,-15.851,-272794,-552160,49411,893.2,2293.3
456622546,448622546,26.758,-15.875,-15.684,-272999,-551744,50107,893.2,2293.3
456623566,448623566,26.76,-15.685,-15.531,-272995,-550943,50743,893.2,2293.3
456624585,448624585,26.646,-15.189,-15.367,-273243,-548852,51427,893.2,2293.3
456625605,448625605,26.64,-14.97,-15.091,-273257,-547928,52573,893.2,2293.3
456626625,448626625,26.453,-14.777,-14.898,-273663,-547115,53379,893.2,2293.3
456627644,448627644,26.32,-14.749,-14.65,-273954,-546998,54412,893.2,2293.3
456628664,448628664,26.298,-14.503,-14.547,-274001,-545961,54839,893.2,2293.3
456629683,448629683,26.239,-14.433,-14.446,-274130,-545663,55259,893.2,2293.3
456630703,448630703,26.192,-14.01,-14.411,-274232,-543880,55406,893.2,2293.3
456631722,448631722,26.151,-13.839,-14.162,-274321,-543163,56444,893.2,2293.3
456632742,448632742,26.038,-13.507,-13.916,-274567,-541763,57465,893.2,2293.3
456633761,448633761,26.044,-13.566,-13.788,-274553,-542012,58002,893.2,2293.3
456634781,448634781,25.912,-13.49,-13.644,-274842,-541690,58601,893.2,2293.3
456635800,448635800,25.91,-13.426,-13.453,-274845,-541420,59395,893.2,2293.3
456636820,448636820,25.708,-13.399,-13.316,-275286,-541307,59964,893.2,2293.3
456637839,448637839,25.659,-13.274,-13.029,-275393,-540781,61162,893.2,2293.3
456638859,448638859,25.584,-13.076,-12.966,-275555,-539946,61421,893.2,2293.3
456639878,448639878,25.665,-13.181,-12.748,-275379,-540387,62329,893.2,2293.3
456640898,448640898,25.523,-12.915,-12.635,-275688,-539267,62800,893.2,2293.3
456641917,448641917,25.435,-12.972,-12.547,-275879,-539507,63169,893.2,2293.3
456642937,448642937,25.494,-12.884,-12.345,-275751,-539134,64009,893.2,2293.3
456643956,448643956,25.324,-12.736,-12.293,-276122,-538511,64223,893.2,2293.3
456644976,448644976,25.309,-12.624,-12.269,-276153,-538041,64325,893.2,2293.3
456645996,448645996,25.34,-12.615,-12.112,-276086,-538003,64977,893.2,2293.3
456647015,448647015,25.154,-12.292,-12.213,-276491,-536642,64556,893.2,2293.3
456648035,448648035,25.087,-12.302,-12.188,-276637,-536683,64662,893.2,2293.3
456649054,448649054,25.057,-11.976,-11.959,-276702,-535307,65614,893.2,2293.3
456650074,448650074,24.957,-12.088,-12.0,-276920,-535781,65446,893.2,2293.3
456651093,448651093,24.684,-12.253,-12.094,-277515,-536478,65054,893.2,2293.3
456652113,448652113,24.884,-12.353,-11.948,-277080,-536899,65663,893.2,2293.3
456653132,448653132,24.691,-12.144,-11.921,-277499,-536019,65774,893.2,2293.3
456654163,448654163,24.708,-12.078,-11.949,-277461,-535739,65658,893.2,2293.3
456655240,448655240,24.708,-12.078,-11.949,-277461,-535739,65658,893.2,2293.3
456656305,448656305,24.504,-12.398,-11.897,-277905,-537088,65936,893.2,2293.3
456657326,448657326,24.328,-12.697,-11.802,-278288,-538348,66332,893.2,2293.3
456658347,448658347,24.179,-12.773,-11.861,-278613,-538669,66089,893.2,2293.3
456659368,448659368,24.203,-12.433,-11.923,-278561,-537235,65828,893.2,2293.3
456660389,448660389,24.0,-12.45,-11.819,-279004,-537308,66262,893.2,2293.3
456661409,448661409,23.9,-12.424,-11.915,-279221,-537196,65863,893.2,2293.3
456662430,448662430,23.851,-12.51,-11.811,-279327,-537559,66294,893.2,2293.3
456663451,448663451,23.721,-12.681,-11.796,-279611,-538281,66356,893.2,2293.3
456664472,448664472,23.699,-12.502,-11.823,-279658,-537524,66245,893.2,2293.3
456665493,448665493,23.476,-12.259,-11.924,-280144,-536502,65824,893.2,2293.3
456666514,448666514,23.238,-12.245,-11.931,-280661,-536443,65797,893.2,2293.3
456667535,448667535,23.309,-12.492,-11.934,-280508,-537485,65783,893.2,2293.3
456668556,448668556,23.287,-12.507,-11.907,-280556,-537546,65895,893.2,2293.3
456669577,448669577,23.111,-12.447,-12.053,-280938,-537294,65287,893.2,2293.3
456670598,448670598,22.963,-12.529,-12.098,-281260,-537638,65099,893.2,2293.3
456671619,448671619,22.713,-12.539,-12.033,-281804,-537683,65370,893.2,2293.3
456672640,448672640,22.67,-12.56,-12.071,-281897,-537772,65214,893.2,2293.3
456673660,448673660,22.596,-12.628,-12.047,-282058,-538055,65311,893.2,2293.3
456674681,448674681,22.525,-12.642,-11.974,-282214,-538116,65615,893.2,2293.3
456675702,448675702,22.229,-12.749,-12.177,-282858,-538567,64771,893.2,2293.3
456676723,448676723,22.273,-12.583,-12.314,-282762,-537869,64202,893.2,2293.3
456677744,448677744,22.138,-12.822,-12.291,-283056,-538876,64298,893.2,2293.3
456678765,448678765,22.104,-13.044,-12.366,-283130,-539811,63984,893.2,2293.3
456679786,448679786,21.989,-13.124,-12.43,-283381,-540148,63720,893.2,2293.3
456680807,448680807,22.033,-13.435,-12.732,-283284,-541460,62460,893.2,2293.3
456681829,448681829,21.851,-13.747,-12.911,-283680,-542775,61716,893.2,2293.3
456682851,448682851,21.629,-13.691,-12.996,-284164,-542539,61363,893.2,2293.3
456683872,448683872,21.576,-13.798,-13.273,-284280,-542987,60211,893.2,2293.3
456684894,448684894,21.492,-14.138,-13.427,-284461,-544420,59568,893.2,2293.3
456685916,448685916,21.388,-14.315,-13.668,-284688,-545168,58564,893.2,2293.3
456686938,448686938,21.248,-14.484,-13.896,-284992,-545881,57614,893.2,2293.3
456687960,448687960,21.032,-14.744,-14.131,-285463,-546974,56636,893.2,2293.3
456688981,448688981,21.045,-15.045,-14.178,-285435,-548246,56442,893.2,2293.3
456690003,448690003,20.938,-15.201,-14.318,-285668,-548900,55858,893.2,2293.3
456691025,448691025,20.691,-15.491,-14.503,-286205,-550122,55089,893.2,2293.3
456692047,448692047,20.629,-15.721,-14.744,-286341,-551092,54084,893.2,2293.3
456693068,448693068,20.617,-15.911,-14.943,-286366,-551895,53255,893.2,2293.3
456694090,448694090,20.487,-16.287,-15.143,-286650,-553478,52424,893.2,2293.3
456695112,448695112,20.379,-16.489,-15.403,-286885,-554332,51343,893.2,2293.3
456696134,448696134,20.276,-16.74,-15.671,-287109,-555389,50227,893.2,2293.3
456697155,448697155,20.079,-17.03,-15.921,-287537,-556609,49183,893.2,2293.3
456698177,448698177,20.014,-17.347,-16.199,-287678,-557946,48028,893.2,2293.3
456699199,448699199,19.942,-17.589,-16.552,-287836,-558968,46556,893.2,2293.3
456700221,448700221,19.836,-17.747,-16.86,-288066,-559631,45276,893.2,2293.3
456701243,448701243,19.798,-18.041,-17.084,-288149,-560871,44341,893.2,2293.3
456702264,448702264,19.605,-18.327,-17.424,-288569,-562077,42929,893.2,2293.3
456703286,448703286,19.448,-18.402,-17.624,-288910,-562391,42095,893.2,2293.3
456704308,448704308,19.362,-18.714,-17.826,-289097,-563709,41255,893.2,2293.3
456705330,448705330,19.111,-18.888,-18.087,-289644,-564442,40167,893.2,2293.3
456706351,448706351,19.119,-19.039,-18.169,-289628,-565077,39825,893.2,2293.3
456707373,448707373,19.05,-19.091,-18.187,-289778,-565295,39751,893.2,2293.3
456708395,448708395,18.92,-19.119,-18.4,-290061,-565414,38862,893.2,2293.3
456709417,448709417,18.704,-19.093,-18.507,-290531,-565304,38419,893.2,2293.3
456710439,448710439,18.638,-19.151,-18.578,-290675,-565550,38123,893.2,2293.3
456711461,448711461,18.544,-19.039,-18.432,-290879,-565077,38732,893.2,2293.3
456712482,448712482,18.575,-18.941,-18.507,-290812,-564665,38416,893.2,2293.3
456713504,448713504,18.47,-18.942,-18.615,-291039,-564669,37969,893.2,2293.3
456714526,448714526,18.354,-18.743,-18.437,-291292,-563830,38710,893.2,2293.3
456715547,448715547,18.211,-18.644,-18.458,-291604,-563413,38622,893.2,2293.3
456716569,448716569,18.128,-18.53,-18.329,-291783,-562930,39161,893.2,2293.3
456717591,448717591,17.926,-18.383,-18.282,-292224,-562314,39353,893.2,2293.3
456718613,448718613,18.018,-18.331,-18.254,-292023,-562095,39470,893.2,2293.3
456719635,448719635,17.958,-18.252,-18.195,-292155,-561762,39715,893.2,2293.3
456720656,448720656,17.812,-18.159,-18.086,-292472,-561368,40171,893.2,2293.3
456721678,448721678,17.768,-18.055,-17.92,-292568,-560932,40860,893.2,2293.3
456722700,448722700,17.408,-17.858,-17.867,-293352,-560101,41083,893.2,2293.3
456723722,448723722,17.688,-17.754,-17.775,-292741,-559662,41464,893.2,2293.3
456724744,448724744,17.57,-17.655,-17.69,-292999,-559244,41821,893.2,2293.3
456725765,448725765,17.486,-17.495,-17.503,-293182,-558569,42599,893.2,2293.3
456726787,448726787,17.582,-17.438,-17.484,-292972,-558331,42676,893.2,2293.3
456727809,448727809,17.427,-17.363,-17.412,-293309,-558014,42975,893.2,2293.3
456728831,448728831,17.312,-17.203,-17.292,-293560,-557339,43477,893.2,2293.3
456729852,448729852,17.314,-17.139,-17.348,-293556,-557071,43244,893.2,2293.3
456730874,448730874,17.139,-17.113,-17.142,-293937,-556959,44103,893.2,2293.3
456731896,448731896,17.236,-17.026,-17.03,-293726,-556592,44567,893.2,2293.3
456732918,448732918,17.066,-17.039,-17.065,-294096,-556650,44423,893.2,2293.3
456733940,448733940,17.096,-17.037,-17.026,-294030,-556638,44582,893.2,2293.3
456734961,448734961,17.035,-16.981,-16.973,-294162,-556404,44804,893.2,2293.3
456735983,448735983,17.176,-16.966,-16.881,-293856,-556340,45188,893.2,2293.3
456737005,448737005,16.986,-17.011,-16.868,-294270,-556532,45240,893.2,2293.3
456738027,448738027,16.952,-16.839,-16.897,-294344,-555803,45120,893.2,2293.3
456739049,448739049,17.016,-16.951,-16.994,-294205,-556279,44717,893.2,2293.3
456740070,448740070,16.799,-16.854,-16.888,-294676,-555869,45157,893.2,2293.3
456741092,448741092,16.83,-16.796,-16.809,-294610,-555624,45489,893.2,2293.3
456742114,448742114,16.863,-16.659,-16.792,-294537,-555045,45559,893.2,2293.3
456743136,448743136,16.694,-16.755,-16.717,-294905,-555449,45870,893.2,2293.3
456744157,448744157,16.818,-16.58,-16.649,-294636,-554713,46153,893.2,2293.3
456745179,448745179,16.539,-16.559,-16.55,-295242,-554626,46565,893.2,2293.3
456746201,448746201,16.515,-16.485,-16.557,-295296,-554313,46538,893.2,2293.3
456747223,448747223,16.453,-16.433,-16.428,-295429,-554096,47074,893.2,2293.3
456748245,448748245,16.453,-16.384,-16.481,-295430,-553889,46853,893.2,2293.3
456749266,448749266,16.354,-16.293,-16.429,-295645,-553505,47069,893.2,2293.3
456750288,448750288,16.379,-16.364,-16.446,-295591,-553804,46997,893.2,2293.3
456751310,448751310,16.41,-16.341,-16.259,-295523,-553705,47777,893.2,2293.3
456752332,448752332,16.459,-16.275,-16.315,-295416,-553426,47544,893.2,2293.3
456753353,448753353,16.146,-16.218,-16.248,-296098,-553188,47822,893.2,2293.3
456754375,448754375,16.234,-16.189,-16.248,-295906,-553064,47822,893.2,2293.3
456755397,448755397,16.147,-16.244,-16.164,-296095,-553299,48173,893.2,2293.3
456756419,448756419,16.121,-16.248,-16.295,-296153,-553314,47627,893.2,2293.3
456757441,448757441,16.02,-16.194,-16.216,-296372,-553086,47955,893.2,2293.3
456758474,448758474,16.108,-16.206,-16.224,-296180,-553139,47922,893.2,2293.3
456759551,448759551,16.108,-16.206,-16.224,-296180,-553139,47922,893.2,2293.3
456760615,448760615,16.216,-16.116,-16.091,-295946,-552757,48443,893.2,2293.3
456761636,448761636,15.978,-16.158,-16.125,-296464,-552933,48300,893.2,2293.3
456762657,448762657,16.045,-16.15,-16.154,-296317,-552900,48181,893.2,2293.3
456763678,448763678,16.089,-16.08,-16.132,-296222,-552608,48272,893.2,2293.3
456764699,448764699,16.065,-16.022,-16.078,-296275,-552362,48499,893.2,2293.3
456765720,448765720,16.143,-16.044,-16.163,-296104,-552454,48143,893.2,2293.3
456766741,448766741,16.181,-16.149,-16.225,-296021,-552895,47884,893.2,2293.3
456767762,448767762,16.219,-16.122,-16.29,-295940,-552785,47617,893.2,2293.3
456768783,448768783,16.316,-16.128,-16.547,-295728,-552809,46543,893.2,2293.3
456769803,448769803,16.191,-16.18,-16.581,-296001,-553029,46405,893.2,2293.3
456770825,448770825,16.181,-16.067,-16.479,-296022,-552553,46826,893.2,2293.3
456771845,448771845,16.009,-16.049,-16.368,-296397,-552476,47292,893.2,2293.3
456772866,448772866,16.055,-16.056,-16.319,-296297,-552505,47495,893.2,2293.3
456773887,448773887,16.192,-16.123,-16.147,-295997,-552786,48212,893.2,2293.3
456774908,448774908,16.134,-16.184,-16.053,-296124,-553044,48603,893.2,2293.3
456775929,448775929,16.033,-16.081,-15.945,-296343,-552611,49052,893.2,2293.3
456776950,448776950,16.058,-16.108,-15.908,-296290,-552725,49204,893.2,2293.3
456777971,448777971,15.974,-15.935,-15.896,-296472,-551993,49257,893.2,2293.3
456778992,448778992,15.999,-15.943,-15.832,-296417,-552028,49520,893.2,2293.3
456780013,448780013,16.081,-15.974,-15.84,-296240,-552159,49487,893.2,2293.3
456781034,448781034,15.999,-16.076,-15.819,-296418,-552590,49577,893.2,2293.3
456782055,448782055,15.99,-16.081,-15.895,-296437,-552609,49261,893.2,2293.3
456783075,448783075,15.987,-16.072,-15.859,-296443,-552574,49408,893.2,2293.3
456784096,448784096,16.039,-16.053,-15.826,-296330,-552491,49548,893.2,2293.3
456785117,448785117,15.913,-15.924,-15.839,-296605,-551947,49494,893.2,2293.3
456786138,448786138,15.714,-15.867,-15.814,-297038,-551710,49596,893.2,2293.3
456787159,448787159,15.745,-15.917,-15.786,-296970,-551920,49713,893.2,2293.3
456788181,448788181,15.61,-15.742,-15.817,-297265,-551183,49585,893.2,2293.3
456789203,448789203,15.522,-15.546,-15.755,-297457,-550355,49844,893.2,2293.3
456790224,448790224,15.519,-15.562,-15.736,-297462,-550424,49920,893.2,2293.3
456791246,448791246,15.629,-15.492,-15.646,-297224,-550126,50298,893.2,2293.3
456792268,448792268,15.407,-15.524,-15.628,-297707,-550263,50372,893.2,2293.3
456793290,448793290,15.564,-15.429,-15.588,-297364,-549862,50536,893.2,2293.3
456794312,448794312,15.497,-15.414,-15.675,-297511,-549798,50176,893.2,2293.3
456795333,448795333,15.416,-15.357,-15.51,-297686,-549561,50862,893.2,2293.3
456796355,448796355,15.361,-15.369,-15.413,-297806,-549609,51265,893.2,2293.3
456797377,448797377,15.291,-15.348,-15.427,-297958,-549519,51209,893.2,2293.3
456798399,448798399,15.272,-15.367,-15.306,-298000,-549599,51712,893.2,2293.3
456799421,448799421,15.315,-15.358,-15.367,-297907,-549565,51456,893.2,2293.3
456800442,448800442,15.249,-15.395,-15.266,-298051,-549717,51880,893.2,2293.3
456801464,448801464,15.368,-15.301,-15.278,-297792,-549324,51830,893.2,2293.3
456802486,448802486,15.189,-15.266,-15.225,-298180,-549176,52050,893.2,2293.3
456803508,448803508,15.047,-15.229,-15.245,-298491,-549020,51966,893.2,2293.3
456804529,448804529,15.106,-15.122,-15.242,-298361,-548567,51978,893.2,2293.3
456805551,448805551,15.054,-15.143,-15.147,-298475,-548658,52375,893.2,2293.3
456806573,448806573,15.053,-15.015,-15.032,-298477,-548118,52852,893.2,2293.3
456807595,448807595,15.147,-14.956,-15.057,-298272,-547869,52748,893.2,2293.3
456808617,448808617,15.051,-14.924,-15.11,-298482,-547732,52528,893.2,2293.3
456809638,448809638,15.088,-14.898,-15.063,-298401,-547625,52722,893.2,2293.3
456810660,448810660,15.052,-14.859,-14.958,-298480,-547462,53162,893.2,2293.3
456811682,448811682,14.844,-14.929,-14.966,-298933,-547756,53126,893.2,2293.3
456812704,448812704,14.794,-14.812,-14.878,-299041,-547261,53495,893.2,2293.3
456813725,448813725,14.858,-14.724,-14.822,-298902,-546889,53729,893.2,2293.3
