# Participant: P5_HONEYWELL_rainbow
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 205035
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
716627194,708627194,96.28,-15.838,-24.156,-121689,-551670,14754,236.1,1909.4
716627899,708627899,97.678,-16.991,-23.933,-118646,-556530,15681,236.1,1909.4
716628920,708628920,97.865,-17.456,-23.998,-118239,-558492,15411,236.1,1909.4
716629941,708629941,96.419,-13.72,-22.751,-121386,-542741,20607,236.1,1909.4
716630962,708630962,95.479,-12.592,-22.142,-123431,-537988,23141,236.1,1909.4
716631983,708631983,96.515,-12.208,-22.191,-121177,-536369,22936,236.1,1909.4
716633004,708633004,95.822,-11.35,-22.136,-122686,-532751,23165,236.1,1909.4
716634025,708634025,96.269,-13.054,-20.196,-121713,-539934,31246,236.1,1909.4
716635046,708635046,96.043,-13.469,-21.169,-122204,-541682,27194,236.1,1909.4
716636067,708636067,96.63,-14.784,-23.194,-120928,-547227,18761,236.1,1909.4
716637088,708637088,98.288,-15.425,-23.267,-117318,-549928,18457,236.1,1909.4
716638109,708638109,98.016,-15.461,-25.256,-117910,-550082,10173,236.1,1909.4
716639129,708639129,97.982,-16.03,-24.512,-117985,-552478,13270,236.1,1909.4
716640150,708640150,97.722,-16.178,-24.249,-118551,-553102,14365,236.1,1909.4
716641171,708641171,98.638,-17.274,-25.161,-116557,-557721,10568,236.1,1909.4
716642192,708642192,100.027,-17.717,-24.338,-113534,-559592,13996,236.1,1909.4
716643213,708643213,98.847,-17.559,-23.768,-116102,-558926,16369,236.1,1909.4
716644234,708644234,98.34,-17.119,-24.114,-117206,-557071,14927,236.1,1909.4
716645255,708645255,97.99,-15.982,-23.195,-117967,-552276,18756,236.1,1909.4
716646276,708646276,98.025,-16.867,-21.975,-117892,-556008,23836,236.1,1909.4
716647297,708647297,97.951,-17.652,-21.079,-118053,-559316,27568,236.1,1909.4
716648318,708648318,97.087,-16.569,-22.181,-119933,-554750,22978,236.1,1909.4
716649339,708649339,97.27,-16.763,-23.295,-119535,-555568,18340,236.1,1909.4
716650360,708650360,98.23,-17.072,-22.457,-117445,-556870,21828,236.1,1909.4
716651380,708651380,97.916,-18.283,-20.757,-118129,-561975,28911,236.1,1909.4
716652401,708652401,97.778,-17.903,-20.22,-118428,-560373,31148,236.1,1909.4
716653422,708653422,97.882,-18.104,-20.353,-118203,-561222,30593,236.1,1909.4
716654443,708654443,97.998,-18.469,-20.206,-117950,-562762,31205,236.1,1909.4
716655464,708655464,97.757,-17.894,-23.278,-118474,-560337,18409,236.1,1909.4
716656485,708656485,99.59,-17.766,-24.228,-114485,-559798,14453,236.1,1909.4
716657506,708657506,100.292,-16.482,-25.419,-112959,-554384,9494,236.1,1909.4
716658527,708658527,100.058,-15.63,-25.419,-113468,-550792,9492,236.1,1909.4
716659548,708659548,99.948,-16.502,-25.707,-113706,-554467,8292,236.1,1909.4
716660569,708660569,100.812,-17.311,-25.128,-111826,-557880,10705,236.1,1909.4
716661590,708661590,101.391,-16.46,-25.453,-110567,-554290,9353,236.1,1909.4
716662611,708662611,101.498,-15.689,-25.662,-110333,-551042,8480,236.1,1909.4
716663632,708663632,101.529,-15.572,-25.642,-110266,-550547,8564,236.1,1909.4
716664652,708664652,101.123,-15.805,-25.415,-111149,-551529,9509,236.1,1909.4
716665673,708665673,102.615,-17.823,-27.772,-107902,-560037,-309,236.1,1909.4
716666694,708666694,104.799,-21.589,-27.773,-103150,-575912,-313,236.1,1909.4
716667715,708667715,104.513,-22.166,-26.558,-103772,-578343,4748,236.1,1909.4
716668736,708668736,104.203,-22.81,-25.618,-104446,-581057,8665,236.1,1909.4
716669757,708669757,103.76,-20.999,-26.773,-105411,-573425,3854,236.1,1909.4
716670778,708670778,104.664,-21.679,-26.759,-103444,-576292,3911,236.1,1909.4
716671799,708671799,105.004,-21.202,-25.978,-102705,-574280,7163,236.1,1909.4
716672820,708672820,105.164,-21.261,-26.348,-102355,-574528,5625,236.1,1909.4
716673841,708673841,104.846,-20.925,-27.52,-103048,-573111,741,236.1,1909.4
716674862,708674862,105.197,-20.787,-26.646,-102284,-572531,4382,236.1,1909.4
716675882,708675882,105.061,-20.798,-28.27,-102580,-572578,-2383,236.1,1909.4
716676903,708676903,106.173,-20.842,-26.912,-100161,-572762,3276,236.1,1909.4
716677924,708677924,104.0,-19.845,-26.224,-104889,-568561,6141,236.1,1909.4
716678945,708678945,102.125,-19.622,-25.693,-108970,-567622,8350,236.1,1909.4
716679966,708679966,103.886,-20.964,-26.901,-105137,-573279,3318,236.1,1909.4
716680987,708680987,105.296,-22.474,-27.298,-102068,-579641,1666,236.1,1909.4
716682008,708682008,105.564,-21.801,-28.898,-101485,-576804,-4999,236.1,1909.4
716683029,708683029,106.285,-22.095,-27.669,-99916,-578046,121,236.1,1909.4
716684050,708684050,105.093,-21.603,-24.175,-102510,-575971,14673,236.1,1909.4
716685071,708685071,103.126,-19.029,-24.765,-106791,-565120,12217,236.1,1909.4
716686092,708686092,102.509,-16.805,-21.472,-108133,-555747,25934,236.1,1909.4
716687113,708687113,100.361,-14.442,-21.28,-112807,-545787,26732,236.1,1909.4
716688134,708688134,100.702,-14.594,-21.532,-112065,-546424,25683,236.1,1909.4
716689155,708689155,101.731,-14.069,-21.993,-109826,-544211,23762,236.1,1909.4
716690175,708690175,102.603,-15.253,-21.537,-107930,-549202,25661,236.1,1909.4
716691196,708691196,101.167,-12.739,-23.298,-111054,-538606,18326,236.1,1909.4
716692217,708692217,104.214,-13.299,-25.966,-104424,-540967,7214,236.1,1909.4
716693238,708693238,106.392,-17.543,-25.868,-99683,-558857,7622,236.1,1909.4
716694259,708694259,105.049,-17.288,-25.082,-102605,-557780,10897,236.1,1909.4
716695280,708695280,104.071,-16.275,-25.141,-104734,-553511,10652,236.1,1909.4
716696301,708696301,104.712,-18.639,-26.105,-103339,-563475,6637,236.1,1909.4
716697322,708697322,105.756,-20.115,-26.568,-101067,-569698,4708,236.1,1909.4
716698343,708698343,108.445,-21.734,-28.395,-95217,-576522,-2902,236.1,1909.4
716699364,708699364,111.776,-23.754,-30.194,-87968,-585037,-10398,236.1,1909.4
716700385,708700385,112.001,-24.516,-28.218,-87478,-588249,-2164,236.1,1909.4
716701406,708701406,108.565,-20.871,-26.631,-94955,-572883,4443,236.1,1909.4
716702427,708702427,107.281,-20.071,-27.017,-97748,-569515,2837,236.1,1909.4
716703447,708703447,108.08,-21.715,-26.552,-96011,-576444,4774,236.1,1909.4
716704468,708704468,107.119,-19.655,-25.041,-98102,-567760,11069,236.1,1909.4
716705489,708705489,106.164,-17.49,-24.766,-100180,-558632,12214,236.1,1909.4
716706510,708706510,104.476,-14.781,-25.519,-103854,-547212,9078,236.1,1909.4
716707531,708707531,107.232,-18.261,-26.646,-97856,-561883,4382,236.1,1909.4
716708552,708708552,107.806,-20.066,-25.319,-96606,-569493,9908,236.1,1909.4
716709573,708709573,106.591,-18.865,-24.435,-99250,-564428,13590,236.1,1909.4
716710594,708710594,107.367,-19.039,-25.32,-97562,-565162,9904,236.1,1909.4
716711615,708711615,107.583,-20.089,-24.166,-97091,-569589,14713,236.1,1909.4
716712636,708712636,106.508,-19.128,-24.497,-99431,-565539,13333,236.1,1909.4
716713657,708713657,107.083,-18.742,-24.072,-98180,-563911,15105,236.1,1909.4
716714678,708714678,106.076,-17.697,-23.532,-100372,-559507,17354,236.1,1909.4
716715699,708715699,105.299,-15.496,-24.76,-102062,-550226,12236,236.1,1909.4
716716719,708716719,106.883,-16.899,-24.703,-98616,-556144,12473,236.1,1909.4
716717740,708717740,105.779,-16.905,-27.318,-101018,-556169,1585,236.1,1909.4
716718761,708718761,108.259,-18.16,-27.008,-95620,-561456,2875,236.1,1909.4
716719782,708719782,109.029,-20.796,-25.042,-93946,-572570,11063,236.1,1909.4
716720803,708720803,107.955,-20.074,-24.518,-96282,-569524,13246,236.1,1909.4
716721824,708721824,107.671,-19.15,-28.172,-96901,-565630,-1973,236.1,1909.4
716722845,708722845,110.607,-21.127,-28.318,-90512,-573964,-2584,236.1,1909.4
