# Participant: P5_HONEYWELL_frc_reset_init
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 205115
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
756334780,748334780,-18.116,-28.754,-14.334,-370690,-606113,55695,318.3,1868.7
756335546,748335546,-18.213,-28.136,-14.27,-370901,-603509,55960,318.3,1868.7
756336567,748336567,-18.258,-28.212,-14.229,-370999,-603826,56130,318.3,1868.7
756337588,748337588,-18.213,-28.404,-13.967,-370900,-604636,57220,318.3,1868.7
756338609,748338609,-18.286,-28.51,-14.054,-371059,-605084,56859,318.3,1868.7
756339629,748339629,-18.169,-29.189,-14.096,-370805,-607944,56683,318.3,1868.7
756340650,748340650,-18.296,-28.949,-14.118,-371081,-606933,56595,318.3,1868.7
756341671,748341671,-18.34,-29.514,-13.988,-371176,-609317,57136,318.3,1868.7
756342692,748342692,-18.414,-30.051,-14.064,-371338,-611577,56818,318.3,1868.7
756343713,748343713,-18.41,-29.622,-13.993,-371328,-609772,57114,318.3,1868.7
756344734,748344734,-18.487,-29.585,-13.975,-371497,-609613,57188,318.3,1868.7
756345755,748345755,-18.468,-29.619,-13.939,-371455,-609758,57338,318.3,1868.7
756346776,748346776,-18.583,-29.381,-14.006,-371705,-608756,57061,318.3,1868.7
756347797,748347797,-18.47,-29.048,-13.845,-371460,-607350,57731,318.3,1868.7
756348818,748348818,-18.718,-28.488,-13.784,-371999,-604993,57982,318.3,1868.7
756349838,748349838,-18.687,-27.897,-13.716,-371933,-602499,58268,318.3,1868.7
756350860,748350860,-18.729,-27.605,-13.597,-372023,-601268,58762,318.3,1868.7
756351880,748351880,-18.768,-27.568,-13.535,-372109,-601115,59020,318.3,1868.7
756352901,748352901,-18.785,-27.53,-13.482,-372145,-600955,59240,318.3,1868.7
756353922,748353922,-18.763,-27.669,-13.467,-372098,-601539,59306,318.3,1868.7
756354943,748354943,-18.822,-27.78,-13.383,-372226,-602008,59654,318.3,1868.7
756355964,748355964,-18.813,-28.059,-13.281,-372207,-603184,60079,318.3,1868.7
756356985,748356985,-18.817,-28.629,-13.415,-372215,-605585,59520,318.3,1868.7
756358006,748358006,-18.873,-28.894,-13.509,-372337,-606703,59131,318.3,1868.7
756359027,748359027,-18.982,-28.444,-13.542,-372574,-604806,58990,318.3,1868.7
756360048,748360048,-19.056,-28.127,-13.413,-372736,-603471,59527,318.3,1868.7
756361069,748361069,-18.995,-28.033,-13.339,-372602,-603075,59836,318.3,1868.7
756362090,748362090,-19.184,-27.558,-13.251,-373013,-601073,60202,318.3,1868.7
756363111,748363111,-19.191,-27.575,-13.159,-373029,-601141,60586,318.3,1868.7
756364131,748364131,-19.204,-27.112,-13.037,-373058,-599193,61096,318.3,1868.7
756365164,748365164,-19.323,-26.858,-13.113,-373317,-598122,60779,318.3,1868.7
756366240,748366240,-19.323,-26.858,-13.113,-373317,-598122,60779,318.3,1868.7
756367304,748367304,-19.177,-27.01,-13.111,-372982,-598761,60788,318.3,1868.7
756368325,748368325,-19.254,-26.989,-13.055,-373149,-598672,61019,318.3,1868.7
756369346,748369346,-19.331,-26.958,-13.04,-373316,-598541,61083,318.3,1868.7
756370367,748370367,-19.337,-27.332,-13.112,-373329,-600118,60782,318.3,1868.7
756371388,748371388,-19.3,-27.574,-12.988,-373250,-601140,61298,318.3,1868.7
756372409,748372409,-19.238,-27.266,-13.01,-373114,-599842,61207,318.3,1868.7
756373430,748373430,-19.383,-27.68,-12.998,-373430,-601585,61258,318.3,1868.7
756374451,748374451,-19.498,-28.134,-13.166,-373681,-603498,60558,318.3,1868.7
756375472,748375472,-19.537,-27.99,-13.184,-373764,-602892,60484,318.3,1868.7
756376493,748376493,-19.479,-28.266,-13.204,-373638,-604055,60401,318.3,1868.7
756377514,748377514,-19.335,-28.025,-13.024,-373325,-603041,61149,318.3,1868.7
756378535,748378535,-19.523,-27.806,-12.885,-373734,-602117,61728,318.3,1868.7
756379556,748379556,-19.643,-27.718,-13.012,-373995,-601746,61200,318.3,1868.7
756380576,748380576,-19.507,-27.565,-12.984,-373700,-601102,61314,318.3,1868.7
756381597,748381597,-19.62,-27.318,-12.93,-373945,-600058,61541,318.3,1868.7
756382618,748382618,-19.518,-27.467,-12.837,-373723,-600686,61926,318.3,1868.7
756383639,748383639,-19.663,-27.307,-12.805,-374039,-600013,62062,318.3,1868.7
756384660,748384660,-19.649,-26.736,-12.767,-374008,-597605,62219,318.3,1868.7
756385681,748385681,-19.7,-26.242,-12.678,-374119,-595523,62590,318.3,1868.7
756386702,748386702,-19.758,-26.35,-12.782,-374245,-595980,62157,318.3,1868.7
756387723,748387723,-19.78,-26.355,-12.841,-374294,-595999,61912,318.3,1868.7
756388744,748388744,-19.63,-26.315,-12.675,-373967,-595830,62601,318.3,1868.7
756389765,748389765,-19.876,-26.542,-12.453,-374503,-596790,63527,318.3,1868.7
756390786,748390786,-19.968,-26.793,-12.524,-374703,-597847,63231,318.3,1868.7
756391807,748391807,-19.972,-26.476,-12.507,-374711,-596509,63301,318.3,1868.7
756392829,748392829,-19.947,-26.572,-12.551,-374657,-596915,63120,318.3,1868.7
756393850,748393850,-19.976,-26.864,-12.402,-374720,-598146,63738,318.3,1868.7
756394872,748394872,-19.98,-27.166,-12.409,-374729,-599419,63710,318.3,1868.7
756395894,748395894,-20.148,-27.36,-12.306,-375094,-600235,64140,318.3,1868.7
756396916,748396916,-20.107,-27.648,-12.372,-375005,-601451,63863,318.3,1868.7
756397938,748397938,-20.2,-27.782,-12.267,-375208,-602016,64303,318.3,1868.7
756398959,748398959,-20.225,-27.546,-12.314,-375263,-601021,64104,318.3,1868.7
756399981,748399981,-20.081,-27.624,-12.111,-374949,-601349,64950,318.3,1868.7
756401003,748401003,-20.561,-27.484,-11.78,-375993,-600761,66331,318.3,1868.7
756402025,748402025,-20.848,-26.563,-11.544,-376618,-596878,67313,318.3,1868.7
756403047,748403047,-20.846,-26.048,-11.642,-376615,-594705,66904,318.3,1868.7
756404068,748404068,-20.549,-26.328,-12.031,-375968,-595887,65284,318.3,1868.7
756405090,748405090,-20.184,-25.989,-12.194,-375174,-594460,64605,318.3,1868.7
756406112,748406112,-20.181,-25.869,-12.155,-375166,-593954,64767,318.3,1868.7
756407134,748407134,-20.361,-26.304,-12.139,-375559,-595787,64834,318.3,1868.7
756408155,748408155,-20.454,-26.07,-12.146,-375761,-594799,64803,318.3,1868.7
756409177,748409177,-20.551,-25.548,-11.976,-375971,-592600,65514,318.3,1868.7
756410199,748410199,-20.579,-24.723,-11.804,-376033,-589123,66229,318.3,1868.7
756411221,748411221,-20.608,-24.957,-11.659,-376096,-590109,66831,318.3,1868.7
756412242,748412242,-20.865,-24.916,-11.668,-376655,-589934,66796,318.3,1868.7
756413264,748413264,-20.805,-25.325,-11.737,-376525,-591660,66510,318.3,1868.7
756414286,748414286,-20.88,-26.326,-11.698,-376688,-595880,66669,318.3,1868.7
756415308,748415308,-20.851,-26.471,-11.637,-376625,-596490,66926,318.3,1868.7
756416330,748416330,-20.739,-26.126,-11.614,-376382,-595034,67021,318.3,1868.7
756417351,748417351,-20.88,-25.783,-11.601,-376688,-593589,67076,318.3,1868.7
756418373,748418373,-20.945,-25.614,-11.55,-376830,-592876,67288,318.3,1868.7
756419395,748419395,-20.906,-25.73,-11.543,-376745,-593366,67314,318.3,1868.7
756420417,748420417,-20.964,-25.566,-11.582,-376872,-592675,67152,318.3,1868.7
756421439,748421439,-21.019,-24.972,-11.544,-376991,-590171,67312,318.3,1868.7
756422460,748422460,-20.876,-24.766,-11.497,-376680,-589301,67507,318.3,1868.7
756423482,748423482,-21.044,-25.32,-11.562,-377044,-591639,67238,318.3,1868.7
756424504,748424504,-20.947,-26.038,-11.603,-376834,-594665,67066,318.3,1868.7
756425526,748425526,-20.936,-26.014,-11.666,-376809,-594562,66803,318.3,1868.7
756426547,748426547,-21.177,-25.919,-11.682,-377335,-594162,66739,318.3,1868.7
756427569,748427569,-21.078,-25.392,-11.828,-377118,-591940,66128,318.3,1868.7
756428591,748428591,-21.273,-25.309,-11.624,-377544,-591591,66980,318.3,1868.7
756429613,748429613,-21.363,-25.251,-11.513,-377739,-591346,67439,318.3,1868.7
756430635,748430635,-21.478,-24.792,-11.44,-377989,-589413,67747,318.3,1868.7
756431656,748431656,-21.548,-24.629,-11.326,-378143,-588725,68221,318.3,1868.7
756432678,748432678,-21.479,-24.952,-11.333,-377992,-590089,68192,318.3,1868.7
756433700,748433700,-21.463,-25.099,-11.253,-377957,-590705,68523,318.3,1868.7
756434722,748434722,-21.485,-24.788,-11.096,-378004,-589396,69179,318.3,1868.7
756435743,748435743,-21.548,-23.892,-10.871,-378143,-585617,70116,318.3,1868.7
756436765,748436765,-21.539,-22.977,-10.756,-378123,-581764,70595,318.3,1868.7
756437787,748437787,-21.613,-23.219,-10.759,-378283,-582783,70582,318.3,1868.7
756438809,748438809,-21.453,-23.978,-10.773,-377936,-585981,70523,318.3,1868.7
756439831,748439831,-21.629,-23.522,-10.676,-378319,-584059,70926,318.3,1868.7
