# Participant: P5_HONEYWELL_frc_reset
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 205124
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
765578039,757578039,-0.932,0.816,0.901,-333270,-481499,119130,166.3,1561.7
765578894,757578894,-0.984,0.969,0.851,-333383,-480855,118923,166.3,1561.7
765579914,757579914,-0.974,1.053,1.073,-333362,-480499,119845,166.3,1561.7
765580934,757580934,-0.958,1.084,1.003,-333326,-480368,119554,166.3,1561.7
765581953,757581953,-1.059,1.038,1.033,-333547,-480562,119679,166.3,1561.7
765582973,757582973,-0.873,1.061,1.032,-333142,-480466,119678,166.3,1561.7
765583992,757583992,-0.971,1.034,0.93,-333355,-480580,119250,166.3,1561.7
765585012,757585012,-0.841,1.078,0.957,-333071,-480392,119365,166.3,1561.7
765586031,757586031,-1.048,0.972,1.074,-333522,-480842,119850,166.3,1561.7
765587051,757587051,-1.125,1.007,0.947,-333691,-480693,119322,166.3,1561.7
765588070,757588070,-1.107,1.078,1.087,-333651,-480395,119906,166.3,1561.7
765589090,757589090,-1.109,1.138,1.046,-333656,-480142,119735,166.3,1561.7
765590109,757590109,-1.144,1.069,1.132,-333731,-480432,120092,166.3,1561.7
765591129,757591129,-1.236,1.056,1.071,-333931,-480488,119838,166.3,1561.7
765592148,757592148,-1.099,0.903,0.913,-333634,-481132,119182,166.3,1561.7
765593168,757593168,-1.026,1.063,0.994,-333474,-480456,119518,166.3,1561.7
765594187,757594187,-1.109,1.132,0.984,-333655,-480167,119475,166.3,1561.7
765595207,757595207,-1.089,1.161,1.23,-333612,-480045,120499,166.3,1561.7
765596226,757596226,-1.114,1.07,1.142,-333667,-480428,120134,166.3,1561.7
765597246,757597246,-0.983,0.985,1.011,-333381,-480787,119587,166.3,1561.7
765598265,757598265,-1.171,1.003,0.955,-333790,-480709,119356,166.3,1561.7
765599285,757599285,-1.0,1.058,1.07,-333418,-480480,119835,166.3,1561.7
765600305,757600305,-1.0,1.17,1.01,-333418,-480006,119583,166.3,1561.7
