t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
698375635,8.806,-0.001,-0.002,-312609,-484191,115909,4.8,1382.6
698376598,8.812,-0.01,-0.061,-312596,-484231,115663,4.8,1382.6
698377620,8.656,-0.016,-0.094,-312936,-484256,115524,4.8,1382.6
698378642,8.713,-0.038,-0.109,-312812,-484348,115462,4.8,1382.6
698379664,8.473,0.017,0.052,-313335,-484118,116132,4.8,1382.6
698380685,8.549,0.007,0.004,-313169,-484159,115935,4.8,1382.6
698381707,8.483,-0.118,-0.049,-313312,-484688,115714,4.8,1382.6
698382729,8.396,-0.067,-0.032,-313501,-484473,115783,4.8,1382.6
698383751,8.225,-0.049,-0.004,-313873,-484395,115901,4.8,1382.6
698384773,8.118,-0.092,-0.044,-314106,-484578,115732,4.8,1382.6
698385794,8.068,-0.129,0.049,-314215,-484731,116121,4.8,1382.6
698386816,8.049,-0.087,-0.084,-314256,-484556,115566,4.8,1382.6
698387838,7.904,-0.109,-0.047,-314572,-484649,115721,4.8,1382.6
698388860,7.735,-0.164,-0.093,-314940,-484882,115528,4.8,1382.6
698389882,7.772,-0.161,-0.07,-314860,-484868,115625,4.8,1382.6
698390903,7.728,-0.033,-0.067,-314956,-484328,115639,4.8,1382.6
698391925,7.623,-0.057,-0.028,-315184,-484428,115799,4.8,1382.6
698392947,7.639,-0.056,-0.069,-315150,-484424,115630,4.8,1382.6
698393969,7.475,-0.112,-0.057,-315506,-484662,115680,4.8,1382.6
698394990,7.407,-0.071,0.034,-315654,-484490,116057,4.8,1382.6
698396012,7.416,-0.011,0.029,-315635,-484234,116039,4.8,1382.6
698397034,7.373,-0.05,-0.053,-315727,-484398,115696,4.8,1382.6
698398056,7.232,-0.058,-0.066,-316034,-484432,115642,4.8,1382.6
698399078,7.136,-0.028,-0.009,-316244,-484307,115878,4.8,1382.6
698400099,7.164,-0.112,-0.035,-316182,-484662,115769,4.8,1382.6
698401121,7.083,-0.171,-0.082,-316360,-484910,115576,4.8,1382.6
698402143,7.07,-0.133,-0.028,-316388,-484748,115802,4.8,1382.6
698403165,7.027,-0.035,-0.013,-316481,-484338,115861,4.8,1382.6
698404187,6.964,-0.128,-0.117,-316617,-484730,115431,4.8,1382.6
698405208,6.863,-0.232,-0.122,-316837,-485165,115409,4.8,1382.6
698406230,6.902,-0.178,-0.11,-316752,-484939,115459,4.8,1382.6
698407252,6.776,-0.101,-0.012,-317026,-484615,115868,4.8,1382.6
698408274,6.654,-0.138,-0.042,-317293,-484772,115744,4.8,1382.6
698409295,6.543,-0.108,-0.111,-317534,-484644,115455,4.8,1382.6
698410317,6.62,-0.204,-0.12,-317366,-485050,115417,4.8,1382.6
698411339,6.468,-0.21,-0.063,-317697,-485073,115654,4.8,1382.6
698412361,6.388,-0.121,-0.022,-317871,-484698,115824,4.8,1382.6
698413383,6.36,-0.076,-0.014,-317932,-484509,115860,4.8,1382.6
698414404,6.208,-0.107,-0.136,-318263,-484639,115350,4.8,1382.6
698415426,6.304,-0.133,-0.071,-318055,-484749,115622,4.8,1382.6
698416448,6.181,-0.113,-0.102,-318322,-484667,115491,4.8,1382.6
698417470,6.008,-0.13,-0.022,-318699,-484738,115825,4.8,1382.6
698418492,5.931,-0.195,0.0,-318866,-485012,115917,4.8,1382.6
698419513,6.011,-0.105,-0.045,-318691,-484631,115731,4.8,1382.6
698420535,6.015,-0.134,0.011,-318683,-484752,115961,4.8,1382.6
698421557,5.914,-0.096,0.019,-318902,-484594,115998,4.8,1382.6
698422579,5.784,-0.168,-0.084,-319186,-484896,115567,4.8,1382.6
698423600,5.809,-0.165,-0.034,-319132,-484883,115775,4.8,1382.6
698424622,5.663,-0.078,0.023,-319449,-484519,116014,4.8,1382.6
698425644,5.562,-0.15,-0.007,-319669,-484822,115886,4.8,1382.6
698426666,5.516,-0.111,0.046,-319770,-484657,116107,4.8,1382.6
698427688,5.511,-0.094,0.008,-319779,-484585,115949,4.8,1382.6
698428709,5.485,-0.079,0.041,-319837,-484523,116089,4.8,1382.6
698429731,5.502,-0.09,0.078,-319800,-484570,116242,4.8,1382.6
698430753,5.42,-0.039,0.1,-319977,-484354,116334,4.8,1382.6
698431775,5.398,0.006,0.118,-320025,-484165,116406,4.8,1382.6
698432797,5.331,-0.022,0.015,-320172,-484282,115980,4.8,1382.6
698433818,5.409,-0.032,-0.0,-320001,-484323,115916,4.8,1382.6
698434840,5.275,-0.098,0.038,-320294,-484603,116076,4.8,1382.6
698435862,5.205,-0.111,-0.005,-320445,-484655,115896,4.8,1382.6
698436884,5.312,-0.086,0.045,-320214,-484550,116104,4.8,1382.6
698437905,5.126,0.018,0.014,-320618,-484115,115974,4.8,1382.6
698438927,5.156,-0.106,-0.006,-320552,-484635,115893,4.8,1382.6
698439949,5.195,-0.019,0.001,-320467,-484268,115920,4.8,1382.6
698440971,5.198,0.001,0.05,-320462,-484184,116124,4.8,1382.6
698441993,4.952,-0.022,0.052,-320996,-484282,116133,4.8,1382.6
698443015,4.955,-0.003,0.007,-320990,-484200,115946,4.8,1382.6
698444036,4.88,-0.033,0.01,-321153,-484326,115958,4.8,1382.6
698445058,4.982,0.055,0.065,-320930,-483955,116186,4.8,1382.6
