t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1167379512,2.638,0.129,0.244,-325855,-483730,116887,68.3,1932.7
1167380228,2.575,0.136,0.258,-325993,-483700,116944,68.3,1932.7
1167381250,2.587,0.102,0.275,-325966,-483846,117016,68.3,1932.7
1167382272,2.78,0.158,0.228,-325547,-483607,116821,68.3,1932.7
1167383294,2.726,0.123,0.223,-325665,-483757,116800,68.3,1932.7
1167384315,2.712,0.169,0.28,-325694,-483561,117038,68.3,1932.7
1167385337,2.621,0.172,0.285,-325892,-483548,117059,68.3,1932.7
1167386359,2.642,0.17,0.29,-325847,-483556,117078,68.3,1932.7
1167387381,2.688,0.209,0.162,-325747,-483393,116545,68.3,1932.7
1167388403,2.742,0.204,0.229,-325628,-483415,116824,68.3,1932.7
1167389424,2.811,0.202,0.137,-325478,-483423,116443,68.3,1932.7
1167390446,2.736,0.273,0.072,-325642,-483124,116169,68.3,1932.7
1167391468,2.703,0.34,0.023,-325715,-482839,115966,68.3,1932.7
1167392489,2.709,0.483,0.258,-325701,-482239,116944,68.3,1932.7
1167393511,2.776,0.548,0.438,-325556,-481962,117697,68.3,1932.7
1167394533,2.77,0.508,0.386,-325567,-482131,117480,68.3,1932.7
1167395555,2.746,0.428,0.34,-325621,-482470,117287,68.3,1932.7
1167396577,2.934,0.383,0.295,-325212,-482660,117100,68.3,1932.7
1167397598,3.076,0.345,0.384,-324902,-482819,117469,68.3,1932.7
1167398620,3.095,0.273,0.311,-324861,-483122,117166,68.3,1932.7
1167399642,3.311,0.233,0.246,-324389,-483291,116896,68.3,1932.7
1167400664,3.255,0.033,0.171,-324512,-484133,116582,68.3,1932.7
1167401685,3.482,-0.078,0.017,-324017,-484602,115940,68.3,1932.7
1167402707,3.477,-0.04,-0.049,-324028,-484441,115668,68.3,1932.7
1167403729,3.467,-0.106,-0.071,-324050,-484722,115575,68.3,1932.7
1167404751,3.525,-0.017,-0.124,-323924,-484347,115355,68.3,1932.7
1167405772,3.511,-0.212,-0.21,-323954,-485168,114997,68.3,1932.7
1167406794,3.516,-0.171,-0.224,-323944,-484996,114938,68.3,1932.7
1167407816,3.424,-0.176,-0.131,-324145,-485017,115327,68.3,1932.7
1167408838,3.521,-0.061,-0.225,-323933,-484532,114934,68.3,1932.7
1167409860,3.582,-0.023,-0.132,-323800,-484370,115322,68.3,1932.7
1167410882,3.446,-0.049,0.003,-324097,-484481,115885,68.3,1932.7
1167411903,3.466,-0.064,0.005,-324052,-484545,115890,68.3,1932.7
1167412925,3.535,-0.039,-0.016,-323902,-484439,115805,68.3,1932.7
1167413947,3.471,-0.035,-0.026,-324042,-484420,115763,68.3,1932.7
1167414969,3.321,-0.018,-0.074,-324368,-484351,115562,68.3,1932.7
1167415990,3.602,-0.013,-0.046,-323757,-484331,115679,68.3,1932.7
1167417012,3.599,-0.018,0.022,-323763,-484352,115963,68.3,1932.7
1167418034,3.704,0.057,0.065,-323534,-484035,116143,68.3,1932.7
1167419056,3.692,-0.052,-0.015,-323561,-484495,115807,68.3,1932.7
1167420077,3.603,-0.042,0.038,-323755,-484450,116031,68.3,1932.7
1167421099,2.443,1.078,1.125,-326281,-479728,120557,68.3,1932.7
1167422121,2.771,1.048,1.031,-325565,-479855,120165,68.3,1932.7
1167423143,2.781,1.091,1.155,-325544,-479674,120684,68.3,1932.7
1167424165,1.747,2.004,2.06,-327796,-475822,124452,68.3,1932.7
1167425186,1.932,1.865,2.075,-327394,-476407,124517,68.3,1932.7
1167426208,2.513,1.243,1.439,-326127,-479033,121865,68.3,1932.7
1167427230,2.875,0.791,0.797,-325339,-480940,119193,68.3,1932.7
1167428252,2.957,0.734,0.686,-325161,-481179,118728,68.3,1932.7
1167429273,3.223,0.473,0.705,-324582,-482280,118807,68.3,1932.7
1167430295,3.443,0.184,0.378,-324102,-483498,117445,68.3,1932.7
1167431317,3.549,0.015,-0.002,-323872,-484212,115862,68.3,1932.7
1167432339,3.825,-0.022,-0.142,-323271,-484369,115279,68.3,1932.7
1167433360,4.116,-0.316,-0.3,-322638,-485609,114622,68.3,1932.7
1167434382,4.276,-0.538,-0.588,-322289,-486545,113420,68.3,1932.7
1167435404,4.282,-0.637,-0.579,-322275,-486960,113460,68.3,1932.7
1167436426,4.22,-0.632,-0.64,-322411,-486941,113203,68.3,1932.7
1167437448,4.302,-0.515,-0.56,-322233,-486445,113536,68.3,1932.7
1167438469,4.343,-0.517,-0.469,-322142,-486454,113915,68.3,1932.7
1167439491,4.278,-0.506,-0.388,-322284,-486408,114255,68.3,1932.7
1167440513,4.054,-0.472,-0.298,-322773,-486265,114627,68.3,1932.7
1167441535,3.99,-0.278,-0.215,-322911,-485448,114975,68.3,1932.7
1167442557,3.754,-0.271,-0.221,-323425,-485419,114951,68.3,1932.7
1167443578,3.803,-0.142,-0.029,-323318,-484874,115748,68.3,1932.7
1167444600,3.707,-0.03,-0.004,-323527,-484400,115853,68.3,1932.7
1167445622,3.666,-0.099,0.069,-323618,-484691,116158,68.3,1932.7
1167446644,3.608,-0.061,0.006,-323744,-484532,115895,68.3,1932.7
1167447665,3.649,-0.044,-0.046,-323653,-484460,115678,68.3,1932.7
1167448687,3.656,-0.073,-0.034,-323639,-484581,115728,68.3,1932.7
1167449709,3.694,-0.15,-0.058,-323556,-484905,115627,68.3,1932.7
1167450731,3.906,-0.123,-0.138,-323095,-484792,115294,68.3,1932.7
1167451753,3.804,-0.23,-0.142,-323316,-485246,115277,68.3,1932.7
1167452774,3.81,-0.237,-0.104,-323303,-485276,115437,68.3,1932.7
1167453796,3.695,-0.285,-0.122,-323554,-485476,115362,68.3,1932.7
1167454829,3.808,-0.151,-0.131,-323307,-484913,115326,68.3,1932.7
1167455908,3.808,-0.151,-0.131,-323307,-484913,115326,68.3,1932.7
1167456972,3.695,-0.188,-0.072,-323540,-485067,115600,68.3,1932.7
1167457993,3.848,-0.049,-0.093,-323208,-484481,115511,68.3,1932.7
1167459014,3.632,-0.011,0.034,-323677,-484321,116039,68.3,1932.7
1167460035,3.514,-0.001,0.084,-323934,-484279,116247,68.3,1932.7
1167461056,3.56,0.112,0.117,-323834,-483801,116385,68.3,1932.7
1167462077,3.459,0.047,0.142,-324055,-484075,116490,68.3,1932.7
1167463098,3.569,0.112,0.152,-323815,-483803,116531,68.3,1932.7
1167464119,3.425,0.066,0.113,-324129,-483994,116369,68.3,1932.7
1167465140,3.407,0.053,0.121,-324167,-484050,116401,68.3,1932.7
1167466161,3.516,0.061,0.081,-323930,-484018,116238,68.3,1932.7
