t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1272895344,4.637,-0.19,-0.025,-321503,-485112,115767,107.2,2525.5
1272895996,4.664,-0.198,-0.025,-321444,-485147,115767,107.2,2525.5
1272897018,4.587,-0.129,-0.058,-321611,-484856,115627,107.2,2525.5
1272898040,4.473,-0.228,-0.061,-321860,-485272,115618,107.2,2525.5
1272899061,4.527,-0.203,-0.012,-321742,-485169,115822,107.2,2525.5
1272900083,4.471,-0.18,-0.01,-321863,-485071,115828,107.2,2525.5
1272901105,4.284,-0.178,0.0,-322270,-485062,115872,107.2,2525.5
1272902127,4.35,-0.188,-0.032,-322128,-485105,115739,107.2,2525.5
1272903149,4.239,-0.157,-0.052,-322370,-484973,115652,107.2,2525.5
1272904170,4.267,-0.081,-0.089,-322308,-484654,115501,107.2,2525.5
1272905192,4.15,-0.119,-0.159,-322562,-484813,115207,107.2,2525.5
1272906214,4.063,0.075,-0.123,-322752,-483995,115359,107.2,2525.5
1272907236,4.121,0.056,-0.099,-322625,-484075,115460,107.2,2525.5
1272908258,4.116,0.016,-0.054,-322638,-484241,115645,107.2,2525.5
1272909279,3.92,0.015,-0.109,-323063,-484249,115415,107.2,2525.5
1272910301,3.993,-0.032,-0.075,-322905,-484444,115559,107.2,2525.5
1272911323,3.873,-0.104,-0.151,-323166,-484749,115243,107.2,2525.5
1272912345,3.824,-0.012,-0.087,-323272,-484361,115508,107.2,2525.5
1272913366,3.797,0.022,-0.052,-323332,-484218,115655,107.2,2525.5
1272914388,3.67,-0.03,-0.14,-323609,-484435,115286,107.2,2525.5
1272915410,3.669,-0.114,-0.101,-323611,-484790,115449,107.2,2525.5
1272916432,3.686,-0.084,-0.072,-323574,-484663,115571,107.2,2525.5
1272917454,3.608,-0.057,-0.01,-323743,-484550,115831,107.2,2525.5
1272918475,3.678,0.024,-0.056,-323591,-484208,115639,107.2,2525.5
1272919497,3.495,-0.07,0.003,-323990,-484607,115882,107.2,2525.5
1272920519,3.525,0.106,-0.102,-323924,-483864,115447,107.2,2525.5
1272921541,3.493,-0.032,-0.104,-323994,-484446,115439,107.2,2525.5
1272922563,3.568,-0.04,-0.083,-323831,-484481,115526,107.2,2525.5
1272923584,3.407,-0.084,-0.019,-324181,-484665,115791,107.2,2525.5
1272924606,3.329,-0.03,-0.048,-324350,-484439,115671,107.2,2525.5
1272925628,3.331,-0.046,-0.069,-324346,-484505,115584,107.2,2525.5
1272926650,3.357,-0.025,0.056,-324290,-484416,116102,107.2,2525.5
1272927683,3.303,-0.152,-0.076,-324408,-484952,115553,107.2,2525.5
1272928761,3.303,-0.152,-0.076,-324408,-484952,115553,107.2,2525.5
1272929826,3.098,-0.098,-0.077,-324854,-484723,115522,107.2,2525.5
1272930847,3.077,-0.071,-0.035,-324900,-484610,115697,107.2,2525.5
