t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
949721775,27.559,-0.373,0.033,-271854,-485978,115861,33.5,1235.9
949722574,27.906,-1.497,-0.364,-271099,-490718,114205,33.5,1235.9
949723596,27.913,-1.226,-0.372,-271083,-489576,114171,33.5,1235.9
949724618,27.836,-1.526,-0.41,-271252,-490840,114014,33.5,1235.9
949725640,27.83,-2.267,-0.356,-271263,-493968,114240,33.5,1235.9
949726662,27.759,-2.729,-0.24,-271419,-495912,114723,33.5,1235.9
949727684,27.509,-2.891,-0.154,-271964,-496597,115079,33.5,1235.9
949728705,27.285,-2.459,0.111,-272450,-494776,116186,33.5,1235.9
949729727,26.747,-1.469,0.561,-273621,-490601,118058,33.5,1235.9
949730749,26.645,-0.953,0.815,-273843,-488423,119117,33.5,1235.9
949731771,26.67,-0.504,0.762,-273790,-486532,118894,33.5,1235.9
949732792,26.764,-0.458,0.489,-273585,-486337,117759,33.5,1235.9
949733814,26.872,-0.33,0.298,-273349,-485800,116962,33.5,1235.9
949734836,27.102,-1.062,0.083,-272850,-488886,116068,33.5,1235.9
949735858,27.428,-1.638,-0.16,-272139,-491312,115054,33.5,1235.9
949736880,27.44,-1.409,-0.111,-272114,-490348,115261,33.5,1235.9
949737901,27.174,-1.377,0.224,-272693,-490212,116654,33.5,1235.9
949738923,26.938,-0.574,0.458,-273207,-486828,117630,33.5,1235.9
949739945,26.727,-0.728,0.591,-273665,-487476,118183,33.5,1235.9
949740967,26.568,-1.023,0.578,-274011,-488719,118131,33.5,1235.9
949741988,26.543,-0.702,0.925,-274066,-487367,119575,33.5,1235.9
949743010,26.447,-0.305,0.898,-274276,-485691,119464,33.5,1235.9
949744032,26.5,-0.535,0.749,-274159,-486663,118840,33.5,1235.9
949745054,26.64,-0.868,0.721,-273855,-488068,118726,33.5,1235.9
949746075,26.537,-0.732,0.719,-274078,-487492,118715,33.5,1235.9
949747097,26.083,-0.266,0.972,-275067,-485526,119771,33.5,1235.9
949748119,25.797,0.701,1.178,-275691,-481449,120627,33.5,1235.9
949749141,25.97,0.675,1.233,-275313,-481562,120858,33.5,1235.9
949750163,25.745,0.224,1.163,-275803,-483461,120567,33.5,1235.9
949751185,25.937,0.115,1.143,-275386,-483923,120482,33.5,1235.9
949752206,26.535,-0.206,0.508,-274084,-485276,117836,33.5,1235.9
949753228,26.865,-0.385,0.115,-273365,-486029,116201,33.5,1235.9
949754250,26.631,-0.174,0.273,-273874,-485142,116861,33.5,1235.9
949755272,26.531,0.256,0.273,-274092,-483326,116859,33.5,1235.9
949756293,26.939,-0.194,-0.008,-273203,-485226,115688,33.5,1235.9
949757315,27.497,-0.839,-0.326,-271989,-487944,114365,33.5,1235.9
949758337,27.719,-1.423,-0.411,-271506,-490408,114009,33.5,1235.9
949759359,27.758,-1.349,-0.273,-271421,-490096,114587,33.5,1235.9
949760392,27.636,-1.371,0.113,-271686,-490188,116191,33.5,1235.9
949761470,27.636,-1.371,0.113,-271686,-490188,116191,33.5,1235.9
949762535,27.206,-0.802,0.174,-272613,-487717,116448,33.5,1235.9
949763556,27.383,-0.826,0.107,-272229,-487815,116167,33.5,1235.9
949764577,27.554,-0.971,-0.102,-271856,-488426,115296,33.5,1235.9
