t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
498501652,23.935,-2.386,-0.122,-279613,-493876,115686,13.2,1412.9
498502671,23.917,-2.452,-1.433,-279652,-494152,110233,13.2,1412.9
498503691,21.887,-0.003,-1.113,-284067,-483838,111566,13.2,1412.9
498504710,20.226,2.757,0.188,-287680,-472216,116974,13.2,1412.9
498505730,20.901,3.117,1.414,-286212,-470700,122073,13.2,1412.9
498506750,23.394,1.068,1.443,-280789,-479328,122195,13.2,1412.9
498507769,26.012,-1.398,0.203,-275096,-489714,117038,13.2,1412.9
498508789,26.848,-2.15,-0.867,-273279,-492883,112588,13.2,1412.9
498509808,25.873,-1.15,-0.974,-275400,-488670,112142,13.2,1412.9
498510828,24.556,0.656,-0.246,-278263,-481064,115169,13.2,1412.9
498511847,24.403,1.463,0.696,-278596,-477664,119090,13.2,1412.9
498512867,25.527,0.539,0.919,-276152,-481555,120017,13.2,1412.9
498513886,27.239,-0.961,0.277,-272429,-487874,117347,13.2,1412.9
498514906,28.188,-1.568,-0.491,-270365,-490429,114151,13.2,1412.9
498515926,27.924,-0.966,-0.81,-270939,-487895,112824,13.2,1412.9
498516945,27.26,0.078,-0.297,-272383,-483498,114959,13.2,1412.9
498517965,26.886,0.699,0.413,-273197,-480881,117911,13.2,1412.9
498518984,27.2,0.752,0.62,-272514,-480661,118772,13.2,1412.9
498520004,28.231,0.193,0.583,-270271,-483013,118620,13.2,1412.9
498521023,29.107,-0.342,0.167,-268366,-485267,116887,13.2,1412.9
498522043,29.408,-0.169,-0.132,-267711,-484537,115645,13.2,1412.9
498523062,29.271,0.396,0.021,-268010,-482161,116280,13.2,1412.9
498524082,29.031,1.007,0.294,-268531,-479588,117418,13.2,1412.9
498525101,29.126,0.726,0.457,-268325,-480769,118094,13.2,1412.9
498526121,29.436,0.17,0.46,-267650,-483109,118105,13.2,1412.9
498527140,29.973,-0.462,0.143,-266483,-485774,116790,13.2,1412.9
498528160,30.508,-0.966,0.145,-265320,-487896,116795,13.2,1412.9
498529180,30.575,-1.108,0.031,-265175,-488492,116324,13.2,1412.9
498530199,30.53,-0.973,0.166,-265271,-487924,116885,13.2,1412.9
498531219,30.405,-1.105,0.206,-265543,-488481,117051,13.2,1412.9
498532238,30.729,-1.075,0.184,-264838,-488356,116957,13.2,1412.9
498533258,31.072,-1.033,0.051,-264093,-488176,116405,13.2,1412.9
498534277,31.155,-0.937,0.094,-263913,-487773,116583,13.2,1412.9
498535297,31.079,-0.649,0.13,-264079,-486562,116733,13.2,1412.9
498536316,30.824,-0.237,0.25,-264632,-484825,117234,13.2,1412.9
498537336,30.697,0.084,0.404,-264909,-483473,117872,13.2,1412.9
498538356,30.453,0.067,0.439,-265439,-483545,118020,13.2,1412.9
498539375,30.401,-0.261,0.499,-265552,-484926,118269,13.2,1412.9
498540395,30.455,-0.541,0.27,-265436,-486107,117317,13.2,1412.9
498541414,30.358,-0.613,0.176,-265645,-486409,116924,13.2,1412.9
498542434,30.077,-0.448,0.258,-266256,-485715,117266,13.2,1412.9
498543453,29.713,-0.432,0.45,-267048,-485647,118067,13.2,1412.9
498544473,29.467,-0.355,0.381,-267583,-485320,117779,13.2,1412.9
498545492,29.597,-0.541,0.389,-267300,-486105,117813,13.2,1412.9
498546512,29.365,-0.448,0.334,-267806,-485713,117584,13.2,1412.9
498547531,29.314,-0.375,0.253,-267916,-485406,117245,13.2,1412.9
498548551,29.332,-0.225,0.134,-267876,-484775,116750,13.2,1412.9
498549571,29.316,0.037,0.012,-267911,-483672,116242,13.2,1412.9
498550590,29.363,0.169,0.143,-267809,-483113,116790,13.2,1412.9
498551610,29.236,0.093,0.403,-268086,-483436,117869,13.2,1412.9
498552629,28.903,-0.395,0.407,-268810,-485489,117885,13.2,1412.9
498553649,29.099,-0.508,0.398,-268384,-485965,117850,13.2,1412.9
498554668,29.177,-0.216,0.392,-268213,-484737,117823,13.2,1412.9
498555688,29.607,-0.444,0.347,-267279,-485696,117636,13.2,1412.9
498556707,29.682,-0.437,0.235,-267116,-485668,117170,13.2,1412.9
498557727,29.93,-0.498,0.272,-266577,-485923,117323,13.2,1412.9
498558746,30.247,-0.401,0.184,-265887,-485514,116960,13.2,1412.9
498559766,30.821,-0.319,0.123,-264640,-485169,116705,13.2,1412.9
498560786,31.208,0.074,0.194,-263798,-483517,117001,13.2,1412.9
498561805,31.382,0.428,0.255,-263419,-482025,117255,13.2,1412.9
498562825,31.528,0.594,0.562,-263102,-481327,118531,13.2,1412.9
498563844,31.846,0.727,0.599,-262410,-480766,118685,13.2,1412.9
498564864,32.209,1.052,0.558,-261621,-479397,118514,13.2,1412.9
498565883,32.847,0.749,0.374,-260233,-480671,117748,13.2,1412.9
498566903,33.622,0.231,0.364,-258548,-482854,117707,13.2,1412.9
498567922,33.974,-0.209,0.347,-257783,-484706,117635,13.2,1412.9
498568942,34.374,-0.185,0.555,-256913,-484606,118500,13.2,1412.9
498569961,34.786,-0.42,0.639,-256017,-485597,118853,13.2,1412.9
498570981,35.14,-0.624,0.546,-255247,-486453,118463,13.2,1412.9
498572001,35.451,-0.394,0.382,-254570,-485487,117784,13.2,1412.9
498573020,35.951,-0.049,0.437,-253484,-484032,118010,13.2,1412.9
498574040,36.305,-0.143,0.422,-252713,-484428,117948,13.2,1412.9
498575059,36.721,-0.338,0.278,-251809,-485250,117350,13.2,1412.9
498576079,37.117,-0.961,0.17,-250947,-487874,116902,13.2,1412.9
498577098,37.425,-0.98,0.065,-250277,-487956,116462,13.2,1412.9
498578118,37.765,-0.514,-0.09,-249538,-485991,115821,13.2,1412.9
498579137,38.0,-1.094,-0.188,-249027,-488434,115412,13.2,1412.9
498580157,37.986,-1.519,-0.325,-249058,-490222,114841,13.2,1412.9
498581176,38.176,-1.229,-0.25,-248646,-489003,115155,13.2,1412.9
498582196,38.133,-1.101,-0.129,-248739,-488463,115656,13.2,1412.9
498583216,38.041,-0.493,0.078,-248939,-485904,116517,13.2,1412.9
498584235,37.862,0.307,0.361,-249328,-482536,117696,13.2,1412.9
498585255,37.68,0.749,0.692,-249724,-480673,119073,13.2,1412.9
498586274,37.956,0.484,0.894,-249123,-481790,119912,13.2,1412.9
498587294,38.031,0.664,0.854,-248960,-481029,119746,13.2,1412.9
498588313,38.141,0.518,0.707,-248720,-481647,119136,13.2,1412.9
498589333,38.57,0.328,0.548,-247789,-482445,118472,13.2,1412.9
498590352,38.885,0.053,0.311,-247104,-483603,117488,13.2,1412.9
498591372,39.242,-0.113,-0.037,-246326,-484303,116040,13.2,1412.9
498592392,39.172,-0.42,-0.081,-246479,-485595,115855,13.2,1412.9
498593411,39.225,-0.451,-0.026,-246363,-485726,116086,13.2,1412.9
498594431,39.118,-0.384,0.155,-246597,-485442,116840,13.2,1412.9
498595450,38.989,-0.508,0.186,-246876,-485965,116966,13.2,1412.9
498596470,38.974,-0.63,0.301,-246909,-486481,117444,13.2,1412.9
498597489,39.153,-0.543,0.299,-246521,-486114,117437,13.2,1412.9
498598509,38.714,-1.128,0.346,-247476,-488577,117631,13.2,1412.9
498599528,38.825,-1.154,0.456,-247234,-488687,118092,13.2,1412.9
498600548,38.778,-0.722,0.311,-247335,-486868,117489,13.2,1412.9
498601568,38.828,-0.419,0.256,-247227,-485593,117257,13.2,1412.9
498602599,38.706,-0.115,0.247,-247493,-484312,117222,13.2,1412.9
498603676,38.706,-0.115,0.247,-247493,-484312,117222,13.2,1412.9
498604741,38.526,0.675,0.182,-247883,-480947,116951,13.2,1412.9
498605762,38.804,0.594,0.055,-247280,-481290,116423,13.2,1412.9
498606783,39.013,0.365,-0.096,-246825,-482255,115793,13.2,1412.9
498607804,39.394,0.007,-0.234,-245996,-483760,115219,13.2,1412.9
498608825,39.687,-0.098,-0.419,-245359,-484204,114450,13.2,1412.9
498609846,39.778,-0.175,-0.591,-245162,-484529,113735,13.2,1412.9
