t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
482639932,-0.001,-0.012,-0.007,-331665,-483843,116163,9.7,1506.0
482640933,-0.004,0.024,0.04,-331672,-483690,116359,9.7,1506.0
482641954,0.066,0.002,0.02,-331520,-483781,116277,9.7,1506.0
482642975,-0.088,0.041,0.029,-331853,-483618,116313,9.7,1506.0
482643996,0.015,0.033,-0.006,-331629,-483651,116167,9.7,1506.0
482645017,0.083,-0.025,-0.119,-331482,-483898,115699,9.7,1506.0
482646038,0.001,-0.021,-0.021,-331660,-483878,116108,9.7,1506.0
482647059,-0.072,-0.017,-0.026,-331820,-483862,116085,9.7,1506.0
482648080,-0.171,-0.041,0.007,-332035,-483962,116222,9.7,1506.0
482649101,-0.073,0.017,0.012,-331822,-483721,116243,9.7,1506.0
482650122,-0.015,0.068,-0.003,-331695,-483505,116183,9.7,1506.0
482651143,0.075,0.034,-0.001,-331499,-483649,116191,9.7,1506.0
482652164,-0.155,0.061,-0.032,-332000,-483533,116059,9.7,1506.0
482653185,-0.028,0.013,0.008,-331723,-483734,116226,9.7,1506.0
482654206,-0.043,0.035,-0.011,-331757,-483644,116148,9.7,1506.0
482655227,-0.08,0.004,-0.009,-331837,-483772,116155,9.7,1506.0
482656247,-0.017,0.05,0.007,-331700,-483582,116221,9.7,1506.0
482657268,-0.044,0.021,0.003,-331759,-483701,116205,9.7,1506.0
482658289,-0.077,0.082,0.02,-331829,-483446,116278,9.7,1506.0
482659310,0.029,-0.002,0.067,-331600,-483797,116472,9.7,1506.0
482660331,-0.095,0.038,-0.026,-331869,-483631,116084,9.7,1506.0
482661352,0.085,-0.052,-0.002,-331477,-484009,116187,9.7,1506.0
482662373,0.028,0.013,0.012,-331602,-483734,116245,9.7,1506.0
482663394,-0.094,0.001,0.036,-331866,-483785,116344,9.7,1506.0
482664415,-0.076,-0.049,0.024,-331828,-483998,116294,9.7,1506.0
482665436,-0.026,-0.025,0.047,-331720,-483897,116389,9.7,1506.0
482666457,-0.171,-0.003,-0.053,-332035,-483804,115974,9.7,1506.0
482667478,-0.138,0.003,-0.006,-331963,-483778,116170,9.7,1506.0
482668498,-0.18,-0.108,0.008,-332053,-484246,116227,9.7,1506.0
482669519,-0.022,0.018,-0.018,-331710,-483714,116117,9.7,1506.0
482670540,-0.021,-0.021,0.061,-331708,-483881,116446,9.7,1506.0
482671561,-0.065,-0.027,0.031,-331803,-483905,116322,9.7,1506.0
482672582,-0.025,0.079,0.013,-331717,-483459,116249,9.7,1506.0
482673603,0.084,-0.03,0.011,-331479,-483918,116238,9.7,1506.0
482674624,0.021,-0.062,0.025,-331616,-484052,116299,9.7,1506.0
482675645,-0.054,-0.035,-0.039,-331780,-483937,116033,9.7,1506.0
482676666,-0.065,-0.0,0.097,-331804,-483792,116595,9.7,1506.0
482677687,-0.039,-0.03,0.034,-331748,-483916,116333,9.7,1506.0
482678708,-0.0,0.039,-0.072,-331663,-483627,115893,9.7,1506.0
482679729,0.051,-0.026,-0.043,-331551,-483902,116013,9.7,1506.0
482680750,0.01,0.003,-0.005,-331640,-483778,116173,9.7,1506.0
482681771,0.07,-0.057,0.029,-331510,-484031,116313,9.7,1506.0
482682791,0.062,-0.052,0.042,-331528,-484008,116370,9.7,1506.0
482683812,-0.064,0.012,-0.013,-331802,-483741,116138,9.7,1506.0
482684833,-0.066,-0.05,-0.033,-331805,-484003,116058,9.7,1506.0
482685854,0.021,-0.062,0.038,-331617,-484052,116353,9.7,1506.0
482686875,-0.034,-0.007,0.004,-331736,-483819,116212,9.7,1506.0
482687896,-0.081,-0.08,-0.06,-331839,-484129,115942,9.7,1506.0
482688917,-0.014,0.003,0.089,-331694,-483778,116562,9.7,1506.0
482689938,-0.049,-0.016,-0.009,-331769,-483859,116156,9.7,1506.0
482690959,-0.075,0.061,-0.095,-331826,-483535,115798,9.7,1506.0
482691980,-0.029,0.001,0.045,-331726,-483788,116380,9.7,1506.0
482693001,-0.058,-0.04,0.061,-331789,-483959,116448,9.7,1506.0
482694022,-0.191,-0.03,0.061,-332077,-483915,116448,9.7,1506.0
