t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1748060538,-0.064,0.042,0.065,-332194,-484034,116384,277.2,3225.2
1748061616,-0.064,0.042,0.065,-332194,-484034,116384,277.2,3225.2
1748062681,0.158,0.023,-0.011,-331712,-484115,116069,277.2,3225.2
1748063702,-0.029,0.012,0.079,-332118,-484160,116443,277.2,3225.2
1748064723,0.035,-0.084,0.045,-331979,-484564,116304,277.2,3225.2
1748065744,0.106,-0.001,0.039,-331825,-484214,116276,277.2,3225.2
1748066765,0.018,0.064,0.03,-332016,-483942,116242,277.2,3225.2
1748067786,0.211,0.026,-0.035,-331596,-484101,115968,277.2,3225.2
1748068807,0.027,0.054,0.026,-331997,-483982,116222,277.2,3225.2
1748069828,0.045,-0.079,-0.016,-331958,-484544,116049,277.2,3225.2
1748070848,0.049,0.022,-0.008,-331949,-484120,116081,277.2,3225.2
1748071869,0.042,-0.024,0.01,-331965,-484313,116158,277.2,3225.2
1748072890,0.008,-0.035,0.036,-332038,-484361,116266,277.2,3225.2
1748073911,0.068,-0.022,-0.025,-331907,-484306,116013,277.2,3225.2
1748074932,0.06,-0.136,-0.065,-331926,-484783,115844,277.2,3225.2
1748075953,0.151,-0.037,0.017,-331727,-484367,116187,277.2,3225.2
1748076974,0.235,0.032,-0.045,-331543,-484077,115928,277.2,3225.2
1748077995,0.229,-0.067,0.013,-331556,-484494,116168,277.2,3225.2
1748079016,0.254,-0.03,-0.045,-331503,-484338,115929,277.2,3225.2
1748080037,0.067,-0.059,0.046,-331910,-484462,116306,277.2,3225.2
1748081058,0.057,-0.001,0.041,-331932,-484215,116287,277.2,3225.2
1748082078,0.153,0.05,-0.024,-331722,-484002,116017,277.2,3225.2
1748083099,0.0,0.014,-0.019,-332055,-484152,116037,277.2,3225.2
1748084120,0.185,0.158,-0.041,-331653,-483544,115943,277.2,3225.2
1748085141,0.08,0.001,0.002,-331882,-484206,116124,277.2,3225.2
1748086162,0.085,0.052,-0.054,-331870,-483994,115891,277.2,3225.2
1748087184,0.169,0.01,0.005,-331688,-484170,116137,277.2,3225.2
1748088206,0.054,-0.034,0.039,-331938,-484355,116279,277.2,3225.2
1748089227,0.03,0.008,0.007,-331990,-484178,116145,277.2,3225.2
1748090249,0.044,0.006,0.057,-331959,-484185,116352,277.2,3225.2
1748091271,0.154,0.062,0.004,-331721,-483952,116133,277.2,3225.2
1748092293,0.187,0.021,0.038,-331649,-484124,116273,277.2,3225.2
1748093315,0.171,0.013,-0.003,-331684,-484157,116101,277.2,3225.2
1748094336,0.169,-0.028,-0.004,-331687,-484330,116098,277.2,3225.2
1748095358,0.084,0.032,0.035,-331872,-484076,116263,277.2,3225.2
1748096380,0.116,0.044,0.018,-331802,-484025,116189,277.2,3225.2
1748097402,0.073,-0.021,0.057,-331897,-484299,116354,277.2,3225.2
1748098424,0.011,-0.086,0.0,-332032,-484576,116117,277.2,3225.2
1748099445,0.082,-0.046,0.012,-331876,-484407,116166,277.2,3225.2
1748100467,-0.036,0.062,-0.007,-332133,-483949,116088,277.2,3225.2
1748101489,0.086,-0.077,-0.129,-331869,-484535,115580,277.2,3225.2
1748102511,-0.04,0.071,0.027,-332143,-483913,116227,277.2,3225.2
1748103533,0.245,-0.02,0.016,-331523,-484295,116184,277.2,3225.2
1748104554,0.114,-0.1,0.062,-331807,-484631,116373,277.2,3225.2
1748105576,0.056,-0.026,-0.071,-331933,-484323,115819,277.2,3225.2
1748106598,0.016,0.001,-0.042,-332020,-484208,115941,277.2,3225.2
