t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1454524167,2.401,-0.025,0.01,-326843,-484318,116156,408.6,2851.0
1454525141,2.574,-0.007,0.025,-326466,-484241,116221,408.6,2851.0
1454526162,2.544,-0.083,-0.012,-326532,-484560,116067,408.6,2851.0
1454527184,2.513,0.086,-0.042,-326599,-483847,115942,408.6,2851.0
1454528206,2.365,-0.134,-0.016,-326922,-484777,116049,408.6,2851.0
1454529228,2.359,-0.082,-0.035,-326935,-484555,115971,408.6,2851.0
1454530249,2.512,-0.021,0.033,-326601,-484300,116252,408.6,2851.0
1454531271,2.357,-0.045,-0.008,-326938,-484402,116081,408.6,2851.0
1454532293,2.529,0.007,0.061,-326564,-484183,116371,408.6,2851.0
1454533315,2.526,-0.029,-0.023,-326571,-484335,116018,408.6,2851.0
1454534336,2.617,-0.031,0.01,-326373,-484340,116158,408.6,2851.0
1454535358,2.505,0.079,-0.057,-326617,-483878,115880,408.6,2851.0
1454536380,2.456,-0.019,-0.001,-326723,-484292,116112,408.6,2851.0
1454537402,2.244,-0.042,-0.038,-327184,-484390,115957,408.6,2851.0
1454538424,2.315,-0.016,-0.007,-327030,-484278,116087,408.6,2851.0
1454539445,2.36,-0.052,-0.018,-326931,-484431,116041,408.6,2851.0
1454540467,2.385,0.015,0.017,-326877,-484148,116187,408.6,2851.0
1454541489,2.339,-0.035,-0.127,-326978,-484360,115586,408.6,2851.0
1454542511,2.366,-0.005,-0.033,-326918,-484232,115978,408.6,2851.0
1454543533,2.257,-0.017,0.03,-327156,-484283,116241,408.6,2851.0
1454544554,2.282,0.052,-0.002,-327102,-483993,116108,408.6,2851.0
1454545576,2.124,-0.07,-0.058,-327445,-484505,115875,408.6,2851.0
1454546598,2.146,-0.006,-0.045,-327397,-484235,115927,408.6,2851.0
1454547620,2.156,-0.12,-0.075,-327377,-484719,115802,408.6,2851.0
1454548641,2.142,0.082,-0.09,-327407,-483867,115741,408.6,2851.0
1454549663,2.125,0.021,-0.002,-327443,-484124,116107,408.6,2851.0
1454550685,2.054,-0.007,-0.026,-327599,-484239,116009,408.6,2851.0
1454551707,2.077,-0.046,-0.083,-327549,-484407,115770,408.6,2851.0
1454552729,2.001,-0.014,-0.052,-327713,-484272,115898,408.6,2851.0
1454553750,2.031,0.019,-0.038,-327649,-484131,115956,408.6,2851.0
1454554772,2.166,-0.065,0.095,-327355,-484487,116513,408.6,2851.0
1454555794,2.181,-0.017,0.017,-327321,-484282,116187,408.6,2851.0
1454556816,2.116,0.005,-0.062,-327463,-484190,115856,408.6,2851.0
1454557837,2.033,0.058,-0.023,-327644,-483966,116018,408.6,2851.0
1454558859,2.033,-0.016,-0.024,-327644,-484280,116016,408.6,2851.0
1454559881,2.038,0.094,0.037,-327633,-483815,116270,408.6,2851.0
1454560903,2.043,0.044,-0.015,-327621,-484027,116055,408.6,2851.0
1454561925,1.944,-0.077,-0.012,-327838,-484537,116066,408.6,2851.0
1454562946,1.896,-0.025,-0.031,-327941,-484316,115987,408.6,2851.0
1454563968,1.853,-0.017,0.021,-328036,-484282,116205,408.6,2851.0
1454564990,1.943,0.043,0.072,-327840,-484030,116417,408.6,2851.0
1454566012,1.823,-0.051,-0.029,-328101,-484426,115996,408.6,2851.0
1454567033,1.89,-0.042,0.064,-327955,-484390,116382,408.6,2851.0
1454568055,1.756,0.016,-0.029,-328246,-484144,115996,408.6,2851.0
1454569077,1.919,-0.037,-0.031,-327891,-484369,115987,408.6,2851.0
1454570099,1.733,0.008,0.028,-328297,-484177,116233,408.6,2851.0
1454571121,1.895,-0.1,-0.067,-327944,-484632,115837,408.6,2851.0
1454572142,1.727,-0.005,0.043,-328309,-484232,116294,408.6,2851.0
1454573164,1.705,0.024,0.086,-328357,-484111,116475,408.6,2851.0
1454574186,1.751,-0.085,0.088,-328257,-484568,116481,408.6,2851.0
1454575208,1.732,0.106,0.003,-328298,-483764,116129,408.6,2851.0
1454576229,1.706,0.009,0.072,-328355,-484173,116415,408.6,2851.0
1454577251,1.846,0.068,0.021,-328051,-483926,116202,408.6,2851.0
1454578273,1.675,-0.009,-0.016,-328422,-484248,116050,408.6,2851.0
1454579295,1.534,0.075,0.072,-328730,-483894,116416,408.6,2851.0
1454580317,1.663,0.017,0.003,-328449,-484141,116130,408.6,2851.0
1454581338,1.579,-0.022,0.051,-328633,-484303,116329,408.6,2851.0
1454582360,1.533,-0.146,0.039,-328732,-484827,116277,408.6,2851.0
1454583382,1.557,0.012,0.073,-328681,-484160,116419,408.6,2851.0
1454584404,1.551,0.128,0.027,-328692,-483672,116226,408.6,2851.0
1454585426,1.641,-0.023,0.106,-328497,-484309,116558,408.6,2851.0
1454586447,1.466,0.132,0.004,-328879,-483654,116133,408.6,2851.0
1454587469,1.522,-0.051,-0.107,-328757,-484425,115672,408.6,2851.0
1454588491,1.631,-0.066,0.093,-328518,-484489,116503,408.6,2851.0
1454589513,1.589,-0.029,0.028,-328610,-484334,116234,408.6,2851.0
1454590534,1.399,-0.049,-0.022,-329024,-484419,116024,408.6,2851.0
1454591556,1.485,0.092,-0.026,-328836,-483822,116007,408.6,2851.0
1454592578,1.448,-0.042,0.024,-328917,-484389,116217,408.6,2851.0
1454593600,1.564,0.044,0.01,-328664,-484025,116156,408.6,2851.0
1454594622,1.417,0.039,-0.005,-328985,-484046,116095,408.6,2851.0
1454595643,1.441,-0.026,0.052,-328932,-484320,116331,408.6,2851.0
1454596665,1.409,-0.043,-0.009,-329002,-484391,116080,408.6,2851.0
1454597687,1.367,-0.064,0.014,-329093,-484481,116173,408.6,2851.0
1454598709,1.306,0.038,0.038,-329227,-484053,116275,408.6,2851.0
1454599730,1.288,-0.003,-0.056,-329265,-484223,115881,408.6,2851.0
1454600752,1.159,-0.037,-0.016,-329546,-484367,116050,408.6,2851.0
1454601774,1.121,-0.026,-0.008,-329628,-484323,116084,408.6,2851.0
1454602796,1.288,-0.019,0.081,-329265,-484291,116451,408.6,2851.0
1454603818,1.184,0.062,0.02,-329492,-483951,116200,408.6,2851.0
1454604840,1.091,0.033,0.051,-329694,-484071,116328,408.6,2851.0
1454605861,1.104,-0.018,0.009,-329667,-484288,116152,408.6,2851.0
1454606883,1.075,0.053,-0.005,-329729,-483987,116094,408.6,2851.0
1454607905,1.135,0.065,-0.006,-329599,-483937,116091,408.6,2851.0
1454608927,1.258,0.037,0.02,-329330,-484056,116199,408.6,2851.0
1454609960,1.256,-0.026,0.019,-329335,-484320,116194,408.6,2851.0
1454611037,1.256,-0.026,0.019,-329335,-484320,116194,408.6,2851.0
1454612102,1.177,0.106,0.019,-329506,-483763,116194,408.6,2851.0
1454613123,1.186,0.048,0.099,-329487,-484007,116526,408.6,2851.0
1454614144,1.167,-0.007,0.012,-329528,-484242,116164,408.6,2851.0
1454615165,1.118,0.017,-0.006,-329635,-484138,116090,408.6,2851.0
1454616186,1.158,0.005,0.003,-329548,-484190,116126,408.6,2851.0
1454617206,1.164,0.032,0.051,-329536,-484077,116326,408.6,2851.0
1454618227,1.124,-0.042,0.028,-329622,-484389,116230,408.6,2851.0
1454619248,1.248,0.046,0.01,-329353,-484018,116156,408.6,2851.0
1454620269,1.143,-0.024,-0.01,-329582,-484314,116074,408.6,2851.0
1454621290,1.044,0.012,0.056,-329797,-484161,116347,408.6,2851.0
1454622311,1.153,0.001,-0.002,-329560,-484206,116108,408.6,2851.0
1454623332,1.185,0.003,-0.036,-329490,-484199,115964,408.6,2851.0
1454624353,1.003,0.063,-0.021,-329886,-483945,116028,408.6,2851.0
1454625374,1.159,0.003,-0.03,-329546,-484197,115989,408.6,2851.0
1454626395,1.088,-0.028,-0.021,-329701,-484330,116029,408.6,2851.0
1454627415,1.132,-0.066,-0.027,-329606,-484491,116004,408.6,2851.0
1454628436,1.102,0.004,-0.069,-329670,-484193,115829,408.6,2851.0
1454629457,0.989,0.096,0.042,-329917,-483808,116292,408.6,2851.0
1454630478,1.013,0.021,-0.061,-329865,-484122,115862,408.6,2851.0
1454631499,0.929,-0.045,-0.008,-330046,-484400,116081,408.6,2851.0
1454632520,0.961,-0.057,0.006,-329977,-484450,116140,408.6,2851.0
1454633541,0.905,0.006,0.016,-330099,-484186,116183,408.6,2851.0
1454634562,0.988,-0.023,0.013,-329918,-484309,116168,408.6,2851.0
1454635584,0.809,0.047,0.028,-330308,-484013,116234,408.6,2851.0
1454636605,0.826,-0.052,-0.065,-330270,-484432,115844,408.6,2851.0
1454637627,0.955,-0.008,-0.029,-329991,-484243,115996,408.6,2851.0
1454638649,0.976,0.084,0.06,-329945,-483856,116364,408.6,2851.0
1454639671,1.015,0.022,0.019,-329859,-484120,116193,408.6,2851.0
1454640693,1.024,0.052,0.054,-329841,-483993,116341,408.6,2851.0
1454641714,0.832,0.059,0.026,-330258,-483961,116222,408.6,2851.0
1454642736,0.972,0.063,0.033,-329954,-483944,116251,408.6,2851.0
1454643758,1.022,0.022,0.026,-329844,-484120,116223,408.6,2851.0
1454644780,1.056,0.056,0.052,-329771,-483977,116334,408.6,2851.0
1454645801,1.092,-0.024,0.007,-329693,-484314,116145,408.6,2851.0
1454646823,1.013,0.049,0.032,-329864,-484003,116247,408.6,2851.0
1454647845,1.14,0.057,0.004,-329587,-483971,116133,408.6,2851.0
1454648867,0.962,-0.033,0.017,-329974,-484352,116188,408.6,2851.0
1454649889,1.038,-0.006,-0.043,-329809,-484237,115936,408.6,2851.0
1454650911,0.885,-0.03,0.051,-330142,-484337,116329,408.6,2851.0
1454651932,1.137,-0.026,0.028,-329595,-484321,116232,408.6,2851.0
1454652954,0.875,-0.054,-0.021,-330164,-484440,116028,408.6,2851.0
1454653976,1.061,-0.026,0.09,-329760,-484322,116489,408.6,2851.0
1454654998,0.821,-0.025,-0.003,-330283,-484316,116102,408.6,2851.0
1454656019,0.94,-0.035,0.013,-330022,-484361,116169,408.6,2851.0
1454657041,0.952,-0.083,-0.04,-329997,-484562,115948,408.6,2851.0
1454658063,0.896,-0.054,-0.019,-330118,-484438,116035,408.6,2851.0
1454659085,0.916,0.015,0.028,-330075,-484147,116234,408.6,2851.0
1454660107,0.816,-0.074,0.039,-330294,-484525,116277,408.6,2851.0
1454661128,0.811,0.0,-0.036,-330303,-484210,115967,408.6,2851.0
1454662150,0.74,-0.054,-0.006,-330458,-484438,116092,408.6,2851.0
1454663172,0.708,-0.089,-0.037,-330527,-484587,115960,408.6,2851.0
1454664194,0.674,-0.043,-0.034,-330603,-484393,115975,408.6,2851.0
1454665215,0.57,-0.034,-0.014,-330828,-484353,116059,408.6,2851.0
1454666237,0.667,-0.008,0.02,-330617,-484244,116198,408.6,2851.0
1454667259,0.623,0.006,0.122,-330714,-484184,116625,408.6,2851.0
1454668281,0.605,0.007,-0.002,-330752,-484181,116107,408.6,2851.0
1454669302,0.544,0.025,-0.04,-330886,-484107,115949,408.6,2851.0
1454670324,0.528,0.008,0.026,-330919,-484177,116223,408.6,2851.0
1454671346,0.523,0.077,-0.055,-330930,-483886,115887,408.6,2851.0
1454672368,0.577,0.131,0.048,-330813,-483660,116315,408.6,2851.0
1454673390,0.608,-0.068,0.076,-330745,-484496,116430,408.6,2851.0
1454674412,0.581,0.008,0.048,-330804,-484179,116315,408.6,2851.0
1454675433,0.529,-0.003,0.001,-330918,-484225,116118,408.6,2851.0
1454676455,0.589,0.058,0.083,-330786,-483967,116459,408.6,2851.0
1454677477,0.574,-0.007,0.046,-330819,-484241,116306,408.6,2851.0
1454678499,0.509,0.031,0.014,-330962,-484081,116172,408.6,2851.0
1454679520,0.57,-0.005,0.029,-330828,-484231,116237,408.6,2851.0
1454680542,0.577,0.09,0.028,-330813,-483831,116230,408.6,2851.0
1454681564,0.485,-0.032,-0.044,-331014,-484345,115931,408.6,2851.0
1454682586,0.435,-0.098,0.038,-331122,-484623,116272,408.6,2851.0
1454683608,0.504,0.025,0.048,-330971,-484107,116315,408.6,2851.0
1454684629,0.412,-0.006,0.084,-331173,-484235,116466,408.6,2851.0
1454685651,0.383,0.047,0.078,-331235,-484013,116442,408.6,2851.0
1454686673,0.401,-0.017,0.055,-331197,-484285,116343,408.6,2851.0
1454687695,0.407,-0.001,0.033,-331183,-484214,116251,408.6,2851.0
1454688716,0.388,-0.02,0.018,-331224,-484295,116189,408.6,2851.0
1454689738,0.437,-0.005,0.053,-331117,-484232,116336,408.6,2851.0
1454690760,0.4,0.015,0.027,-331199,-484146,116226,408.6,2851.0
1454691782,0.477,-0.02,0.059,-331030,-484297,116363,408.6,2851.0
1454692803,0.352,-0.017,0.065,-331302,-484283,116385,408.6,2851.0
1454693825,0.293,0.058,0.07,-331432,-483966,116405,408.6,2851.0
