t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1441954811,0.137,0.025,-0.001,-331772,-484105,116084,128.0,2819.4
1441955320,0.093,-0.073,-0.004,-331866,-484520,116069,128.0,2819.4
1441956341,0.093,0.018,-0.024,-331867,-484135,115986,128.0,2819.4
1441957363,0.072,-0.012,-0.023,-331913,-484264,115991,128.0,2819.4
1441958385,0.005,-0.055,-0.027,-332059,-484444,115975,128.0,2819.4
1441959407,-0.024,-0.035,-0.048,-332121,-484360,115889,128.0,2819.4
1441960428,-0.054,0.067,-0.127,-332186,-483930,115558,128.0,2819.4
1441961450,0.065,-0.046,-0.059,-331928,-484404,115842,128.0,2819.4
1441962472,0.073,-0.002,0.003,-331910,-484219,116100,128.0,2819.4
1441963494,0.056,-0.04,0.003,-331947,-484381,116102,128.0,2819.4
1441964516,0.131,-0.029,0.009,-331785,-484334,116125,128.0,2819.4
1441965537,-0.004,-0.013,0.011,-332078,-484267,116133,128.0,2819.4
1441966559,0.154,-0.025,-0.036,-331734,-484316,115939,128.0,2819.4
1441967581,0.02,0.033,0.005,-332025,-484074,116109,128.0,2819.4
1441968603,0.151,-0.02,-0.032,-331740,-484297,115954,128.0,2819.4
1441969625,-0.033,-0.117,-0.045,-332141,-484703,115902,128.0,2819.4
1441970646,0.054,-0.033,-0.022,-331951,-484349,115997,128.0,2819.4
1441971668,-0.038,-0.005,-0.02,-332152,-484233,116006,128.0,2819.4
1441972690,0.186,-0.076,0.011,-331664,-484533,116135,128.0,2819.4
1441973712,0.113,-0.085,-0.014,-331824,-484570,116029,128.0,2819.4
1441974734,0.106,0.012,-0.086,-331839,-484162,115729,128.0,2819.4
1441975755,0.162,-0.071,-0.067,-331716,-484510,115808,128.0,2819.4
1441976777,0.18,-0.015,0.048,-331677,-484274,116289,128.0,2819.4
1441977799,0.048,-0.063,-0.073,-331964,-484478,115784,128.0,2819.4
1441978821,0.101,0.04,-0.002,-331850,-484043,116081,128.0,2819.4
1441979842,0.038,-0.095,-0.13,-331987,-484612,115546,128.0,2819.4
1441980864,0.029,-0.083,-0.007,-332006,-484562,116059,128.0,2819.4
1441981886,0.174,-0.082,-0.11,-331690,-484557,115628,128.0,2819.4
1441982908,0.119,-0.01,-0.094,-331811,-484254,115696,128.0,2819.4
1441983930,0.07,-0.038,-0.035,-331916,-484373,115940,128.0,2819.4
1441984951,0.097,-0.129,-0.146,-331859,-484755,115480,128.0,2819.4
1441985973,0.114,-0.023,0.033,-331821,-484308,116224,128.0,2819.4
1441986995,0.204,-0.062,-0.076,-331625,-484471,115773,128.0,2819.4
1441988017,0.044,0.038,0.001,-331974,-484052,116093,128.0,2819.4
1441989038,0.184,-0.109,-0.06,-331669,-484669,115838,128.0,2819.4
1441990060,0.133,-0.03,-0.039,-331780,-484337,115925,128.0,2819.4
1441991082,0.214,0.029,-0.003,-331604,-484091,116077,128.0,2819.4
1441992104,0.153,-0.067,0.009,-331736,-484494,116125,128.0,2819.4
1441993126,-0.022,-0.116,-0.046,-332117,-484700,115898,128.0,2819.4
