t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1424840269,-32.634,-1.279,-0.136,-402664,-489705,115305,138.2,3005.0
1424841042,-32.583,-1.106,-0.114,-402554,-488974,115395,138.2,3005.0
1424842063,-32.649,-1.251,0.048,-402698,-489587,116070,138.2,3005.0
1424843084,-32.748,-1.13,-0.021,-402914,-489078,115783,138.2,3005.0
1424844105,-32.792,-1.277,0.105,-403008,-489698,116310,138.2,3005.0
1424845126,-32.626,-1.247,0.084,-402647,-489572,116219,138.2,3005.0
1424846147,-32.632,-1.546,0.05,-402660,-490831,116081,138.2,3005.0
1424847168,-32.84,-1.384,0.202,-403114,-490149,116711,138.2,3005.0
1424848189,-32.912,-1.149,0.224,-403270,-489159,116803,138.2,3005.0
1424849210,-33.042,-0.971,0.269,-403553,-488406,116992,138.2,3005.0
1424850231,-32.962,-0.977,0.034,-403379,-488433,116013,138.2,3005.0
1424851252,-32.765,-1.193,-0.0,-402950,-489341,115870,138.2,3005.0
1424852272,-32.446,-1.167,-0.156,-402256,-489232,115221,138.2,3005.0
1424853293,-32.622,-1.0,-0.108,-402638,-488530,115419,138.2,3005.0
1424854314,-33.079,-0.797,0.171,-403635,-487672,116584,138.2,3005.0
1424855335,-33.14,-0.591,0.186,-403766,-486805,116645,138.2,3005.0
1424856356,-33.158,-0.521,0.171,-403806,-486508,116582,138.2,3005.0
1424857377,-33.225,-0.632,0.109,-403952,-486977,116323,138.2,3005.0
1424858398,-33.029,-0.626,-0.014,-403525,-486953,115811,138.2,3005.0
1424859419,-32.752,-0.706,0.081,-402923,-487287,116208,138.2,3005.0
1424860440,-32.929,-0.532,0.331,-403307,-486556,117251,138.2,3005.0
1424861461,-33.161,-0.451,0.53,-403813,-486214,118078,138.2,3005.0
1424862481,-33.291,-0.331,0.598,-404095,-485707,118360,138.2,3005.0
1424863502,-33.329,-0.062,0.594,-404179,-484571,118346,138.2,3005.0
1424864523,-33.277,-0.059,0.922,-404065,-484560,119712,138.2,3005.0
1424865544,-33.284,-0.089,0.775,-404080,-484686,119098,138.2,3005.0
1424866565,-33.174,-0.072,0.853,-403840,-484615,119423,138.2,3005.0
1424867586,-33.175,0.0,0.87,-403844,-484310,119497,138.2,3005.0
1424868607,-33.12,0.152,0.844,-403723,-483670,119388,138.2,3005.0
1424869628,-32.91,0.042,0.87,-403265,-484133,119496,138.2,3005.0
1424870649,-32.849,0.032,0.735,-403133,-484177,118931,138.2,3005.0
1424871670,-32.69,0.05,0.677,-402787,-484098,118690,138.2,3005.0
1424872691,-32.604,-0.057,0.573,-402600,-484549,118259,138.2,3005.0
1424873712,-32.429,-0.082,0.519,-402219,-484658,118033,138.2,3005.0
1424874732,-32.479,-0.098,0.451,-402328,-484723,117748,138.2,3005.0
1424875753,-32.351,0.028,0.489,-402048,-484193,117908,138.2,3005.0
1424876774,-32.2,-0.105,0.411,-401719,-484752,117582,138.2,3005.0
1424877795,-32.071,-0.094,0.39,-401440,-484709,117497,138.2,3005.0
1424878816,-31.886,-0.074,0.389,-401037,-484621,117491,138.2,3005.0
1424879837,-31.856,-0.055,0.496,-400971,-484543,117937,138.2,3005.0
1424880858,-31.739,-0.022,0.516,-400717,-484402,118020,138.2,3005.0
1424881879,-31.758,0.153,0.607,-400758,-483667,118398,138.2,3005.0
1424882900,-31.517,0.188,0.531,-400233,-483516,118081,138.2,3005.0
1424883921,-31.523,0.196,0.547,-400245,-483485,118149,138.2,3005.0
1424884942,-31.27,0.292,0.54,-399695,-483079,118121,138.2,3005.0
1424885962,-31.277,0.39,0.567,-399709,-482665,118231,138.2,3005.0
1424886983,-30.95,0.32,0.693,-398999,-482962,118757,138.2,3005.0
1424888004,-30.869,0.386,0.716,-398822,-482682,118852,138.2,3005.0
1424889025,-30.732,0.392,0.585,-398523,-482658,118306,138.2,3005.0
1424890046,-30.54,0.303,0.602,-398105,-483034,118377,138.2,3005.0
1424891067,-30.436,0.263,0.616,-397878,-483201,118437,138.2,3005.0
1424892088,-30.294,0.286,0.614,-397569,-483105,118427,138.2,3005.0
1424893109,-30.174,0.246,0.538,-397309,-483271,118111,138.2,3005.0
1424894130,-30.039,0.2,0.483,-397014,-483466,117883,138.2,3005.0
1424895151,-29.967,0.244,0.535,-396858,-483283,118099,138.2,3005.0
1424896172,-29.8,0.316,0.612,-396494,-482976,118422,138.2,3005.0
1424897193,-29.598,0.323,0.542,-396055,-482948,118128,138.2,3005.0
1424898213,-29.486,0.345,0.585,-395810,-482856,118306,138.2,3005.0
1424899234,-29.508,0.271,0.533,-395859,-483168,118093,138.2,3005.0
1424900255,-29.245,0.259,0.539,-395286,-483216,118116,138.2,3005.0
1424901276,-29.254,0.345,0.652,-395304,-482856,118586,138.2,3005.0
1424902297,-29.063,0.383,0.59,-394889,-482696,118327,138.2,3005.0
1424903318,-28.994,0.266,0.615,-394738,-483189,118432,138.2,3005.0
1424904339,-28.833,0.346,0.607,-394389,-482851,118399,138.2,3005.0
1424905360,-28.718,0.471,0.709,-394138,-482324,118823,138.2,3005.0
1424906381,-28.478,0.355,0.585,-393616,-482812,118308,138.2,3005.0
1424907402,-28.474,0.378,0.618,-393606,-482717,118445,138.2,3005.0
