t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal
130677917,-0.01,0.03,0.013,-330990,-481362,117460
130679364,-0.0,0.055,-0.051,-330969,-481255,117196
130681063,-0.059,0.019,-0.029,-331097,-481408,117285
130682762,-0.049,-0.033,0.027,-331075,-481626,117520
130684461,-0.102,0.105,0.077,-331189,-481046,117728
130686160,-0.034,0.001,-0.008,-331041,-481484,117372
130687859,0.002,0.03,0.018,-330964,-481358,117481
130689558,-0.051,0.039,-0.03,-331079,-481323,117281
130691268,-0.112,-0.038,-0.046,-331211,-481647,117214
130693022,-0.112,-0.038,-0.046,-331211,-481647,117214
130694765,-0.111,0.044,0.005,-331182,-481264,117455
130696464,-0.076,-0.02,-0.031,-331106,-481535,117304
130698163,-0.051,-0.032,-0.029,-331052,-481585,117313
130699862,-0.021,-0.063,-0.01,-330987,-481717,117393
130701561,-0.035,0.008,-0.07,-331016,-481417,117145
130703260,-0.034,-0.006,-0.12,-331015,-481475,116936
130704959,-0.002,0.005,0.015,-330946,-481431,117495
130706658,-0.09,-0.027,-0.01,-331136,-481565,117392
130708356,-0.014,-0.012,0.014,-330971,-481503,117493
130710055,-0.05,0.027,-0.008,-331050,-481336,117401
130711754,-0.062,-0.007,-0.027,-331075,-481482,117321
130713453,-0.072,-0.002,-0.052,-331098,-481458,117217
130715152,-0.028,-0.044,-0.042,-331001,-481637,117260
130716851,-0.03,-0.047,-0.056,-331006,-481649,117202
130718550,-0.058,-0.008,-0.045,-331066,-481484,117248
130720249,-0.073,0.009,-0.005,-331099,-481413,117415
130721950,-0.099,-0.021,-0.07,-331155,-481539,117142
130723650,-0.078,0.038,0.021,-331110,-481292,117524
130725350,-0.077,-0.044,0.028,-331108,-481634,117553
130727051,-0.122,-0.011,0.006,-331205,-481496,117460
130728751,-0.142,-0.023,-0.063,-331249,-481549,117172
130730452,-0.048,0.023,-0.004,-331045,-481354,117419
130732152,-0.024,0.014,0.064,-330993,-481393,117700
130733853,-0.021,0.037,0.021,-330986,-481294,117522
130735553,-0.014,0.03,0.01,-330972,-481326,117478
130737253,-0.17,-0.032,-0.038,-331309,-481586,117278
130738954,-0.072,-0.021,-0.047,-331097,-481540,117237
130740654,-0.015,0.056,-0.028,-330973,-481216,117317
130742355,-0.077,0.029,-0.011,-331107,-481329,117390
130744055,-0.048,0.039,-0.005,-331044,-481287,117412
130745755,-0.007,-0.008,0.003,-330956,-481486,117445
130747456,-0.093,0.01,-0.049,-331142,-481409,117230
130749156,0.021,-0.015,-0.027,-330895,-481514,117324
130750856,-0.069,0.006,0.013,-331090,-481425,117488
130752557,-0.019,0.017,0.028,-330983,-481379,117550
130754257,-0.01,0.048,-0.001,-330962,-481249,117430
130755958,-0.013,0.037,-0.039,-330968,-481295,117273
130757658,-0.138,0.027,-0.009,-331241,-481338,117396
130759359,-0.069,0.081,-0.05,-331091,-481108,117227
130761059,-0.089,-0.064,-0.057,-331134,-481719,117198
130762759,-0.05,0.029,-0.056,-331049,-481327,117202
130764460,-0.019,0.015,-0.029,-330982,-481388,117313
130766160,-0.068,0.01,-0.024,-331088,-481410,117335
130767861,-0.058,-0.003,-0.056,-331066,-481463,117203
130769561,-0.071,0.021,-0.048,-331094,-481362,117235
130771261,-0.081,0.037,-0.026,-331116,-481293,117328
130772962,-0.058,0.007,-0.045,-331067,-481419,117247
130774662,-0.091,-0.03,-0.062,-331139,-481575,117175
130776363,-0.081,-0.023,-0.063,-331116,-481546,117173
130778063,0.049,-0.006,0.002,-330834,-481476,117443
130779763,-0.004,-0.023,-0.047,-330950,-481547,117239
130781464,-0.066,0.007,0.026,-331085,-481421,117542
130783164,-0.041,-0.026,-0.019,-331030,-481560,117356
130784865,-0.108,0.054,-0.013,-331176,-481224,117382
130786565,-0.128,-0.03,-0.02,-331219,-481578,117352
130788265,-0.09,0.016,-0.034,-331137,-481384,117292
130789966,-0.074,-0.031,0.003,-331102,-481579,117446
130791666,-0.02,-0.011,0.037,-330984,-481498,117587
130793367,-0.126,0.002,0.011,-331214,-481444,117480
130795067,-0.071,0.026,0.002,-331095,-481339,117444
130796768,-0.09,0.019,-0.005,-331136,-481370,117414
130798468,-0.036,0.057,-0.003,-331018,-481210,117421
130800168,-0.093,-0.041,-0.018,-331143,-481624,117358
130801869,-0.006,-0.019,-0.049,-330953,-481529,117232
130803569,-0.047,0.006,-0.026,-331043,-481427,117328
130805270,-0.065,0.016,-0.029,-331081,-481384,117314
130806970,-0.057,0.013,-0.046,-331065,-481394,117244
130808670,-0.071,0.047,-0.077,-331094,-481253,117114
130810371,-0.094,-0.036,-0.031,-331144,-481603,117307
130812071,-0.099,0.031,0.023,-331156,-481321,117531
130813772,-0.048,-0.043,0.03,-331044,-481631,117560
130815472,-0.072,-0.003,0.021,-331097,-481461,117520
130817172,-0.052,-0.019,0.012,-331053,-481530,117483
130818873,-0.13,-0.01,-0.026,-331224,-481491,117327
130820573,-0.018,0.04,-0.009,-330979,-481281,117395
130822274,-0.065,0.014,-0.031,-331081,-481391,117304
130823974,-0.066,0.044,0.039,-331085,-481263,117598
130825674,-0.076,-0.003,0.015,-331105,-481463,117498
130827375,-0.076,-0.028,-0.02,-331106,-481569,117351
130829075,-0.063,-0.026,0.009,-331077,-481560,117473
130830776,-0.068,-0.012,0.024,-331089,-481503,117533
130832476,-0.044,-0.002,0.018,-331036,-481459,117511
130834176,-0.038,-0.034,-0.047,-331023,-481593,117238
130835877,-0.07,0.006,0.036,-331093,-481426,117586
130837577,-0.06,-0.03,0.004,-331072,-481575,117450
130839278,-0.12,-0.003,-0.033,-331202,-481465,117298
130840978,-0.128,0.064,-0.01,-331219,-481182,117391
130842679,-0.098,-0.079,0.022,-331153,-481782,117526
130844379,-0.09,0.017,-0.08,-331137,-481379,117102
130846079,-0.026,-0.029,-0.014,-330998,-481571,117377
130847780,-0.052,-0.003,-0.061,-331053,-481465,117179
130849480,-0.061,0.019,-0.09,-331073,-481371,117062
130851181,-0.119,-0.045,-0.027,-331199,-481641,117323
130852881,0.001,0.077,-0.002,-330939,-481127,117428
130854581,-0.031,-0.021,-0.036,-331009,-481537,117286
130856282,-0.004,-0.022,-0.005,-330950,-481543,117412
130857982,-0.046,-0.019,-0.018,-331041,-481529,117360
130859682,-0.068,-0.052,-0.023,-331088,-481668,117340
130861383,-0.046,-0.08,-0.025,-331040,-481789,117332
130863083,-0.129,0.002,-0.074,-331221,-481444,117128
130864795,-0.066,0.02,0.023,-331083,-481368,117530
130866549,-0.066,0.02,0.023,-331083,-481368,117530
130868292,-0.117,-0.025,-0.012,-331194,-481555,117383
130869991,-0.066,-0.003,-0.075,-331085,-481464,117122
130871690,-0.053,-0.031,-0.023,-331056,-481583,117340
130873389,-0.086,0.03,-0.014,-331127,-481323,117376
130875088,-0.112,0.009,-0.011,-331184,-481413,117388
130876787,-0.138,-0.029,-0.03,-331240,-481571,117310
130878486,-0.104,0.028,-0.006,-331166,-481331,117408
130880185,-0.075,0.047,-0.016,-331103,-481253,117370
130881884,-0.043,0.029,-0.029,-331034,-481330,117312
130883582,0.009,0.016,0.015,-330921,-481383,117495
130885281,-0.04,0.01,-0.039,-331027,-481408,117271
130886980,-0.03,-0.006,-0.012,-331006,-481476,117384
130888679,-0.044,0.031,0.023,-331037,-481320,117532
130890378,0.01,0.049,-0.033,-330920,-481246,117298
130892077,-0.067,0.043,-0.028,-331086,-481271,117320
130893777,-0.069,-0.02,-0.057,-331090,-481535,117196
130895478,-0.055,-0.044,-0.032,-331060,-481635,117303
130897178,-0.057,0.025,-0.004,-331064,-481346,117416
130898879,-0.137,-0.014,-0.058,-331238,-481508,117193
130900579,-0.063,0.008,-0.109,-331077,-481416,116983
130902280,-0.116,-0.016,-0.028,-331193,-481517,117316
130903980,-0.092,-0.012,-0.039,-331140,-481501,117274
130905680,0.024,0.03,-0.089,-330888,-481322,117063
130907381,-0.074,-0.018,-0.009,-331101,-481527,117396
130909081,-0.078,-0.081,-0.055,-331110,-481791,117206
130910782,-0.043,0.013,0.02,-331035,-481397,117517
130912482,-0.086,-0.0,-0.048,-331128,-481451,117234
130914182,-0.164,0.002,-0.009,-331298,-481443,117395
130915883,-0.035,0.034,-0.012,-331016,-481307,117385
130917583,-0.037,-0.028,-0.006,-331022,-481570,117409
130919284,-0.09,0.03,-0.002,-331136,-481322,117425
130920984,-0.036,0.052,-0.099,-331019,-481231,117021
130922684,-0.009,-0.011,-0.03,-330961,-481498,117311
130924385,-0.01,0.057,-0.061,-330963,-481212,117179
130926085,-0.123,-0.028,0.013,-331207,-481567,117489
130927786,-0.097,0.019,-0.074,-331151,-481372,117125
130929486,-0.075,0.056,-0.03,-331104,-481215,117311
130931186,-0.051,-0.007,-0.012,-331052,-481480,117385
130932887,-0.028,0.011,-0.016,-331001,-481404,117369
130934587,-0.123,-0.007,-0.041,-331209,-481478,117263
130936288,-0.081,0.021,-0.003,-331117,-481361,117423
130937988,-0.023,-0.039,0.011,-330990,-481616,117481
130939688,0.04,0.008,0.031,-330854,-481416,117565
130941389,-0.135,0.011,-0.017,-331234,-481402,117363
130943089,-0.135,0.033,0.034,-331233,-481311,117577
130944790,-0.088,-0.0,-0.064,-331132,-481452,117168
130946490,-0.043,0.042,-0.052,-331035,-481275,117217
130948191,-0.039,0.028,-0.022,-331025,-481331,117344
130949891,-0.163,-0.012,0.008,-331294,-481500,117466
130951591,0.007,-0.008,-0.001,-330926,-481486,117430
130953292,-0.098,-0.01,-0.023,-331154,-481491,117338
130954992,-0.095,-0.027,-0.028,-331148,-481565,117318
130956693,-0.101,-0.006,-0.025,-331161,-481477,117332
130958393,-0.119,-0.008,-0.063,-331200,-481486,117174
130960093,-0.051,0.045,-0.052,-331052,-481262,117219
130961794,-0.001,-0.008,-0.04,-330942,-481485,117267
130963494,-0.081,0.067,-0.029,-331116,-481170,117315
130965195,-0.126,0.019,-0.034,-331214,-481369,117293
130966895,-0.092,0.05,-0.021,-331140,-481239,117348
130968595,-0.09,-0.004,0.017,-331136,-481468,117504
130970296,-0.046,0.025,0.002,-331041,-481345,117443
130971996,-0.006,-0.034,-0.072,-330954,-481592,117137
130973697,-0.019,0.011,0.002,-330981,-481404,117441
130975397,-0.09,0.041,-0.005,-331137,-481279,117412
130977097,-0.084,-0.042,-0.021,-331123,-481626,117349
130978798,-0.089,-0.008,0.024,-331133,-481483,117535
130980498,-0.11,-0.031,-0.059,-331180,-481581,117189
130982199,-0.072,-0.042,0.048,-331096,-481627,117634
130983899,-0.108,0.021,-0.022,-331175,-481360,117342
130985599,-0.111,-0.006,-0.035,-331181,-481477,117291
130987300,-0.039,0.026,-0.004,-331026,-481343,117419
130989000,-0.07,-0.051,-0.015,-331092,-481664,117373
130990701,-0.054,-0.02,0.014,-331059,-481535,117493
130992401,-0.098,0.021,0.009,-331153,-481364,117470
130994101,-0.107,-0.063,-0.012,-331174,-481714,117383
130995802,-0.069,-0.018,-0.039,-331091,-481525,117273
130997502,-0.12,0.005,-0.084,-331201,-481428,117083
130999203,-0.095,0.02,-0.022,-331146,-481366,117341
131000903,-0.034,-0.024,0.013,-331015,-481551,117490
131002603,-0.053,0.007,-0.027,-331056,-481419,117322
131004304,-0.124,0.002,-0.033,-331210,-481442,117297
131006004,-0.05,-0.032,0.005,-331050,-481587,117456
131007705,-0.049,0.031,-0.024,-331048,-481319,117334
131009405,-0.133,0.027,-0.009,-331230,-481337,117398
131011105,-0.041,0.031,-0.041,-331030,-481321,117265
131012806,-0.117,0.058,-0.06,-331195,-481206,117187
131014506,0.026,0.037,0.006,-330884,-481296,117460
131016207,-0.161,-0.004,-0.071,-331290,-481466,117140
131017907,-0.063,0.028,-0.096,-331077,-481332,117034
131019607,-0.103,-0.01,-0.04,-331164,-481493,117268
131021308,-0.074,-0.022,-0.011,-331101,-481543,117388
131023008,-0.129,-0.008,0.034,-331222,-481485,117577
131024709,-0.099,0.064,0.006,-331155,-481180,117459
131026409,-0.067,-0.034,-0.07,-331086,-481595,117144
131028109,-0.113,0.025,-0.035,-331187,-481347,117291
131029810,-0.101,-0.018,-0.031,-331159,-481528,117304
131031510,-0.005,-0.018,-0.02,-330952,-481528,117352
131033211,-0.051,-0.024,-0.072,-331051,-481551,117135
131034911,-0.067,0.041,-0.053,-331086,-481276,117212
131036611,-0.146,0.035,-0.054,-331258,-481305,117210
131038324,-0.058,-0.0,-0.052,-331067,-481451,117220
131040079,-0.058,-0.0,-0.052,-331067,-481451,117220
131041822,-0.016,0.019,-0.095,-330976,-481369,117040
131043521,-0.095,0.003,-0.045,-331148,-481438,117249
131045220,-0.076,-0.054,0.025,-331105,-481678,117538
131046919,-0.115,0.045,-0.015,-331191,-481262,117374
131048618,-0.034,0.011,-0.049,-331014,-481405,117230
131050317,-0.084,-0.01,-0.023,-331124,-481492,117338
131052016,-0.03,0.025,0.011,-331005,-481347,117481
131053715,-0.049,-0.011,-0.064,-331048,-481495,117169
131055414,-0.121,-0.0,-0.042,-331204,-481451,117258
131057112,-0.056,-0.021,-0.056,-331062,-481540,117202
131058811,-0.071,-0.035,-0.004,-331095,-481597,117419
131060510,0.035,-0.009,-0.061,-330864,-481490,117179
131062209,-0.074,-0.001,-0.027,-331101,-481453,117323
131063909,-0.075,-0.02,-0.037,-331103,-481535,117281
131065609,-0.023,-0.059,-0.012,-330990,-481699,117386
131067309,-0.027,0.003,-0.015,-330999,-481437,117371
131069010,-0.127,0.014,-0.056,-331216,-481393,117201
131070710,-0.083,-0.042,-0.017,-331120,-481628,117363
131072411,-0.08,0.002,0.019,-331114,-481441,117514
131074111,-0.104,0.007,-0.076,-331166,-481421,117119
131075811,-0.022,-0.047,0.03,-330988,-481650,117560
131077512,-0.131,-0.007,-0.035,-331225,-481480,117289
131079212,-0.097,0.04,-0.028,-331151,-481280,117318
131080913,-0.006,-0.027,0.012,-330953,-481563,117486
131082613,-0.061,-0.006,-0.032,-331074,-481477,117302
131084313,-0.144,-0.026,-0.039,-331253,-481559,117273
131086014,-0.111,-0.006,0.018,-331182,-481475,117509
131087714,0.012,-0.002,0.007,-330915,-481458,117464
131089415,-0.011,-0.023,-0.021,-330964,-481546,117348
131091115,-0.033,-0.017,0.018,-331012,-481523,117509
131092816,0.077,-0.043,-0.016,-330773,-481631,117370
131094516,-0.108,0.008,-0.029,-331175,-481417,117313
131096216,-0.09,-0.025,-0.046,-331136,-481555,117245
