t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,Conc_Ch1,Conc_Ch2
2238812918,-0.029,-0.058,0.066,-333100,-485113,116092,27828.1,29595.5
2238813972,-0.103,-0.031,-0.0,-333262,-484997,115816,27828.1,29595.5
2238815670,-0.112,0.022,-0.081,-333281,-484776,115479,27828.1,29595.5
2238817369,-0.115,0.045,-0.092,-333287,-484675,115432,27828.1,29595.5
2238819068,-0.064,0.011,-0.105,-333176,-484822,115377,27828.1,29595.5
2238820767,-0.044,-0.048,-0.047,-333132,-485072,115622,27828.1,29595.5
2238822466,-0.006,-0.01,-0.065,-333049,-484911,115546,27828.1,29595.5
2238824165,0.052,0.025,-0.077,-332922,-484763,115495,27828.1,29595.5
2238825863,0.09,0.063,-0.04,-332838,-484600,115651,27828.1,29595.5
2238827562,0.119,0.004,-0.02,-332775,-484852,115735,27828.1,29595.5
2238829261,0.042,0.041,-0.08,-332944,-484692,115483,27828.1,29595.5
2238830960,0.194,0.029,0.037,-332609,-484746,115973,27828.1,29595.5
2238832659,0.059,-0.005,-0.08,-332906,-484888,115482,27828.1,29595.5
2238834358,0.048,0.002,-0.08,-332930,-484861,115481,27828.1,29595.5
2238836056,-0.038,0.019,-0.015,-333119,-484786,115754,27828.1,29595.5
2238837755,-0.013,-0.014,0.013,-333064,-484925,115873,27828.1,29595.5
2238839454,-0.021,0.033,0.055,-333082,-484726,116048,27828.1,29595.5
2238841153,0.064,-0.001,0.017,-332894,-484873,115889,27828.1,29595.5
2238842852,0.082,-0.004,0.146,-332855,-484885,116428,27828.1,29595.5
2238844551,0.029,-0.04,0.115,-332972,-485035,116300,27828.1,29595.5
2238846249,-0.075,-0.009,0.069,-333200,-484906,116107,27828.1,29595.5
2238847948,0.015,-0.027,0.117,-333002,-484980,116307,27828.1,29595.5
2238849647,0.025,-0.033,0.009,-332981,-485006,115857,27828.1,29595.5
2238851346,-0.048,0.009,0.002,-333140,-484827,115825,27828.1,29595.5
2238853045,-0.094,0.023,-0.008,-333242,-484768,115785,27828.1,29595.5
2238854743,0.074,-0.072,-0.011,-332872,-485171,115770,27828.1,29595.5
2238856442,0.078,0.018,0.011,-332864,-484789,115864,27828.1,29595.5
2238858141,0.039,0.005,-0.017,-332949,-484844,115747,27828.1,29595.5
2238859840,0.079,-0.026,-0.044,-332863,-484978,115632,27828.1,29595.5
2238861539,0.063,0.055,-0.01,-332897,-484633,115776,27828.1,29595.5
2238863238,-0.007,0.039,-0.0,-333050,-484702,115817,27828.1,29595.5
2238864936,0.033,-0.03,-0.136,-332963,-484994,115248,27828.1,29595.5
2238866635,0.13,-0.018,-0.088,-332751,-484943,115449,27828.1,29595.5
2238868334,0.084,0.059,-0.123,-332850,-484615,115304,27828.1,29595.5
2238870033,0.205,0.026,-0.075,-332585,-484758,115503,27828.1,29595.5
2238871732,0.142,0.065,-0.047,-332724,-484590,115621,27828.1,29595.5
2238873430,0.045,0.025,-0.039,-332936,-484763,115656,27828.1,29595.5
2238875129,-0.027,0.028,0.063,-333095,-484747,116080,27828.1,29595.5
2238876828,0.032,-0.003,0.053,-332966,-484878,116038,27828.1,29595.5
2238878527,-0.044,-0.029,0.1,-333131,-484992,116234,27828.1,29595.5
2238880226,-0.066,-0.036,0.114,-333181,-485018,116296,27828.1,29595.5
2238881925,-0.053,-0.082,0.108,-333152,-485216,116270,27828.1,29595.5
2238883623,-0.165,-0.073,0.016,-333398,-485179,115883,27828.1,29595.5
2238885322,-0.111,-0.038,0.039,-333279,-485030,115980,27828.1,29595.5
2238887021,-0.056,-0.04,0.062,-333159,-485036,116078,27828.1,29595.5
2238888720,-0.123,-0.015,0.02,-333305,-484932,115899,27828.1,29595.5
2238890419,-0.058,0.018,-0.002,-333162,-484791,115807,27828.1,29595.5
2238892118,0.01,0.004,-0.008,-333013,-484850,115782,27828.1,29595.5
2238893816,0.094,0.033,-0.031,-332830,-484729,115688,27828.1,29595.5
2238895515,0.112,0.005,-0.127,-332790,-484845,115287,27828.1,29595.5
2238897214,0.104,0.058,-0.019,-332807,-484623,115740,27828.1,29595.5
2238898913,0.096,0.002,-0.042,-332825,-484861,115643,27828.1,29595.5
2238900612,0.109,0.052,-0.081,-332797,-484648,115480,27828.1,29595.5
2238902311,0.012,0.039,-0.067,-333008,-484700,115537,27828.1,29595.5
2238904009,0.095,-0.062,0.004,-332827,-485130,115836,27828.1,29595.5
2238905708,0.059,-0.047,-0.022,-332905,-485068,115726,27828.1,29595.5
2238907407,-0.032,0.034,-0.005,-333105,-484725,115798,27828.1,29595.5
2238909106,0.031,-0.022,-0.009,-332967,-484961,115781,27828.1,29595.5
2238910805,0.012,0.029,-0.005,-333010,-484744,115795,27828.1,29595.5
2238912503,0.104,0.017,0.01,-332808,-484794,115861,27828.1,29595.5
2238914202,-0.001,-0.025,0.083,-333038,-484974,116166,27828.1,29595.5
2238915901,-0.054,-0.036,0.109,-333154,-485019,116273,27828.1,29595.5
2238917600,0.055,-0.022,0.066,-332915,-484961,116092,27828.1,29595.5
2238919299,-0.049,0.009,0.043,-333142,-484830,115997,27828.1,29595.5
2238920997,-0.031,-0.032,0.046,-333104,-485004,116011,27828.1,29595.5
2238922696,-0.098,-0.052,0.023,-333251,-485089,115914,27828.1,29595.5
2238924395,-0.019,-0.01,-0.035,-333077,-484908,115671,27828.1,29595.5
2238926094,-0.02,-0.026,0.023,-333080,-484978,115915,27828.1,29595.5
2238927793,-0.004,-0.028,0.014,-333044,-484985,115878,27828.1,29595.5
2238929492,0.122,0.042,-0.005,-332767,-484687,115796,27828.1,29595.5
2238931191,0.075,-0.006,-0.028,-332871,-484892,115700,27828.1,29595.5
2238932901,0.005,-0.016,-0.023,-333024,-484934,115721,27828.1,29595.5
2238934655,0.005,-0.016,-0.023,-333024,-484934,115721,27828.1,29595.5
2238936397,0.019,-0.091,-0.004,-332981,-485217,115827,27828.1,29595.5
2238938096,0.001,-0.017,-0.031,-333020,-484903,115715,27828.1,29595.5
2238939795,0.048,-0.002,-0.012,-332916,-484838,115795,27828.1,29595.5
2238941494,-0.056,-0.019,0.013,-333146,-484911,115901,27828.1,29595.5
2238943193,-0.036,-0.035,0.001,-333102,-484980,115848,27828.1,29595.5
2238944891,-0.061,0.011,0.021,-333156,-484783,115934,27828.1,29595.5
2238946590,-0.062,0.035,0.032,-333159,-484681,115979,27828.1,29595.5
