t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,Conc_Ch1,Conc_Ch2
494104571,9.368,-0.129,-0.103,-312982,-486969,114046,16.0,13090.6
494105420,9.371,-0.082,-0.101,-312976,-486770,114055,16.0,13090.6
494107119,9.226,-0.065,-0.073,-313294,-486696,114172,16.0,13090.6
494108818,9.103,-0.114,-0.122,-313565,-486905,113969,16.0,13090.6
494110517,9.089,-0.101,-0.145,-313596,-486851,113871,16.0,13090.6
494112215,8.885,-0.128,-0.169,-314047,-486963,113768,16.0,13090.6
494113914,8.86,-0.135,-0.218,-314102,-486994,113561,16.0,13090.6
494115613,8.782,-0.108,-0.176,-314274,-486879,113739,16.0,13090.6
494117312,8.608,-0.165,-0.139,-314658,-487123,113896,16.0,13090.6
494119010,8.446,-0.122,-0.181,-315014,-486939,113718,16.0,13090.6
494120709,8.524,-0.12,-0.173,-314843,-486931,113751,16.0,13090.6
494122408,8.284,-0.134,-0.127,-315372,-486988,113948,16.0,13090.6
494124107,8.315,-0.101,-0.091,-315302,-486848,114096,16.0,13090.6
494125805,8.224,-0.089,-0.151,-315503,-486800,113843,16.0,13090.6
494127504,8.164,-0.063,-0.094,-315636,-486686,114084,16.0,13090.6
494129203,8.002,-0.109,-0.093,-315993,-486885,114089,16.0,13090.6
494130902,7.735,-0.116,-0.181,-316581,-486912,113717,16.0,13090.6
494132600,7.645,-0.098,-0.168,-316780,-486835,113774,16.0,13090.6
494134299,7.444,-0.1,-0.112,-317223,-486846,114008,16.0,13090.6
494135998,7.342,-0.078,-0.135,-317448,-486751,113914,16.0,13090.6
494137697,7.158,-0.05,-0.085,-317853,-486632,114123,16.0,13090.6
494139395,7.007,-0.076,-0.131,-318186,-486744,113929,16.0,13090.6
494141094,6.852,-0.04,-0.101,-318527,-486591,114056,16.0,13090.6
494142793,6.618,-0.024,-0.052,-319043,-486521,114263,16.0,13090.6
494144492,6.442,-0.05,-0.047,-319431,-486633,114285,16.0,13090.6
494146190,6.407,-0.113,-0.062,-319508,-486901,114221,16.0,13090.6
494147889,6.096,-0.093,-0.029,-320193,-486816,114358,16.0,13090.6
494149588,5.918,-0.129,0.006,-320585,-486970,114506,16.0,13090.6
494151287,5.761,-0.092,0.009,-320931,-486812,114519,16.0,13090.6
494152997,5.638,-0.133,-0.027,-321202,-486984,114367,16.0,13090.6
