t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,Conc_Ch1,Conc_Ch2
673638246,-25.411,-2.177,-0.173,-389599,-495707,113722,413.8,12792.2
673639445,-25.523,-2.228,-0.14,-389845,-495927,113863,413.8,12792.2
673641142,-25.52,-2.244,-0.205,-389839,-495992,113587,413.8,12792.2
673642838,-25.525,-2.224,-0.154,-389849,-495907,113803,413.8,12792.2
673644534,-25.526,-2.238,-0.138,-389851,-495970,113870,413.8,12792.2
673646231,-25.427,-2.154,-0.149,-389634,-495611,113826,413.8,12792.2
673647927,-25.418,-2.122,-0.281,-389614,-495472,113270,413.8,12792.2
673649623,-25.452,-2.136,-0.532,-389689,-495534,112210,413.8,12792.2
673651320,-25.654,-2.143,-0.656,-390134,-495564,111687,413.8,12792.2
673653016,-25.715,-2.2,-0.626,-390268,-495807,111817,413.8,12792.2
673654713,-25.944,-2.269,-0.556,-390774,-496102,112110,413.8,12792.2
673656409,-26.158,-2.459,-0.383,-391244,-496909,112838,413.8,12792.2
673658105,-26.217,-2.438,-0.146,-391374,-496820,113839,413.8,12792.2
673659802,-26.264,-2.468,-0.102,-391479,-496948,114023,413.8,12792.2
673661498,-26.3,-2.477,-0.01,-391557,-496986,114409,413.8,12792.2
673663195,-26.075,-2.365,0.05,-391062,-496509,114664,413.8,12792.2
673664891,-25.858,-2.265,0.014,-390584,-496084,114510,413.8,12792.2
673666587,-25.689,-2.14,-0.165,-390210,-495552,113758,413.8,12792.2
673668284,-25.581,-2.072,-0.209,-389974,-495258,113571,413.8,12792.2
673669980,-25.493,-2.078,-0.199,-389780,-495285,113614,413.8,12792.2
673671677,-25.581,-2.099,-0.231,-389973,-495376,113481,413.8,12792.2
673673373,-25.638,-2.14,-0.188,-390098,-495550,113660,413.8,12792.2
673675069,-25.552,-2.174,-0.147,-389909,-495696,113834,413.8,12792.2
673676766,-25.611,-2.124,-0.099,-390039,-495482,114036,413.8,12792.2
673678462,-25.42,-1.994,-0.16,-389619,-494926,113780,413.8,12792.2
673680158,-25.3,-2.053,-0.099,-389354,-495179,114034,413.8,12792.2
673681855,-25.225,-2.112,-0.228,-389189,-495431,113492,413.8,12792.2
673683551,-25.088,-2.041,-0.287,-388886,-495128,113242,413.8,12792.2
673685248,-24.991,-1.943,-0.273,-388674,-494708,113301,413.8,12792.2
673686944,-24.781,-1.962,-0.362,-388211,-494791,112927,413.8,12792.2
673688640,-24.829,-1.835,-0.327,-388315,-494247,113074,413.8,12792.2
