t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1181560556,-29.909,-0.609,-0.131,-398498,-489353,113576,18.3,11583.0
1181560908,-29.724,-0.636,-0.131,-398093,-489470,113576,18.3,11583.0
1181561927,-29.463,-0.612,-0.11,-397521,-489368,113666,18.3,11583.0
1181562947,-29.421,-0.555,-0.161,-397430,-489126,113453,18.3,11583.0
1181563966,-29.439,-0.679,-0.136,-397470,-489651,113555,18.3,11583.0
1181564986,-29.132,-0.542,-0.227,-396798,-489071,113176,18.3,11583.0
1181566005,-29.025,-0.586,-0.119,-396562,-489255,113627,18.3,11583.0
1181567025,-28.903,-0.585,-0.129,-396296,-489251,113586,18.3,11583.0
1181568044,-28.871,-0.581,-0.125,-396227,-489233,113603,18.3,11583.0
1181569064,-28.761,-0.545,-0.139,-395986,-489084,113543,18.3,11583.0
1181570083,-28.594,-0.597,-0.122,-395619,-489304,113614,18.3,11583.0
1181571103,-28.6,-0.563,-0.082,-395632,-489157,113782,18.3,11583.0
1181572122,-28.313,-0.691,-0.24,-395005,-489700,113122,18.3,11583.0
1181573142,-28.145,-0.565,-0.045,-394637,-489166,113937,18.3,11583.0
1181574161,-27.928,-0.56,-0.118,-394163,-489148,113633,18.3,11583.0
1181575180,-27.93,-0.467,-0.037,-394167,-488750,113971,18.3,11583.0
1181576200,-27.637,-0.508,0.004,-393525,-488924,114144,18.3,11583.0
1181577220,-27.47,-0.475,-0.072,-393160,-488785,113826,18.3,11583.0
1181578239,-27.295,-0.404,-0.15,-392776,-488483,113497,18.3,11583.0
1181579258,-27.148,-0.382,-0.061,-392456,-488391,113870,18.3,11583.0
1181580278,-26.885,-0.475,-0.033,-391880,-488785,113987,18.3,11583.0
1181581298,-26.712,-0.4,-0.101,-391501,-488468,113702,18.3,11583.0
1181582317,-26.573,-0.373,-0.018,-391197,-488354,114051,18.3,11583.0
1181583336,-26.367,-0.3,-0.1,-390746,-488045,113708,18.3,11583.0
1181584356,-26.129,-0.369,-0.024,-390224,-488336,114026,18.3,11583.0
1181585375,-25.84,-0.301,-0.082,-389592,-488050,113784,18.3,11583.0
1181586395,-25.607,-0.302,-0.101,-389083,-488053,113703,18.3,11583.0
1181587414,-25.389,-0.379,0.045,-388604,-488378,114313,18.3,11583.0
1181588434,-25.215,-0.239,0.011,-388225,-487786,114172,18.3,11583.0
1181589453,-24.958,-0.314,0.035,-387661,-488104,114273,18.3,11583.0
1181590473,-24.703,-0.312,0.011,-387103,-488095,114171,18.3,11583.0
1181591492,-24.472,-0.316,-0.007,-386598,-488110,114096,18.3,11583.0
1181592512,-24.182,-0.255,0.069,-385963,-487853,114415,18.3,11583.0
1181593531,-24.01,-0.252,0.08,-385586,-487841,114463,18.3,11583.0
1181594551,-23.714,-0.298,0.041,-384939,-488036,114296,18.3,11583.0
1181595570,-23.453,-0.256,0.075,-384367,-487859,114438,18.3,11583.0
1181596590,-23.289,-0.277,0.057,-384008,-487947,114363,18.3,11583.0
1181597609,-23.021,-0.177,0.131,-383422,-487524,114673,18.3,11583.0
1181598629,-22.808,-0.074,0.049,-382956,-487084,114329,18.3,11583.0
1181599648,-22.597,-0.178,0.07,-382495,-487527,114420,18.3,11583.0
1181600668,-22.421,-0.048,0.158,-382109,-486974,114787,18.3,11583.0
1181601687,-21.952,-0.087,-0.011,-381083,-487139,114078,18.3,11583.0
1181602707,-21.806,-0.113,0.065,-380763,-487253,114399,18.3,11583.0
1181603726,-21.499,0.038,0.144,-380090,-486612,114728,18.3,11583.0
1181604746,-21.302,-0.091,0.081,-379659,-487158,114467,18.3,11583.0
1181605765,-20.847,-0.069,0.122,-378665,-487064,114635,18.3,11583.0
1181606785,-20.673,0.02,0.124,-378283,-486689,114645,18.3,11583.0
1181607804,-20.301,0.013,0.149,-377469,-486719,114748,18.3,11583.0
1181608823,-19.937,0.066,0.113,-376673,-486492,114600,18.3,11583.0
1181609843,-19.64,0.078,0.135,-376023,-486442,114691,18.3,11583.0
1181610862,-19.258,0.131,0.153,-375186,-486218,114766,18.3,11583.0
1181611894,-18.947,0.234,0.198,-374505,-485779,114956,18.3,11583.0
1181612968,-18.947,0.234,0.198,-374505,-485779,114956,18.3,11583.0
1181614033,-17.896,0.233,0.227,-372188,-485712,115107,18.3,11583.0
1181615054,-17.424,0.255,0.189,-371156,-485618,114946,18.3,11583.0
1181616075,-17.085,0.222,0.157,-370414,-485757,114812,18.3,11583.0
1181617095,-16.816,0.146,0.153,-369825,-486081,114796,18.3,11583.0
1181618116,-16.479,0.025,0.174,-369088,-486593,114884,18.3,11583.0
1181619137,-16.302,0.04,0.209,-368699,-486531,115030,18.3,11583.0
1181620158,-15.822,0.197,0.046,-367650,-485863,114349,18.3,11583.0
1181621179,-15.5,0.194,0.082,-366944,-485876,114498,18.3,11583.0
1181622200,-15.354,0.129,0.068,-366625,-486151,114439,18.3,11583.0
1181623221,-14.67,0.22,0.25,-365128,-485766,115202,18.3,11583.0
1181624241,-14.625,0.232,0.149,-365030,-485714,114778,18.3,11583.0
1181625262,-14.128,0.216,0.275,-363941,-485784,115307,18.3,11583.0
1181626283,-13.561,0.239,0.26,-362700,-485687,115244,18.3,11583.0
1181627304,-13.321,0.391,0.338,-362175,-485043,115571,18.3,11583.0
1181628325,-12.716,0.325,0.307,-360851,-485320,115442,18.3,11583.0
1181629346,-12.231,0.295,0.37,-359790,-485450,115704,18.3,11583.0
1181630366,-11.967,0.49,0.33,-359212,-484622,115536,18.3,11583.0
1181631387,-11.416,0.263,0.279,-358006,-485585,115324,18.3,11583.0
1181632408,-10.943,0.333,0.239,-356971,-485287,115154,18.3,11583.0
1181633429,-10.671,0.504,0.268,-356375,-484562,115277,18.3,11583.0
1181634450,-9.948,0.399,0.152,-354794,-485009,114791,18.3,11583.0
1181635471,-9.541,0.37,0.191,-353902,-485131,114955,18.3,11583.0
1181636492,-9.157,0.396,0.2,-353063,-485020,114991,18.3,11583.0
1181637513,-8.725,0.438,0.199,-352116,-484844,114987,18.3,11583.0
1181638534,-8.138,0.534,0.166,-350832,-484434,114849,18.3,11583.0
1181639556,-7.568,0.658,0.187,-349585,-483912,114938,18.3,11583.0
1181640577,-7.162,0.708,0.289,-348697,-483697,115366,18.3,11583.0
1181641599,-6.634,0.696,0.304,-347540,-483747,115427,18.3,11583.0
1181642621,-6.074,0.794,0.302,-346316,-483333,115418,18.3,11583.0
1181643643,-5.527,0.888,0.222,-345118,-482937,115083,18.3,11583.0
1181644664,-4.916,0.975,0.36,-343781,-482565,115662,18.3,11583.0
1181645686,-4.453,1.013,0.285,-342767,-482406,115349,18.3,11583.0
1181646708,-3.831,1.013,0.458,-341405,-482406,116073,18.3,11583.0
1181647730,-3.248,1.038,0.406,-340129,-482300,115856,18.3,11583.0
1181648751,-2.642,1.194,0.415,-338804,-481636,115892,18.3,11583.0
1181649773,-2.042,1.05,0.309,-337491,-482247,115448,18.3,11583.0
1181650795,-1.217,1.152,0.412,-335686,-481818,115878,18.3,11583.0
1181651817,-0.55,1.17,0.359,-334226,-481739,115658,18.3,11583.0
1181652838,0.158,1.189,0.453,-332675,-481659,116052,18.3,11583.0
1181653860,1.004,1.282,0.451,-330824,-481267,116041,18.3,11583.0
