t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
2562560525,-70.229,0.384,-0.301,-486477,-484745,113150,114.5,5852.9
2562561365,-70.352,0.528,-0.247,-486745,-484135,113379,114.5,5852.9
2562562387,-70.438,0.691,-0.196,-486934,-483446,113590,114.5,5852.9
2562563408,-70.578,0.862,-0.161,-487240,-482720,113737,114.5,5852.9
2562564430,-70.545,0.879,-0.158,-487168,-482649,113748,114.5,5852.9
2562565452,-70.515,0.82,-0.175,-487102,-482897,113679,114.5,5852.9
2562566474,-70.64,1.095,-0.206,-487374,-481732,113551,114.5,5852.9
2562567495,-70.341,1.59,-0.212,-486722,-479635,113526,114.5,5852.9
2562568517,-70.415,1.608,-0.214,-486882,-479559,113517,114.5,5852.9
2562569539,-70.32,1.463,-0.217,-486676,-480174,113505,114.5,5852.9
2562570561,-70.159,1.602,-0.139,-486324,-479586,113831,114.5,5852.9
2562571582,-70.31,1.265,-0.165,-486654,-481014,113721,114.5,5852.9
2562572604,-70.124,1.246,-0.324,-486247,-481093,113055,114.5,5852.9
2562573626,-70.011,1.124,-0.089,-485999,-481610,114038,114.5,5852.9
2562574648,-70.186,1.111,0.063,-486382,-481666,114674,114.5,5852.9
2562575669,-70.152,1.326,0.064,-486308,-480753,114678,114.5,5852.9
2562576691,-70.108,1.499,-0.092,-486211,-480022,114027,114.5,5852.9
2562577713,-70.071,1.486,-0.136,-486131,-480076,113843,114.5,5852.9
2562578735,-70.099,1.109,-0.203,-486193,-481672,113561,114.5,5852.9
2562579756,-70.117,1.009,-0.345,-486231,-482097,112966,114.5,5852.9
2562580778,-69.985,1.02,-0.534,-485943,-482052,112175,114.5,5852.9
2562581800,-70.085,1.115,-0.553,-486162,-481648,112096,114.5,5852.9
2562582822,-70.337,1.161,-0.343,-486713,-481453,112977,114.5,5852.9
2562583843,-70.534,1.325,-0.213,-487143,-480760,113518,114.5,5852.9
2562584865,-70.565,1.309,-0.112,-487210,-480826,113943,114.5,5852.9
2562585887,-70.916,1.143,-0.142,-487978,-481529,113816,114.5,5852.9
2562586908,-70.826,1.219,-0.028,-487782,-481207,114295,114.5,5852.9
2562587930,-70.974,1.378,-0.031,-488106,-480533,114282,114.5,5852.9
2562588952,-71.221,1.409,-0.07,-488645,-480401,114119,114.5,5852.9
2562589974,-71.247,1.301,-0.137,-488702,-480859,113836,114.5,5852.9
2562590995,-71.282,1.288,-0.221,-488779,-480917,113487,114.5,5852.9
2562592017,-71.212,1.418,-0.238,-488625,-480363,113414,114.5,5852.9
2562593039,-71.159,1.445,-0.394,-488509,-480249,112764,114.5,5852.9
2562594061,-71.095,1.049,-0.483,-488369,-481927,112390,114.5,5852.9
2562595082,-71.086,0.755,-0.524,-488351,-483172,112220,114.5,5852.9
2562596104,-71.058,0.479,-0.541,-488288,-484344,112147,114.5,5852.9
2562597126,-71.273,0.459,-0.515,-488760,-484429,112258,114.5,5852.9
2562598148,-71.294,0.416,-0.417,-488804,-484611,112665,114.5,5852.9
2562599169,-71.423,0.236,-0.246,-489088,-485370,113383,114.5,5852.9
2562600191,-71.592,0.201,-0.156,-489456,-485519,113757,114.5,5852.9
2562601213,-71.755,0.371,0.133,-489813,-484801,114967,114.5,5852.9
2562602235,-71.884,0.582,0.193,-490096,-483904,115220,114.5,5852.9
2562603257,-72.096,0.855,0.291,-490559,-482749,115630,114.5,5852.9
2562604278,-71.988,1.162,0.415,-490322,-481450,116147,114.5,5852.9
2562605300,-72.248,1.349,0.416,-490891,-480658,116152,114.5,5852.9
2562606322,-72.285,1.532,0.418,-490972,-479880,116162,114.5,5852.9
2562607343,-72.262,1.707,0.189,-490922,-479142,115200,114.5,5852.9
2562608365,-72.393,2.061,0.285,-491209,-477641,115605,114.5,5852.9
2562609387,-72.223,2.405,0.247,-490837,-476183,115444,114.5,5852.9
2562610409,-72.286,2.581,0.155,-490974,-475438,115059,114.5,5852.9
2562611431,-72.243,2.617,0.255,-490881,-475288,115478,114.5,5852.9
2562612452,-72.114,1.987,-0.035,-490598,-477955,114263,114.5,5852.9
2562613474,-72.126,1.851,-0.179,-490624,-478530,113664,114.5,5852.9
2562614496,-72.015,1.833,-0.236,-490381,-478606,113423,114.5,5852.9
