t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
3312459599,20.823,-0.2,-0.55,-287303,-486890,112541,213.7,4029.3
3312460115,20.99,-0.223,-0.587,-286938,-486987,112383,213.7,4029.3
3312461134,20.969,-0.633,-0.686,-286983,-488721,111972,213.7,4029.3
3312462154,20.731,-0.791,-0.582,-287505,-489393,112407,213.7,4029.3
3312463176,20.521,-0.715,-0.262,-287963,-489070,113742,213.7,4029.3
3312464198,20.209,-0.351,0.014,-288646,-487530,114898,213.7,4029.3
3312465219,19.995,0.305,0.153,-289112,-484751,115476,213.7,4029.3
3312466241,20.044,-0.106,0.255,-289006,-486491,115905,213.7,4029.3
3312467263,20.101,-0.03,-0.052,-288880,-486169,114620,213.7,4029.3
3312468284,20.276,-0.33,-0.327,-288498,-487438,113469,213.7,4029.3
3312469306,20.525,-0.832,-0.628,-287954,-489564,112213,213.7,4029.3
3312470328,20.786,-1.323,-0.796,-287383,-491642,111510,213.7,4029.3
3312471350,20.892,-1.571,-0.856,-287152,-492692,111260,213.7,4029.3
3312472372,20.582,-1.51,-0.698,-287830,-492435,111921,213.7,4029.3
3312473393,20.653,-1.049,-0.971,-287674,-490482,110779,213.7,4029.3
3312474415,20.974,-0.674,-1.148,-286973,-488897,110038,213.7,4029.3
3312475437,20.871,-0.132,-1.115,-287197,-486601,110178,213.7,4029.3
3312476459,20.544,0.76,-0.684,-287913,-482826,111981,213.7,4029.3
3312477480,19.739,1.659,-0.249,-289672,-479022,113796,213.7,4029.3
3312478502,19.637,1.162,-0.206,-289895,-481124,113978,213.7,4029.3
3312479524,20.181,0.653,-0.589,-288706,-483279,112378,213.7,4029.3
3312480546,20.405,-0.416,-0.743,-288216,-487805,111731,213.7,4029.3
3312481567,20.501,-1.424,-0.765,-288007,-492070,111640,213.7,4029.3
3312482589,20.694,-1.639,-0.633,-287585,-492979,112192,213.7,4029.3
3312483611,20.506,-1.997,-0.716,-287996,-494497,111846,213.7,4029.3
3312484633,20.261,-1.813,-0.616,-288532,-493716,112264,213.7,4029.3
3312485655,20.432,-1.353,-0.702,-288157,-491772,111905,213.7,4029.3
3312486676,20.496,-1.841,-0.754,-288017,-493837,111688,213.7,4029.3
3312487698,20.085,-2.219,-0.427,-288916,-495435,113054,213.7,4029.3
3312488720,19.772,-1.037,-0.1,-289601,-490432,114418,213.7,4029.3
3312489742,19.577,0.18,-0.092,-290027,-485281,114452,213.7,4029.3
3312490763,19.731,0.709,-0.403,-289689,-483041,113153,213.7,4029.3
3312491785,19.787,0.441,-0.452,-289568,-484175,112948,213.7,4029.3
3312492807,19.728,-0.401,-0.397,-289697,-487740,113178,213.7,4029.3
3312493829,19.803,-0.748,-0.528,-289532,-489210,112629,213.7,4029.3
3312494850,19.872,-0.652,-0.686,-289382,-488802,111969,213.7,4029.3
3312495872,20.004,-0.724,-0.83,-289092,-489109,111368,213.7,4029.3
3312496894,20.435,-1.013,-1.025,-288150,-490333,110555,213.7,4029.3
3312497916,20.432,-1.104,-1.006,-288157,-490717,110635,213.7,4029.3
3312498938,20.577,-1.231,-1.183,-287840,-491252,109893,213.7,4029.3
3312499959,20.696,-1.565,-1.274,-287581,-492669,109514,213.7,4029.3
3312500981,20.719,-1.784,-1.371,-287530,-493595,109109,213.7,4029.3
3312502003,20.643,-1.765,-1.281,-287696,-493515,109482,213.7,4029.3
3312503025,20.416,-1.195,-1.12,-288192,-491102,110157,213.7,4029.3
3312504046,19.909,-0.616,-0.856,-289300,-488651,111261,213.7,4029.3
3312505068,19.607,-1.05,-0.52,-289962,-490487,112663,213.7,4029.3
