t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,Conc_Ch1,Conc_Ch2
2163097453,0.016,-0.067,0.07,-332996,-485151,116095,,
2163098605,-0.027,-0.046,-0.002,-333089,-485063,115795,,
2163100305,-0.057,-0.038,0.001,-333155,-485029,115807,,
2163102006,-0.123,-0.062,0.009,-333301,-485132,115840,,
2163103706,-0.185,-0.042,0.014,-333437,-485048,115862,,
2163105406,-0.074,0.063,0.029,-333193,-484600,115922,,
2163107106,-0.061,-0.028,0.026,-333165,-484988,115909,,
2163108807,-0.106,-0.045,0.068,-333263,-485058,116088,,
2163110507,-0.004,0.028,0.035,-333039,-484750,115950,,
2163112207,0.071,0.101,0.01,-332876,-484439,115846,,
2163113907,0.087,-0.025,-0.039,-332840,-484972,115639,,
2163115608,0.175,0.002,-0.022,-332646,-484858,115709,,
2163117308,0.174,0.057,0.028,-332648,-484627,115921,,
2163119008,0.204,0.03,0.073,-332583,-484739,116106,,
2163120708,0.024,0.046,-0.048,-332978,-484671,115603,,
2163122409,0.058,0.042,0.006,-332904,-484691,115827,,
2163124109,0.014,-0.074,-0.004,-333001,-485184,115785,,
2163125809,-0.086,-0.078,0.008,-333219,-485200,115837,,
2163127509,-0.07,-0.019,-0.048,-333185,-484950,115603,,
2163129210,-0.136,-0.042,0.023,-333330,-485045,115899,,
2163130910,-0.212,-0.065,0.089,-333495,-485143,116173,,
2163132610,-0.207,-0.029,0.109,-333485,-484993,116257,,
2163134310,-0.194,-0.003,0.078,-333457,-484879,116128,,
2163136011,-0.042,-0.041,0.086,-333122,-485043,116164,,
2163137711,-0.031,-0.025,0.075,-333098,-484976,116118,,
2163139411,-0.014,0.066,-0.026,-333062,-484588,115694,,
2163141111,0.119,0.003,-0.074,-332770,-484854,115494,,
2163142812,0.14,-0.032,-0.059,-332724,-485003,115555,,
2163144512,0.153,0.015,-0.084,-332696,-484806,115450,,
2163146212,0.091,0.016,-0.034,-332831,-484802,115661,,
2163147912,0.092,-0.008,-0.029,-332828,-484902,115679,,
2163149613,0.069,-0.026,-0.031,-332880,-484977,115671,,
2163151313,0.111,0.012,0.038,-332788,-484816,115962,,
2163153013,0.01,-0.007,0.065,-333008,-484899,116073,,
2163154714,-0.017,-0.04,-0.011,-333067,-485038,115755,,
2163156414,-0.055,-0.04,0.037,-333151,-485037,115958,,
2163158114,-0.075,-0.051,0.085,-333195,-485083,116156,,
2163159814,-0.123,-0.036,0.021,-333301,-485019,115892,,
2163161514,-0.113,-0.046,0.091,-333279,-485061,116182,,
2163163215,-0.079,-0.074,0.156,-333205,-485182,116453,,
2163164915,-0.014,-0.009,0.055,-333062,-484907,116032,,
2163166615,0.007,-0.021,0.003,-333015,-484959,115814,,
2163168316,0.02,-0.076,0.004,-332986,-485191,115819,,
2163170016,-0.028,-0.023,-0.011,-333093,-484965,115757,,
2163171716,-0.048,0.004,-0.004,-333136,-484850,115787,,
2163173416,-0.077,0.014,-0.001,-333199,-484809,115799,,
2163175117,0.125,-0.034,0.02,-332757,-485011,115888,,
2163176817,0.024,-0.029,-0.019,-332978,-484991,115721,,
2163178517,-0.112,0.009,-0.007,-333277,-484831,115773,,
2163180217,-0.058,-0.116,0.011,-333159,-485361,115848,,
2163181918,-0.048,-0.058,0.052,-333136,-485113,116018,,
2163183618,-0.09,-0.002,0.015,-333229,-484875,115864,,
2163185318,-0.052,-0.089,0.067,-333145,-485246,116084,,
2163187018,-0.182,-0.066,0.021,-333430,-485149,115889,,
2163188719,0.041,-0.0,0.045,-332940,-484868,115990,,
2163190419,-0.093,-0.055,0.082,-333234,-485101,116144,,
2163192119,-0.06,-0.048,0.077,-333162,-485073,116124,,
2163193819,0.062,-0.025,0.036,-332895,-484974,115954,,
2163195520,0.009,0.021,0.038,-333011,-484778,115962,,
2163197220,-0.008,-0.01,0.029,-333049,-484912,115922,,
2163198920,-0.098,-0.005,-0.023,-333246,-484890,115707,,
2163200620,-0.001,-0.02,0.028,-333033,-484953,115918,,
2163202321,0.037,-0.007,0.022,-332949,-484899,115894,,
