t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
81177475,-0.038,-0.049,-0.12,-335277,-491111,112268,,
81178784,0.02,-0.108,0.002,-335147,-491364,112785,,
81180483,-0.018,-0.022,-0.029,-335232,-490995,112650,,
81182182,-0.028,-0.076,-0.044,-335254,-491230,112590,,
81183880,0.061,-0.078,-0.064,-335057,-491236,112505,,
81185579,-0.072,-0.053,-0.022,-335351,-491130,112680,,
81187278,-0.029,0.014,0.02,-335257,-490844,112861,,
81188976,0.051,-0.116,0.004,-335078,-491399,112791,,
81190675,0.048,0.081,-0.0,-335086,-490556,112774,,
81192374,0.042,-0.024,-0.067,-335099,-491005,112492,,
81194072,0.004,-0.077,-0.065,-335182,-491233,112498,,
81195771,0.014,-0.112,-0.036,-335160,-491381,112621,,
81197470,-0.058,-0.029,-0.023,-335320,-491026,112679,,
81199168,0.04,-0.088,0.028,-335103,-491281,112893,,
81200867,-0.031,-0.041,-0.041,-335260,-491078,112602,,
81202566,0.014,0.014,-0.063,-335161,-490842,112509,,
81204264,-0.007,-0.001,-0.04,-335208,-490905,112607,,
81205963,0.028,-0.044,-0.003,-335129,-491091,112760,,
81207662,0.018,-0.052,-0.069,-335153,-491126,112482,,
81209360,-0.076,0.085,-0.011,-335360,-490539,112729,,
81211060,-0.004,-0.025,-0.058,-335201,-491008,112530,,
81212760,-0.029,-0.07,0.01,-335257,-491202,112818,,
81214460,-0.001,-0.037,-0.008,-335194,-491059,112742,,
81216160,-0.099,0.046,-0.001,-335412,-490704,112772,,
81217860,-0.034,0.041,-0.086,-335268,-490726,112413,,
81219560,0.068,-0.049,-0.066,-335041,-491114,112495,,
81221261,0.099,-0.044,-0.03,-334973,-491089,112647,,
81222961,-0.01,-0.049,-0.008,-335214,-491113,112739,,
81224661,0.032,0.057,-0.049,-335121,-490658,112568,,
81226361,-0.02,-0.037,-0.025,-335237,-491062,112670,,
81228061,0.029,-0.068,-0.009,-335127,-491192,112737,,
81229761,-0.049,-0.008,0.015,-335301,-490935,112840,,
81231461,0.063,-0.083,-0.043,-335052,-491259,112591,,
81233162,-0.034,-0.071,-0.047,-335268,-491206,112578,,
81234862,0.008,-0.056,0.004,-335175,-491144,112792,,
81236562,0.009,-0.033,-0.05,-335172,-491044,112564,,
81238262,0.079,-0.048,-0.007,-335017,-491109,112746,,
81239962,0.034,-0.062,-0.068,-335117,-491169,112488,,
81241662,0.08,-0.061,-0.028,-335014,-491162,112657,,
81243362,-0.052,-0.018,0.025,-335306,-490981,112880,,
81245063,0.128,-0.069,-0.117,-334909,-491198,112278,,
81246763,-0.13,-0.033,-0.004,-335480,-491042,112759,,
81248463,-0.103,-0.002,-0.017,-335420,-490910,112703,,
81250163,-0.015,-0.016,0.015,-335225,-490972,112839,,
81251863,-0.043,-0.079,-0.008,-335287,-491242,112740,,
81253563,-0.071,0.067,0.035,-335349,-490615,112921,,
81255264,-0.016,-0.028,-0.031,-335228,-491022,112644,,
81256964,0.052,-0.122,-0.103,-335077,-491424,112340,,
81258675,0.003,-0.06,0.003,-335186,-491159,112789,,
81260430,0.003,-0.06,0.003,-335186,-491159,112789,,
81262173,0.009,-0.067,-0.065,-335159,-491121,112500,,
81263872,-0.084,-0.094,-0.04,-335365,-491234,112604,,
81265571,0.019,0.014,-0.058,-335136,-490773,112528,,
81267269,0.003,-0.067,-0.058,-335172,-491120,112530,,
81268968,0.033,-0.047,-0.028,-335106,-491032,112658,,
81270667,-0.037,-0.056,0.018,-335261,-491071,112851,,
81272365,-0.019,-0.064,-0.029,-335220,-491107,112653,,
81274064,-0.014,-0.033,0.059,-335210,-490975,113024,,
81275763,-0.027,0.006,0.023,-335239,-490804,112870,,
81277461,-0.029,-0.098,-0.101,-335244,-491252,112347,,
81279160,-0.007,-0.034,-0.062,-335195,-490979,112512,,
81280859,0.055,-0.081,-0.065,-335056,-491180,112500,,
81282557,-0.001,-0.031,-0.061,-335181,-490966,112515,,
81284256,-0.055,-0.046,-0.006,-335301,-491029,112751,,
81285955,0.046,-0.082,-0.083,-335076,-491185,112425,,
81287653,-0.047,-0.031,0.034,-335282,-490964,112919,,
81289353,0.006,-0.025,-0.047,-335165,-490939,112578,,
81291053,-0.043,-0.097,0.005,-335275,-491249,112796,,
81292753,-0.017,-0.05,-0.017,-335217,-491044,112703,,
81294453,-0.01,0.019,-0.008,-335202,-490751,112739,,
81296154,-0.029,-0.035,-0.037,-335242,-490980,112618,,
81297854,-0.012,0.054,0.007,-335206,-490601,112803,,
81299554,0.028,-0.067,-0.084,-335117,-491121,112420,,
81301254,0.04,-0.01,0.002,-335091,-490873,112784,,
81302954,0.007,0.043,-0.002,-335164,-490648,112767,,
81304654,0.058,-0.209,-0.004,-335051,-491730,112756,,
81306354,0.026,-0.067,-0.091,-335122,-491121,112391,,
81308054,0.095,-0.098,-0.01,-334969,-491252,112731,,
81309755,-0.005,-0.001,0.008,-335189,-490836,112808,,
81311455,0.137,-0.061,-0.009,-334875,-491094,112737,,
81313155,-0.019,-0.089,0.004,-335221,-491213,112793,,
81314855,0.027,-0.071,-0.053,-335119,-491138,112551,,
81316555,-0.006,-0.049,-0.03,-335193,-491043,112649,,
81318255,-0.029,-0.05,-0.073,-335243,-491045,112464,,
81319955,-0.034,0.004,-0.051,-335255,-490816,112558,,
81321656,0.024,-0.045,-0.026,-335126,-491023,112665,,
81323356,-0.009,-0.045,-0.005,-335198,-491023,112752,,
81325056,0.02,-0.08,-0.034,-335134,-491173,112630,,
81326756,0.008,-0.023,-0.014,-335162,-490931,112717,,
81328456,-0.014,-0.036,-0.117,-335209,-490986,112280,,
81330156,0.018,-0.087,-0.041,-335139,-491203,112601,,
81331856,-0.035,-0.054,-0.054,-335256,-491064,112547,,
81333557,-0.036,-0.029,0.008,-335259,-490954,112807,,
81335257,0.046,-0.017,-0.036,-335076,-490904,112622,,
81336957,-0.032,0.016,-0.02,-335249,-490761,112691,,
81338657,0.017,0.044,-0.017,-335141,-490641,112701,,
81340357,-0.029,-0.025,0.051,-335242,-490937,112992,,
81342057,-0.022,-0.071,0.03,-335228,-491135,112901,,
81343757,-0.073,-0.112,0.006,-335340,-491312,112799,,
81345458,-0.057,-0.014,0.013,-335304,-490892,112828,,
81347158,0.089,-0.116,-0.054,-334982,-491328,112548,,
81348858,-0.08,0.013,0.036,-335357,-490777,112928,,
81350558,0.004,-0.042,-0.011,-335171,-491012,112729,,
81352258,0.027,-0.088,0.002,-335120,-491207,112784,,
81353958,0.01,-0.061,-0.028,-335157,-491094,112656,,
81355658,-0.007,-0.017,-0.035,-335195,-490904,112627,,
81357358,0.069,-0.054,0.011,-335026,-491063,112819,,
81359059,0.092,-0.17,-0.082,-334976,-491561,112427,,
81360759,0.079,-0.055,-0.079,-335003,-491066,112442,,
81362459,-0.073,-0.026,0.036,-335340,-490944,112925,,
81364159,0.004,-0.032,-0.01,-335171,-490967,112732,,
81365859,-0.003,-0.109,0.026,-335186,-491299,112885,,
81367559,0.044,-0.01,-0.011,-335081,-490876,112726,,
81369259,-0.019,-0.03,-0.055,-335220,-490959,112542,,
81370960,0.059,-0.09,-0.096,-335048,-491217,112368,,
81372660,-0.096,-0.028,0.006,-335391,-490950,112800,,
81374360,-0.002,0.006,-0.063,-335184,-490806,112508,,
81376060,0.062,-0.042,-0.089,-335041,-491012,112397,,
81377760,0.036,-0.085,0.031,-335100,-491195,112907,,
81379460,-0.075,-0.011,0.021,-335345,-490878,112864,,
81381160,0.071,-0.042,-0.032,-335021,-491010,112640,,
81382861,-0.015,-0.039,0.011,-335213,-491001,112822,,
81384561,-0.026,-0.067,-0.019,-335236,-491117,112694,,
81386261,0.027,-0.075,0.004,-335119,-491153,112791,,
81387961,0.092,-0.112,0.036,-334975,-491310,112927,,
81389661,0.016,-0.012,-0.056,-335143,-490883,112537,,
81391361,-0.037,-0.096,-0.069,-335261,-491244,112483,,
81393061,-0.0,-0.109,-0.023,-335179,-491300,112678,,
81394761,-0.039,-0.083,-0.067,-335265,-491187,112492,,
81396462,0.01,0.011,-0.037,-335156,-490784,112617,,
81398162,0.058,-0.055,0.003,-335050,-491066,112787,,
81399862,0.007,-0.153,-0.014,-335163,-491486,112716,,
81401562,-0.008,-0.083,-0.108,-335196,-491188,112320,,
81403262,0.061,-0.076,-0.003,-335043,-491156,112764,,
81404962,-0.02,-0.069,-0.033,-335222,-491126,112635,,
81406662,-0.024,-0.053,-0.012,-335232,-491057,112722,,
81408363,0.003,-0.023,-0.048,-335172,-490929,112573,,
81410063,0.028,-0.123,-0.08,-335116,-491361,112437,,
81411763,0.017,-0.105,-0.005,-335142,-491281,112753,,
81413463,-0.01,0.004,-0.03,-335202,-490814,112648,,
81415163,0.025,0.003,0.046,-335123,-490818,112969,,
81416863,0.026,-0.027,-0.061,-335121,-490946,112516,,
81418563,0.035,-0.138,-0.036,-335102,-491425,112622,,
81420263,-0.013,-0.115,-0.054,-335208,-491324,112546,,
81421964,0.04,-0.02,0.0,-335091,-490916,112776,,
81423664,-0.019,-0.099,0.005,-335221,-491258,112795,,
81425364,0.021,0.015,0.027,-335132,-490768,112887,,
81427064,0.095,-0.03,-0.049,-334969,-490962,112567,,
81428764,0.054,0.004,-0.013,-335059,-490815,112719,,
81430464,-0.001,-0.024,-0.078,-335181,-490935,112445,,
81432176,-0.099,-0.051,-0.023,-335398,-491052,112678,,
81433932,-0.099,-0.051,-0.023,-335398,-491052,112678,,
81435675,-0.027,-0.033,-0.053,-335251,-491007,112550,,
81437373,0.087,-0.012,-0.002,-334999,-490918,112766,,
81439072,0.037,-0.044,0.019,-335109,-491054,112856,,
81440771,-0.027,0.004,0.06,-335252,-490850,113030,,
81442469,0.035,-0.038,-0.064,-335114,-491029,112502,,
81444168,0.069,-0.039,-0.109,-335038,-491033,112313,,
81445867,-0.01,-0.08,-0.024,-335213,-491210,112672,,
81447565,-0.077,0.057,0.02,-335362,-490624,112859,,
81449264,0.005,0.045,-0.117,-335181,-490675,112278,,
81450963,0.023,-0.07,0.017,-335140,-491169,112846,,
81452661,-0.017,-0.001,0.019,-335230,-490872,112856,,
81454360,0.024,-0.053,-0.032,-335138,-491095,112638,,
81456059,0.028,-0.039,-0.066,-335129,-491036,112496,,
81457758,0.054,0.066,0.024,-335072,-490586,112874,,
81459457,0.008,-0.03,-0.105,-335175,-490997,112331,,
81461158,0.056,0.085,-0.028,-335067,-490504,112658,,
81462858,-0.044,-0.076,-0.014,-335290,-491193,112714,,
81464558,-0.033,-0.021,0.046,-335265,-490955,112969,,
81466258,0.073,-0.068,-0.077,-335030,-491157,112449,,
81467958,0.022,-0.09,-0.039,-335142,-491252,112611,,
81469658,-0.021,-0.006,-0.032,-335238,-490894,112640,,
81471358,-0.052,-0.007,-0.06,-335307,-490898,112521,,
81473059,0.018,-0.072,-0.046,-335151,-491175,112582,,
81474759,0.032,0.05,0.002,-335121,-490651,112785,,
81476459,-0.007,0.025,-0.002,-335207,-490758,112765,,
81478159,0.08,-0.03,-0.067,-335015,-490995,112493,,
81479859,-0.038,-0.089,-0.057,-335275,-491248,112533,,
81481559,-0.035,-0.018,-0.074,-335270,-490946,112462,,
81483259,0.177,-0.062,-0.086,-334800,-491132,112410,,
81484960,0.049,-0.084,-0.024,-335084,-491228,112672,,
81486660,-0.041,-0.017,-0.001,-335282,-490939,112770,,
81488360,0.018,-0.056,0.018,-335151,-491109,112850,,
81490060,-0.01,-0.077,0.053,-335213,-491197,113000,,
81491760,0.045,-0.028,0.022,-335092,-490987,112869,,
81493460,0.045,-0.025,-0.038,-335092,-490974,112613,,
81495160,0.037,0.031,-0.038,-335110,-490736,112615,,
81496860,-0.046,0.027,0.046,-335293,-490753,112969,,
81498561,-0.004,0.011,-0.068,-335201,-490820,112488,,
81500261,0.026,0.025,0.036,-335134,-490759,112927,,
81501961,-0.046,0.03,-0.015,-335294,-490740,112710,,
81503661,-0.001,-0.069,-0.092,-335193,-491164,112387,,
81505361,-0.028,-0.045,-0.056,-335254,-491058,112537,,
81507061,0.067,-0.166,-0.052,-335044,-491580,112554,,
81508761,-0.169,-0.014,0.028,-335566,-490928,112895,,
81510462,0.074,-0.101,-0.01,-335027,-491299,112732,,
81512162,0.046,-0.05,0.019,-335090,-491080,112855,,
81513862,-0.019,0.039,-0.034,-335234,-490701,112630,,
81515562,-0.028,-0.009,-0.043,-335253,-490906,112593,,
81517262,0.069,-0.107,-0.098,-335040,-491326,112359,,
81518962,-0.005,-0.074,-0.024,-335202,-491186,112674,,
81520663,-0.005,-0.036,-0.03,-335202,-491021,112647,,
81522363,0.077,-0.024,-0.132,-335021,-490968,112215,,
81524063,-0.007,-0.012,-0.062,-335208,-490918,112512,,
81525763,0.031,0.062,-0.011,-335124,-490601,112730,,
81527463,0.04,-0.063,-0.055,-335104,-491135,112542,,
81529163,-0.026,0.102,0.002,-335249,-490428,112785,,
81530863,0.077,0.001,-0.082,-335021,-490864,112426,,
81532563,-0.024,-0.081,0.016,-335244,-491215,112843,,
81534264,0.054,-0.109,-0.017,-335072,-491336,112702,,
81535964,-0.005,-0.021,-0.007,-335204,-490955,112747,,
81537664,0.021,-0.055,-0.025,-335145,-491103,112671,,
81539364,-0.054,-0.051,-0.015,-335312,-491084,112712,,
81541064,-0.097,-0.021,-0.034,-335406,-490956,112629,,
81542764,-0.001,-0.013,-0.097,-335195,-490921,112363,,
81544465,-0.034,-0.071,-0.035,-335267,-491171,112625,,
81546165,-0.039,-0.044,-0.01,-335278,-491054,112734,,
81547865,-0.016,-0.098,-0.114,-335227,-491287,112294,,
81549565,-0.019,-0.035,-0.001,-335233,-491017,112771,,
81551265,0.035,0.011,0.008,-335114,-490821,112808,,
81552965,0.037,-0.035,-0.009,-335110,-491019,112736,,
81554665,-0.001,-0.034,-0.051,-335195,-491012,112559,,
81556365,0.008,-0.046,-0.024,-335175,-491064,112675,,
81558066,0.086,-0.097,-0.119,-335001,-491282,112270,,
81559766,0.021,-0.097,-0.097,-335145,-491284,112366,,
81561466,-0.03,-0.03,-0.02,-335259,-490995,112689,,
81563166,0.046,-0.025,-0.044,-335090,-490973,112590,,
81564866,-0.019,-0.026,-0.009,-335233,-490980,112738,,
81566566,-0.008,0.026,-0.051,-335209,-490757,112557,,
81568266,-0.037,-0.058,-0.024,-335274,-491115,112673,,
81569967,-0.042,-0.036,-0.062,-335285,-491021,112511,,
81571667,-0.038,-0.104,-0.039,-335276,-491311,112611,,
81573367,0.002,-0.035,-0.011,-335187,-491018,112729,,
81575067,0.026,0.023,0.007,-335134,-490767,112804,,
81576767,-0.008,0.015,-0.017,-335210,-490802,112704,,
81578467,0.044,-0.071,-0.036,-335095,-491170,112624,,
81580167,0.03,-0.034,-0.02,-335126,-491013,112688,,
81581868,0.018,-0.013,-0.022,-335153,-490924,112682,,
81583568,0.071,0.042,-0.046,-335035,-490687,112581,,
81585268,-0.011,0.011,-0.047,-335217,-490820,112578,,
81586968,0.047,-0.138,-0.007,-335087,-491459,112745,,
81588668,0.04,-0.023,-0.018,-335103,-490965,112697,,
81590368,-0.021,0.095,-0.014,-335238,-490461,112717,,
81592068,-0.015,-0.028,-0.014,-335224,-490989,112715,,
81593769,0.027,-0.053,-0.027,-335132,-491094,112659,,
81595469,0.026,-0.048,-0.058,-335134,-491071,112528,,
81597169,0.007,-0.083,-0.092,-335176,-491225,112385,,
81598869,-0.053,-0.087,-0.055,-335310,-491239,112541,,
81600569,0.067,-0.013,-0.061,-335043,-490921,112517,,
81602269,-0.019,-0.047,-0.002,-335235,-491068,112767,,
81603970,-0.01,-0.064,-0.101,-335214,-491140,112346,,
81605681,0.052,-0.043,-0.007,-335076,-491052,112743,,
81607437,0.052,-0.043,-0.007,-335076,-491052,112743,,
81609180,0.011,-0.038,-0.049,-335168,-491031,112568,,
81610879,-0.031,-0.005,-0.047,-335260,-490890,112574,,
81612577,0.059,-0.042,-0.035,-335062,-491049,112628,,
81614276,-0.057,0.033,-0.067,-335318,-490725,112491,,
81615975,0.085,-0.028,-0.071,-335004,-490986,112474,,
81617673,0.008,-0.128,-0.043,-335174,-491414,112593,,
81619372,0.08,-0.032,-0.094,-335014,-491004,112376,,
81621071,0.023,-0.027,-0.041,-335140,-490981,112603,,
81622769,0.006,-0.025,-0.008,-335178,-490976,112742,,
81624468,-0.034,-0.09,-0.047,-335268,-491255,112575,,
81626167,0.078,-0.046,-0.049,-335020,-491065,112567,,
81627865,0.007,-0.076,-0.045,-335177,-491191,112586,,
81629564,0.074,-0.019,-0.048,-335028,-490949,112570,,
81631263,0.016,-0.064,-0.041,-335157,-491142,112601,,
81632963,-0.059,0.021,-0.045,-335323,-490777,112585,,
81634663,-0.0,-0.012,-0.049,-335192,-490920,112569,,
81636363,-0.018,0.006,-0.042,-335232,-490841,112599,,
81638063,-0.042,-0.039,0.013,-335284,-491034,112829,,
81639763,-0.014,-0.056,-0.033,-335222,-491108,112636,,
81641464,0.022,-0.046,-0.085,-335143,-491066,112414,,
81643164,-0.018,-0.074,-0.088,-335232,-491186,112404,,
81644864,-0.049,-0.083,-0.084,-335300,-491223,112418,,
81646564,-0.004,0.043,0.007,-335200,-490681,112804,,
81648264,0.043,-0.012,-0.003,-335097,-490920,112764,,
81649964,-0.143,-0.028,-0.024,-335508,-490988,112672,,
81651664,0.017,-0.049,-0.07,-335155,-491077,112478,,
81653364,-0.056,-0.05,-0.066,-335316,-491081,112497,,
81655065,-0.029,-0.105,-0.09,-335257,-491316,112395,,
81656765,0.011,-0.014,0.003,-335167,-490927,112789,,
81658465,0.037,-0.024,-0.054,-335110,-490968,112547,,
81660165,-0.047,-0.019,-0.09,-335297,-490949,112396,,
81661865,0.095,-0.061,-0.055,-334982,-491130,112542,,
81663565,-0.041,-0.0,0.007,-335282,-490869,112805,,
81665265,0.101,-0.016,-0.001,-334969,-490936,112770,,
81666966,-0.047,0.017,-0.024,-335295,-490796,112672,,
81668666,0.0,-0.061,-0.074,-335191,-491127,112461,,
81670366,0.062,-0.023,-0.031,-335055,-490965,112642,,
81672066,-0.016,-0.058,-0.051,-335227,-491115,112558,,
81673766,-0.087,0.008,0.053,-335385,-490834,112999,,
81675466,0.016,-0.042,0.035,-335157,-491045,112923,,
81677166,0.075,-0.075,-0.064,-335026,-491190,112504,,
81678867,-0.043,-0.038,-0.055,-335288,-491028,112543,,
81680567,-0.085,-0.039,0.021,-335380,-491035,112865,,
81682267,0.015,-0.07,-0.048,-335158,-491166,112572,,
81683967,0.049,-0.039,-0.015,-335084,-491036,112710,,
81685667,0.015,-0.017,-0.032,-335158,-490941,112638,,
81687367,0.018,-0.069,-0.011,-335153,-491164,112729,,
81689067,0.018,-0.094,-0.016,-335153,-491270,112708,,
81690768,0.055,-0.025,-0.016,-335070,-490975,112709,,
81692468,-0.086,-0.038,0.01,-335383,-491029,112815,,
81694168,-0.08,-0.073,0.0,-335369,-491178,112776,,
81695868,-0.031,-0.049,-0.055,-335261,-491079,112542,,
81697568,-0.025,0.003,-0.044,-335247,-490855,112590,,
81699268,0.066,-0.062,-0.063,-335045,-491132,112510,,
81700968,0.035,0.045,0.0,-335115,-490675,112775,,
81702668,-0.043,0.018,-0.096,-335288,-490789,112370,,
81704369,0.008,-0.075,-0.108,-335174,-491190,112316,,
81706069,0.01,-0.087,-0.05,-335169,-491241,112565,,
81707769,0.067,0.001,0.017,-335044,-490864,112846,,
81709469,0.043,-0.027,-0.053,-335096,-490984,112550,,
