t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,Conc_Ch1,Conc_Ch2
576202135,-24.107,-1.376,-0.246,-386778,-492324,113444,34.7,13320.4
576203792,-24.192,-1.428,-0.476,-386965,-492549,112476,34.7,13320.4
576205491,-24.042,-1.375,-0.51,-386634,-492321,112332,34.7,13320.4
576207190,-24.157,-1.373,-0.659,-386887,-492312,111704,34.7,13320.4
576208888,-24.195,-1.38,-0.636,-386972,-492345,111801,34.7,13320.4
576210587,-24.161,-1.221,-0.233,-386897,-491665,113498,34.7,13320.4
576212286,-24.059,-1.192,-0.444,-386673,-491540,112609,34.7,13320.4
576213984,-24.166,-1.148,-0.59,-386907,-491353,111997,34.7,13320.4
576215683,-24.077,-1.136,-0.691,-386712,-491301,111572,34.7,13320.4
576217382,-24.184,-1.238,-0.44,-386947,-491739,112627,34.7,13320.4
576219081,-24.165,-1.289,-0.267,-386906,-491956,113355,34.7,13320.4
576220779,-24.249,-1.245,-0.393,-387091,-491765,112826,34.7,13320.4
576222478,-24.302,-1.137,-0.553,-387207,-491308,112153,34.7,13320.4
576224177,-24.265,-1.099,-0.722,-387127,-491146,111441,34.7,13320.4
576225875,-24.366,-1.0,-0.485,-387348,-490723,112437,34.7,13320.4
576227574,-24.496,-1.116,-0.236,-387635,-491215,113488,34.7,13320.4
576229273,-24.573,-0.977,-0.151,-387806,-490622,113847,34.7,13320.4
576230972,-24.529,-1.007,-0.075,-387709,-490752,114165,34.7,13320.4
576232670,-24.595,-0.985,-0.346,-387853,-490659,113024,34.7,13320.4
576234369,-24.61,-1.029,-0.682,-387887,-490846,111607,34.7,13320.4
576236068,-24.58,-1.136,-0.734,-387821,-491302,111389,34.7,13320.4
576237766,-24.665,-1.348,-0.791,-388008,-492205,111149,34.7,13320.4
576239465,-24.63,-1.371,-0.349,-387930,-492303,113012,34.7,13320.4
576241164,-24.665,-1.45,-0.453,-388007,-492641,112574,34.7,13320.4
576242863,-24.784,-1.421,-0.549,-388269,-492520,112169,34.7,13320.4
576244561,-24.753,-1.328,-0.741,-388202,-492120,111361,34.7,13320.4
576246260,-24.744,-1.325,-0.351,-388181,-492108,113002,34.7,13320.4
576247959,-24.838,-1.253,-0.027,-388388,-491803,114369,34.7,13320.4
576249658,-24.857,-1.223,-0.524,-388431,-491675,112272,34.7,13320.4
576251356,-24.974,-1.289,-0.738,-388688,-491954,111371,34.7,13320.4
576253055,-25.178,-1.238,-0.418,-389138,-491739,112721,34.7,13320.4
576254754,-25.16,-1.221,-0.118,-389098,-491666,113982,34.7,13320.4
576256453,-25.239,-1.177,-0.393,-389272,-491476,112824,34.7,13320.4
576258151,-25.348,-1.088,-0.653,-389513,-491098,111731,34.7,13320.4
576259850,-25.374,-1.051,-0.508,-389570,-490941,112339,34.7,13320.4
576261549,-25.444,-1.136,-0.508,-389724,-491304,112343,34.7,13320.4
576263248,-25.476,-1.145,-0.325,-389795,-491340,113113,34.7,13320.4
576264946,-25.456,-1.219,-0.13,-389751,-491655,113933,34.7,13320.4
576266645,-25.5,-1.247,-0.66,-389847,-491774,111699,34.7,13320.4
576268344,-25.504,-1.261,-0.628,-389857,-491837,111837,34.7,13320.4
576270042,-25.514,-1.297,-0.041,-389878,-491988,114310,34.7,13320.4
576271741,-25.546,-1.29,-0.237,-389949,-491958,113483,34.7,13320.4
576273440,-25.563,-1.299,-0.532,-389986,-491996,112241,34.7,13320.4
576275138,-25.49,-1.136,-0.248,-389825,-491303,113437,34.7,13320.4
576276837,-25.665,-1.087,-0.528,-390212,-491092,112256,34.7,13320.4
576278536,-25.649,-1.114,-0.54,-390176,-491206,112206,34.7,13320.4
576280235,-25.73,-1.119,-0.001,-390356,-491230,114476,34.7,13320.4
576281933,-25.749,-1.255,0.149,-390398,-491811,115110,34.7,13320.4
576283632,-25.878,-1.34,-0.361,-390681,-492171,112961,34.7,13320.4
576285331,-25.833,-1.359,-0.682,-390581,-492253,111610,34.7,13320.4
576287030,-26.071,-1.439,-0.834,-391107,-492595,110969,34.7,13320.4
576288728,-26.072,-1.33,-0.952,-391109,-492128,110472,34.7,13320.4
576290427,-26.074,-1.245,-0.689,-391114,-491769,111578,34.7,13320.4
576292126,-26.137,-1.135,-0.508,-391253,-491299,112342,34.7,13320.4
576293825,-25.979,-1.012,-0.313,-390904,-490774,113164,34.7,13320.4
576295523,-26.119,-0.939,-0.38,-391213,-490461,112880,34.7,13320.4
576297222,-26.01,-0.945,-0.159,-390973,-490485,113810,34.7,13320.4
576298921,-26.115,-1.121,-0.292,-391204,-491240,113250,34.7,13320.4
576300620,-26.274,-1.237,-0.573,-391553,-491735,112068,34.7,13320.4
576302318,-26.339,-1.338,-0.311,-391698,-492165,113169,34.7,13320.4
576304017,-26.315,-1.494,-0.315,-391645,-492828,113153,34.7,13320.4
576305716,-26.449,-1.599,-0.595,-391939,-493278,111974,34.7,13320.4
576307414,-26.38,-1.454,-0.36,-391787,-492657,112966,34.7,13320.4
576309113,-26.492,-1.378,-0.032,-392034,-492334,114345,34.7,13320.4
576310812,-26.554,-1.28,-0.042,-392172,-491915,114303,34.7,13320.4
576312511,-26.548,-1.267,-0.773,-392159,-491861,111224,34.7,13320.4
576314209,-26.578,-1.323,-0.691,-392225,-492100,111571,34.7,13320.4
576315908,-26.595,-1.318,-0.175,-392261,-492077,113744,34.7,13320.4
576317607,-26.631,-1.448,-0.587,-392342,-492634,112010,34.7,13320.4
576319305,-26.637,-1.527,-0.557,-392354,-492971,112134,34.7,13320.4
576321004,-26.598,-1.445,-0.183,-392269,-492619,113710,34.7,13320.4
576322703,-26.477,-1.257,-0.537,-392002,-491820,112219,34.7,13320.4
576324402,-26.684,-1.065,-0.461,-392458,-490999,112539,34.7,13320.4
576326100,-26.729,-1.0,-0.625,-392557,-490722,111847,34.7,13320.4
576327799,-26.632,-0.899,-0.531,-392344,-490289,112246,34.7,13320.4
576329510,-26.814,-0.993,-0.671,-392744,-490690,111653,34.7,13320.4
576331263,-26.814,-0.993,-0.671,-392744,-490690,111653,34.7,13320.4
576333006,-26.877,-1.277,-0.364,-392864,-491905,112975,34.7,13320.4
576334704,-27.008,-1.281,-0.447,-393153,-491922,112628,34.7,13320.4
576336403,-27.029,-1.172,-0.676,-393199,-491457,111663,34.7,13320.4
576338102,-27.142,-1.318,-0.928,-393448,-492079,110602,34.7,13320.4
576339801,-27.263,-1.256,-0.436,-393716,-491815,112674,34.7,13320.4
576341499,-27.103,-1.323,-0.61,-393363,-492099,111938,34.7,13320.4
576343198,-27.044,-1.29,-0.941,-393234,-491958,110546,34.7,13320.4
576344897,-27.139,-1.221,-0.628,-393443,-491666,111866,34.7,13320.4
576346595,-27.158,-1.198,-0.39,-393484,-491568,112867,34.7,13320.4
576348294,-27.237,-1.298,-1.005,-393659,-491994,110277,34.7,13320.4
576349993,-27.184,-1.369,-0.379,-393541,-492295,112913,34.7,13320.4
576351692,-27.249,-1.336,-0.475,-393685,-492157,112508,34.7,13320.4
576353390,-27.283,-1.456,-1.076,-393759,-492667,109976,34.7,13320.4
576355089,-27.58,-1.615,-0.846,-394415,-493345,110946,34.7,13320.4
576356788,-27.565,-1.568,-0.365,-394381,-493145,112972,34.7,13320.4
576358488,-27.601,-1.595,-0.47,-394461,-493259,112531,400.9,14222.9
576360188,-27.715,-1.386,-0.682,-394712,-492367,111636,400.9,14222.9
576361888,-27.635,-1.208,-0.467,-394535,-491610,112541,400.9,14222.9
576363588,-27.648,-1.125,-0.506,-394565,-491256,112380,400.9,14222.9
576365288,-27.742,-1.18,-0.556,-394772,-491488,112168,400.9,14222.9
576366989,-27.728,-1.25,-0.473,-394740,-491788,112519,400.9,14222.9
576368689,-27.751,-1.511,-0.36,-394792,-492903,112993,400.9,14222.9
576370389,-27.849,-1.546,-0.699,-395007,-493052,111563,400.9,14222.9
576372089,-27.884,-1.519,-0.776,-395085,-492935,111240,400.9,14222.9
576373789,-27.948,-1.468,-0.442,-395226,-492719,112648,400.9,14222.9
576375489,-27.889,-1.397,-0.524,-395096,-492415,112304,400.9,14222.9
576377190,-27.857,-1.232,-0.707,-395024,-491710,111533,400.9,14222.9
576378890,-27.757,-1.179,-0.316,-394805,-491485,113177,400.9,14222.9
576380590,-27.638,-1.156,-0.132,-394542,-491386,113954,400.9,14222.9
576382290,-27.617,-1.327,-0.265,-394496,-492117,113394,400.9,14222.9
